id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2455089295,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-09-03T15:36:58.707Z,2022-09-03T16:17:04Z,3754108435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3754108433,197,9282,3754108423,59,"30, 40, 18, 17, 23, 2, 20, 27, 12, 10, 6, 16, 4, 9, 11, 21, 28, 35",3754108429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3754108415,30,"7nlpu8ocv423vqaooks0hifze, 5oa6glaxweluggb6odyxb4uz9, 187qa5icsve3oak3t90r6rhsl, cahevdu5yhhnh8qlj969b6dw, 1acbm9228tfggjx7htxjtcvrp, af8gj4w5eg8rdl4iq7fi8aa96, 5jxclq9dzjbbqptbzz5jnwand, 6cztmz0yq3ifdkkz4hpe47krt, 8ic5et3o15rkxyebpxy6y4mhh, 8058605f3gip7nglewe7svqzu, 4e5jvz1t60a2l67c5a9r2qne, 3j1vhujla834m422svmrdh3pw, 6iu350lkyhy6tcll5gfo4vy3u, 7xfg1orfd9uq3rqzzf6vvxu96, ageous8x40a5qja50md060ull, 9bnvh1i6mu45yvkz257c0x1at, 89m2i076rpwreyl8h1o9kc6xg, bpxafwc30rerxmgju6rcau8kp",3754108419,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3754108431,194,1acbm9228tfggjx7htxjtcvrp,3754108427,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455089409,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-09-03T15:37:01.677Z,2022-09-03T16:27:25Z,3754109069,30,"calut2wcnvfps97uj7dartf4l, 4kuxth5k98x4cgfrfweu1u51, mlqit2c8my1ewqy6avrfhf8q, 3eywxsna9qzi1egis1uj4l6mt, 92x3r5pxmvkgaxups0gdrvq39, 9svafwvk8lle1ex1m2y279905, 56sjqxlsf5iitgww0hogez8ph, 25ey2mcvgwz6ls2612os5hzv9, 3nr55odndzunwlb658bsnlwx5, 1df9uegp2hsbc4813no3mdvx1, evktllmp3l6mfb6o4im0ag0ve, 1vhz040atckd3pnzwbky5uuvp, b6hva6wki38za3hipscirr4h6, zd582wgzhdcz8n6oipywt3vt, 9aafa664l1husrkrgqv25l42d, bkdtlerryn5f6iwvk5fcrku7d, 8lqiyhgp90sxu9bzmaa1o3t62, 7rpmnfn20qqxld0v81ip4madw",3754109071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3754109081,197,1947,3754109077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3754109073,59,"15, 5, 18, 7, 23, 4, 30, 16, 9, 22, 10, 2, 6, 8, 11, 17, 28, 32",3754109075,130,4,3754109079,194,25ey2mcvgwz6ls2612os5hzv9,3754109083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455142599,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-09-03T16:15:08.209Z,2022-09-04T05:01:28Z,3754394125,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455142591,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2022-09-03T16:15:08.209Z,2022-09-03T16:15:08Z,3754394085,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455142611,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,50.1,49.9,2022-09-03T16:15:08.258Z,2022-09-04T05:26:05Z,3756802005,178,,3754394201,213,2.9,3754394197,141,58.2,3754394193,56,Back,3754394195,140,24.4,3754394199,212,27.6,3754394203,279,S,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455142695,4,1,1,0,3,b7jmo07lqav0wfe2mtlzyspak,0,33,51.9,2022-09-03T16:15:11.421Z,2022-09-04T11:31:42Z,3754394595,213,5.6,3754394593,212,45.0,3754394587,56,Right,3756802111,178,,3754394591,141,11.1,3754394589,140,66.8,3754394585,155,,3754394597,1,,9svafwvk8lle1ex1m2y279905,D. Wouters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455142735,3,49,1,0,6,jb4xejoxjfk5a0a50bo8hvst,1,27.1,79.5,2022-09-03T16:15:14.719Z,2022-09-04T11:31:41Z,,,,,,,,,,,,,,,,,,,,,,,,,187qa5icsve3oak3t90r6rhsl,M. Poaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455142777,4,1,1,0,8,jb4xejoxjfk5a0a50bo8hvst,1,27.6,73.3,2022-09-03T16:15:16.912Z,2022-09-04T11:31:40Z,3754394995,140,44.8,3754394999,212,22.5,3756802427,178,,3754394993,56,Back,3754395001,213,5.6,3754394997,141,53.6,3754394991,155,,,,,187qa5icsve3oak3t90r6rhsl,M. Poaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455614371,961,67,1,0,10,jb4xejoxjfk5a0a50bo8hvst,1,47.6,57.6,2022-09-03T16:15:18.822Z,2022-09-04T11:31:40Z,3756918693,233,1665,,,,,,,,,,,,,,,,,,,,,,8058605f3gip7nglewe7svqzu,M. Mouandilmadji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455614369,1665,67,1,0,10,b7jmo07lqav0wfe2mtlzyspak,0,52.4,42.4,2022-09-03T16:15:18.823Z,2022-09-04T11:31:39Z,3756918705,233,961,,,,,,,,,,,,,,,,,,,,,,9svafwvk8lle1ex1m2y279905,D. Wouters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
