id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value
2460988513,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-09-17T13:10:06.956Z,2022-09-17T13:24:04Z,3785480435,59,"1, 5, 18, 22, 30, 23, 66, 16, 9, 7, 11, 4, 6, 8, 15, 21, 27, 28",3785480439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3785480445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785480441,194,25ey2mcvgwz6ls2612os5hzv9,3785480433,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3785480437,130,4,3785480431,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, mlqit2c8my1ewqy6avrfhf8q, 1df9uegp2hsbc4813no3mdvx1, 56sjqxlsf5iitgww0hogez8ph, 92x3r5pxmvkgaxups0gdrvq39, ezg4lhvy2z4pkyvfrmi17y11x, 25ey2mcvgwz6ls2612os5hzv9, 3nr55odndzunwlb658bsnlwx5, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, 9svafwvk8lle1ex1m2y279905, b6hva6wki38za3hipscirr4h6, zd582wgzhdcz8n6oipywt3vt, calut2wcnvfps97uj7dartf4l, 3k4ulxeya73ac9foemis7p6mt, btz2lf5s3h6svre1o5jgmvf85, 5egzwt11xlx1vz5dk9yu29q1g",3785480443,197,13711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460989501,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-09-17T13:11:10.804Z,2022-09-17T14:55:10Z,3785485875,194,f3e9qk9oz4feldhgetdpcd0ph,3785485867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3785485879,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785485869,59,"12, 25, 20, 4, 28, 14, 11, 24, 9, 33, 7, 5, 6, 10, 15, 21, 29, 43",3785485873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3785485877,197,8055,3785485871,130,6,3785485865,30,"49vbniwasp2kyt27jw0cv6m6t, dmk8usvqtzv60bwkoxk7kfqxg, 9fvwcsajeousbo5o0e84cj2sp, 91qd93lqgpe700ps0b6a7ntn9, 1abf0y93zbw1sw183nblqoicp, 4juerzftkeiuzctoiei6dmtp1, a8pgjuz5yrbxyf1t905gj327d, 73z9v9oz73hlmnswrzp860yj9, cinzr4hnryu433l6z40j5x49h, f3e9qk9oz4feldhgetdpcd0ph, 1kst4u41rlyirggwoo1m8ovdh, cni0rxu9fo9lfqqhggmqrdvpx, dvomh2gx3wd5x5v1dmlnkdpzp, d1j29sgb7rmc6dxe3koyyr0et, 91sex5ir1pp4b2beotoua7mqx, atkoaobhylui34grbharm41xx, 6u73l7tuxx0958ij9kvdizjrp, 58b30n3a3qc1s5tpfn8er7tw4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461035131,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-09-17T14:00:06.976Z,2022-09-17T14:00:07Z,3785722421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461035143,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-09-17T14:00:06.976Z,2022-09-17T23:59:32Z,3785722459,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461035183,3,1,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,50.1,49.7,2022-09-17T14:00:07.076Z,2022-09-18T00:48:46Z,3788660537,178,,3785722647,141,66.7,3785722641,56,Back,3785722651,212,28.4,3785722643,140,25.4,3785722653,213,2.7,3785722655,279,S,,,,f3e9qk9oz4feldhgetdpcd0ph,M. Maertens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461035223,4,1,1,0,3,bw9wm8pqfzcchumhiwdt2w15c,1,28.6,63.3,2022-09-17T14:00:10.174Z,2022-09-18T05:37:12Z,3785722823,212,22.0,3785722821,141,30.9,3785722819,140,27.8,3785722825,213,4.7,3788661803,178,,3785722817,56,Back,,,,,,,4juerzftkeiuzctoiei6dmtp1,F. Ricca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461035271,5,1,1,0,6,bw9wm8pqfzcchumhiwdt2w15c,1,26.7,36.1,2022-09-17T14:00:13.651Z,2022-09-18T05:37:11Z,3785723017,56,Back,3785723025,213,5.1,3788662083,178,,3785723019,140,35.1,3785723021,141,3.5,3785723023,212,23.9,,,,,,,1abf0y93zbw1sw183nblqoicp,E. Pletinckx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461035341,6,1,1,0,9,bw9wm8pqfzcchumhiwdt2w15c,1,26.8,9.6,2022-09-17T14:00:16.393Z,2022-09-18T05:37:10Z,3785723365,213,2.1,3785723357,56,Back,3788662489,178,,3785723363,212,35.9,3785723359,140,8.6,3785723361,141,54.3,3785723367,1,,,,,dmk8usvqtzv60bwkoxk7kfqxg,L. Patris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461035387,7,1,1,0,13,bw9wm8pqfzcchumhiwdt2w15c,1,10.7,60.7,2022-09-17T14:00:20.571Z,2022-09-18T05:37:10Z,3788662913,178,,3785723553,141,70.0,3785723547,155,,3785723557,213,0.2,3785723551,140,40.0,3785723555,212,31.4,3785723549,56,Back,,,,49vbniwasp2kyt27jw0cv6m6t,V. Cojocaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461035389,8,61,1,0,15,bw9wm8pqfzcchumhiwdt2w15c,0,40.2,72.1,2022-09-17T14:00:22.182Z,2022-09-18T05:37:09Z,3788663869,21,,3785723563,56,Back,3788663871,388,,,,,,,,,,,,,,,,,f3e9qk9oz4feldhgetdpcd0ph,M. Maertens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
