id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/9/value,qualifier/11/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2493313303,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-12-26T16:09:04.765Z,2022-12-26T17:21:48Z,3956511325,59,"1, 6, 70, 25, 4, 44, 18, 33, 9, 20, 10, 7, 12, 16, 17, 22, 32, 99",3956511327,130,10,3956814207,194,8b95khn8h8qz3y4u4coajs5at,3956511331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956814209,197,8054,3956511321,30,"6yegi163rq5fsloppfubi3sh5, 5lbzx05vthw9nbhpmzw5e1562, 3pr51w08wkrl03rpafmsouj85, 5zdapzrncz7vch3yrgftfp5g, 6fdwd71dx2qu7uzzs3ozm9x7u, 5n522jpifzyf9qu0z41kuf7my, 5np1ksd9qkmc511ihzvikhy0a, 4o8lvm1ffxrywogokfztc6sb9, 93weoj4q60xtxdntko7hobg4q, 9n5wjnjloy0c2euwhsu9u1y39, 8b95khn8h8qz3y4u4coajs5at, 6eg8vaxpqsd6cyh736h7bq4x6, bd4cjnn4k45ry7ci5tsaawf10, eczyz1c2lgqelhp13xiqb0vhm, 6437iwpplyfh71o9b7uxdylii, 64if7ql0wxgw22pdf72qpak9g, 280b4j6oidfonglcbr2vlj59m, 9in1wztygowwkx5jwvt0zv6l0",3956511323,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3956511329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493317379,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-12-26T16:12:29.546Z,2022-12-26T17:28:04Z,3956534069,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3956534063,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3956534061,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, a8k3ubqsi0duc3g4u5jnvcoa1, a3on8aipuz77wn25jm2r312lm, 5enjhxrx2jrjqtgb9wwq0baax, 1b6ab1mqzvhk547p0bdzbccfd, ama1ibpjcfu206icrfmkgfavp, 7wh91ajt4v3w9kfdpp5hf5mmt, 7jpasvui43tnyao6ijyuuyuqc, 9pvc7e65cfgtuipfen5zt463t, cma24hkdklib8007a42cso38q, 5qpyf80if6m1o5vkwf1yt034l, 14w9q2mu6yq235ic55fxs0w2y, e8iedufshdq58novt3uevsrqi, an7okg1fciccqu6300k8phisq, 7zmgaactx19n77j9fl08pahyi, c8m4ox6n1v89qbbjq73s5ezmx",3956534071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3956534067,130,8,3956534065,59,"26, 23, 5, 8, 3, 2, 28, 17, 18, 34, 11, 4, 7, 10, 15, 22, 40, 77",3956822001,194,5enjhxrx2jrjqtgb9wwq0baax,3956822003,197,3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493371635,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-12-26T17:15:37.075Z,2022-12-26T17:15:37Z,3956825935,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493371641,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-12-26T17:15:37.075Z,2022-12-27T01:25:10Z,3956825967,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493371655,3,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,50,50,2022-12-26T17:15:37.164Z,2022-12-27T04:04:01Z,3956826021,279,S,3957326247,178,,3956826013,140,37.5,3956826017,212,13.3,3956826011,56,Back,3956826015,141,53.0,3956826019,213,3.0,,,,5np1ksd9qkmc511ihzvikhy0a,A. Kadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493371669,4,1,1,0,2,1uk609mhtsfhokhaewjapb26,0,41.7,53.8,2022-12-26T17:15:39.602Z,2022-12-27T15:18:35Z,3956826027,155,,3956826039,213,5.8,3956826033,141,25.0,3956826031,140,74.1,3956826041,1,,3956826029,56,Center,3956826037,212,39.3,3957326263,178,,4o8lvm1ffxrywogokfztc6sb9,S. Lončar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493371659,3,61,1,0,4,89xivtxk59uzvhdsd6miao6tm,0,31.6,61.3,2022-12-26T17:15:41.301Z,2022-12-27T15:18:34Z,3956826025,56,Back,3957326307,178,,3957326305,21,,,,,,,,,,,,,,,,,5enjhxrx2jrjqtgb9wwq0baax,M. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493371713,5,1,1,0,5,1uk609mhtsfhokhaewjapb26,1,62.2,34.3,2022-12-26T17:15:42.525Z,2022-12-27T15:18:34Z,3956826165,56,Center,3956826167,140,69.7,3956826169,141,34.7,3956826171,212,7.9,3957326405,178,,3956826173,213,0.0,,,,,,,5np1ksd9qkmc511ihzvikhy0a,A. Kadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493447317,767,61,1,0,6,1uk609mhtsfhokhaewjapb26,1,69.8,38.8,2022-12-26T17:15:43.263Z,2022-12-27T15:18:33Z,3957326475,178,,3957242479,56,Center,,,,,,,,,,,,,,,,,,,9n5wjnjloy0c2euwhsu9u1y39,F. Avenatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493466927,820,67,1,0,7,1uk609mhtsfhokhaewjapb26,1,77.1,33.7,2022-12-26T17:15:44.446Z,2022-12-27T15:18:33Z,3957341439,233,935,,,,,,,,,,,,,,,,,,,,,,93weoj4q60xtxdntko7hobg4q,B. Messaoudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
