id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2498454743,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-01-18T16:35:01.627Z,2023-01-18T17:34:31Z,3983610133,30,"r0hm6ahwcvdu57bgfi5zkslx, 1h9jdj5ag99myeoirxzh92od1, 70h2g33o2w7f32dtx76wji99m, a7ip51ik4rkqcvgdsh64ln09g, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, cl2mi40x3gjsan1iifpbwec4p, 9tgbdheyuooa8cfz06l577end, eg4piy0kcdtdopqpd3lcl5j2t, d19yalwh3i2olvpwoi89feqjt, dcjf15sf1dbb6w17foz25uuei, 8lrsefp53ez5jm3hd5fy8tck5, 2hr7skflmxmpiiauz04h185ey, 4114auk4o8n6higc918qymc4p, 9gt3izdka3a0nh7r9uazkueqc, cyh16toqa9wxmxepg635ecgve, 8kwlhrjwp4xewwpaayseb9bmc, 783gcbge6tm3dosc9jou2jqc4",3983610141,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3983610135,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3983610139,130,8,3983610137,59,"1, 2, 22, 48, 23, 51, 11, 14, 18, 24, 10, 7, 17, 26, 33, 34, 50, 52",3983610147,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983610143,194,9tc6mprxpu2rc5ptlp5ljw7h1,3983610145,197,5914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498454839,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-01-18T16:35:25.436Z,2023-01-18T17:38:47Z,3983610551,130,17,3983610547,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3983610555,194,2hj88r72bbwnhqx12tv13jmqx,3983610553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3983610549,59,"1, 18, 7, 33, 88, 2, 80, 10, 77, 20, 34, 3, 11, 17, 23, 28, 36, 90",3983610557,197,8908,3983610559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983610545,30,"d0itp0eyxewvnm2shm0manw7p, 2rn8mnhlrtrbm6du97f54zckq, 3m13ipluel0m6cotha7n7vrop, 2hj88r72bbwnhqx12tv13jmqx, 7y7wrtvktvxfki86p41ptoell, ew1thxs8j5mwwqh075kzsjq0a, b81lneik0objvk15uf6m4cewa, 92resfejh2m1oygglkjdk0u7d, 9m3bkbdedtddfeix57rj2f7c9, 1yq8ig3ffq1j5imjci3g3tfdg, 58qrdtv5emnvcojqkmnpx5ffu, 243h2yiww7rrz20i0le43jtux, mzrka1w28qc7vgr5xmcngqg9, 3zkgg98u1fvuospd2avl4qy2, 8thfkx6q306ewh6mlba8ztqzt, 99eumu17h5sxriw5vfczvdb6d, 973qhpd6czw3u8h0788uq9ez8, 3are60mt98ibeazgcyjvuy7tg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498467473,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-01-18T17:30:55.451Z,2023-01-18T17:30:55Z,3983679613,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498467485,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-01-18T17:30:55.451Z,2023-02-01T11:05:53Z,3983679665,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498467495,3,1,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,49.8,50.1,2023-01-18T17:30:55.767Z,2023-01-19T04:22:09Z,3984272277,178,,3983679717,212,14.4,3983679719,213,2.9,3983679721,279,S,3983679711,56,Back,3983679713,140,36.6,3983679715,141,55.8,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498467519,4,1,1,0,1,7zibyotq1x1hq6pmgibhr0e6s,1,39.7,49,2023-01-18T17:30:57.296Z,2023-01-19T09:36:08Z,3983679839,140,29.3,3984272295,178,,3983679841,141,5.3,3983679837,56,Back,3983679845,213,4.4,3983679843,212,31.7,,,,,,,a7ip51ik4rkqcvgdsh64ln09g,A. Vermeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498467535,5,1,1,0,3,7zibyotq1x1hq6pmgibhr0e6s,1,31.9,23,2023-01-18T17:30:58.850Z,2023-01-19T09:36:08Z,3983679927,213,2.7,3983679919,56,Back,3983679921,140,8.5,3984272325,178,,3983679925,212,27.5,3983679923,141,41.2,,,,,,,1h9jdj5ag99myeoirxzh92od1,R. De Laet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498467575,6,1,1,0,6,7zibyotq1x1hq6pmgibhr0e6s,1,10.2,41.9,2023-01-18T17:31:01.828Z,2023-01-19T09:36:07Z,3983680161,141,13.8,3983680155,157,,3983680165,213,5.8,3983680163,212,43.1,3983680157,56,Back,3983680159,140,47.0,3984272357,178,,3983680167,1,,r0hm6ahwcvdu57bgfi5zkslx,J. Butez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498467579,7,1,1,0,11,7zibyotq1x1hq6pmgibhr0e6s,0,48,12.5,2023-01-18T17:31:07.105Z,2023-01-19T09:36:07Z,3984272405,178,,3983680181,56,Back,3983680183,140,43.0,3983680185,141,20.1,3983680179,3,,3983680189,213,2.4,3983680187,212,7.4,,,,cl2mi40x3gjsan1iifpbwec4p,A. Muja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498467593,3,61,1,0,12,2b57rbw94i9ohnbch52owvqtq,1,53.6,82.7,2023-01-18T17:31:07.681Z,2023-01-19T09:36:07Z,3984272735,15,,3983680257,56,Left,3984272737,178,,,,,,,,,,,,,,,,,b81lneik0objvk15uf6m4cewa,P. Dwomoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
