id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/17/value
2506232275,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-02-11T14:14:29.288Z,2023-02-11T21:59:59Z,4024407945,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4024407951,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4024407943,30,"6q53ei01tbb5kxjr1mhfjysph, bhh6z1ezmsngsu3isbsur2mp6, 7dayrhr0c60zbc1b6lig8pm8l, fs5utga62tud5s06xj27qdat, etos5xv3v2ptiktdk5yuhrjkl, ettrapmxg36vw2egivejegzc9, 18pgjfpl9s8qy32mblzygsyc5, 99tf4co0pm09ayca13ma3lql1, adrn1x15rsehvnava8q9ofuvo, 8fs5klbsyx06c5ds9s1i3xu96, 1khy4w78z012p8z20gcp0nrvt, 7dnxkce4kn8qchaavv6e4tm21, 2igz499o21aihmkugktp3nyms, 2cc5y9hjnc8nqrh58ojz6ajth, 6dq0jj1p2nozaqiqxlt95cd1w, eyvf8uu7jltbzalaov3qt1w5, be0ws51ws5cm9wzmcp3ozmklx, bdslzeqnm2a3o9yr1tsxuoydw",4024407957,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024407953,194,18pgjfpl9s8qy32mblzygsyc5,4024407947,59,"1, 4, 14, 23, 5, 2, 24, 13, 20, 7, 11, 10, 19, 22, 27, 31, 33, 36",4024407955,197,3190,4024407949,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506266565,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-02-11T14:49:15.996Z,2023-02-11T16:06:34Z,4024582129,30,"6qlfe04qjldj3rkeeme6gdi39, e2z19y8is5m24brpa3gzn02qx, bjhjz96omjukrg6tj3mny39t6, 8hl43dvm1d57g011yacyoooa1, 5ujoracvgg00kzd0a8rh8oa1h, 9kywhmzih4xhuz5d1rrxjcpd6, 96xomdtz505yoaz35i5bb8f84, auqy1bigw2a1owxg441wojzyt, 2j8y06wuinnx87eetadj55zo5, 12c7rhdjh6rja1d2j45n3exyi, dd711ekg0nlaosmsy2lz13syy, f03fccqnepjczr841h0zqdeui, 5zpg8fnqc4luuhlonsn5nbw4q, 2aemkadh3bhtgm5db8r89pvit, bxcrdkrcljgx6l4o0uy4rom3t, 7y2fbdkqsz35hgsib6rail1hx, 9qm1adecprlczxw7ldbpvoi51, 1ezai0a0n3xem17lwhtxwaml1",4024582143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4024582133,59,"1, 22, 11, 4, 33, 24, 45, 7, 5, 14, 39, 79, 17, 20, 23, 25, 32, 55",4024582135,130,2,4024582139,194,auqy1bigw2a1owxg441wojzyt,4024582131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4024582141,197,13704,4024582137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275255,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-02-11T15:01:08.689Z,2023-02-11T23:31:37Z,4024620969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275235,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-02-11T15:01:08.689Z,2023-02-11T15:01:08Z,4024620897,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275303,3,1,1,0,0,8y3iucyxguipljcmf87a11bk9,1,50,50,2023-02-11T15:01:08.824Z,2023-02-12T02:51:00Z,4024621175,213,2.8,4024621173,212,14.0,4027336779,178,,4024621167,56,Back,4024621177,279,S,4024621171,141,57.6,4024621169,140,37.6,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275333,4,1,1,0,2,8y3iucyxguipljcmf87a11bk9,1,40.3,54.6,2023-02-11T15:01:10.843Z,2023-02-12T08:21:32Z,4027336875,178,,4024621305,140,33.6,4024621311,213,1.9,4024621303,56,Back,4024621307,141,85.9,4024621309,212,22.4,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275395,5,1,1,0,3,8y3iucyxguipljcmf87a11bk9,1,33.4,77.2,2023-02-11T15:01:12.483Z,2023-02-12T08:21:32Z,4024621619,56,Back,4024621623,141,66.0,4024621625,212,15.3,4027337141,178,,4024621621,140,20.8,4024621627,213,3.7,,,,,,,fs5utga62tud5s06xj27qdat,J. Torunarigha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275435,6,1,1,0,8,8y3iucyxguipljcmf87a11bk9,1,16.6,47,2023-02-11T15:01:16.975Z,2023-02-12T08:21:31Z,4024621797,213,5.3,4024621791,140,22.2,4024621789,56,Back,4027337299,178,,4024621795,212,10.1,4024621793,141,34.9,,,,,,,etos5xv3v2ptiktdk5yuhrjkl,M. Ngadeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275465,7,1,1,0,10,8y3iucyxguipljcmf87a11bk9,1,21.5,25.4,2023-02-11T15:01:19.682Z,2023-02-12T08:21:29Z,4024621937,140,53.2,4027669197,1,,4027337377,178,,4024621941,212,33.6,4024621939,141,32.5,4024621935,56,Center,4024621943,213,0.1,4024621933,155,,ettrapmxg36vw2egivejegzc9,J. Okumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506275469,8,61,1,0,12,8y3iucyxguipljcmf87a11bk9,0,48.2,20.7,2023-02-11T15:01:20.870Z,2023-02-12T08:21:29Z,4024621949,56,Back,4027337717,178,,,,,,,,,,,,,,,,,,,,8fs5klbsyx06c5ds9s1i3xu96,Hong Hyun-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
