id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,assist,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/13/value,qualifier/14/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/12/value,qualifier/15/value
2482328207,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2022-11-06T11:42:18.005Z,2022-11-07T09:46:41Z,3898628811,59,"22, 17, 2, 14, 44, 28, 27, 20, 9, 19, 15, 6, 7, 10, 11, 70, 89, 91",3898628821,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898628819,197,16624,3898628817,194,x3g0yyxs0j4o8fxphxtf0st1,3898628809,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3898628807,30,"byfrgpc6tgz8lto1gor03y5sl, acx78ftnm61hm01wpmme77hbe, 1hlvnmu8we38d44sdexhhxcyd, 16o074zua15qkk7x0me7gi1w4, l6y4o9t2b0jxaxo85oztok45, 99jqn2osue4tyo1l7yb93s639, ecnh65kkhku5mdkr3il4fl6tx, x3g0yyxs0j4o8fxphxtf0st1, 9mlj7fxon5zy1qmktvvcwjrl6, 4f8xb5sbyksacxmifi375h7qi, mkq18lpl3d44wxq974mci5wq, bgzvhtk50gvmq6noheadmc34l, 5asv6uc3a4xxsr9u30kdfc0ve, 7ew7g18qo649t8ld44omgib55, 3rrges782prcprsn207dk4zit, 32eyq4xvy8s1ng11jnavvh32t, evcq2pbyad7zn3okc33upat0q, 398isvyux7zpjiwa2hzsxyc16",3898628813,130,12,3898628815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482330373,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-11-06T11:45:34.505Z,2022-11-06T12:52:15Z,3898637965,194,9hiut57u02lly1nfdixef8bth,3898637949,30,"6q53ei01tbb5kxjr1mhfjysph, 1d2fpmtdglpqwyhnc657n77it, c517lc5fmsd9ugk638s2o9iad, fs5utga62tud5s06xj27qdat, etos5xv3v2ptiktdk5yuhrjkl, ettrapmxg36vw2egivejegzc9, 9hiut57u02lly1nfdixef8bth, 18pgjfpl9s8qy32mblzygsyc5, 1khy4w78z012p8z20gcp0nrvt, cxa3j4u8eh5w947p1iba47yfo, 8fs5klbsyx06c5ds9s1i3xu96, ebx4h86svfnvegspalqgxqfah, 7dnxkce4kn8qchaavv6e4tm21, 99tf4co0pm09ayca13ma3lql1, 7dayrhr0c60zbc1b6lig8pm8l, b9wew8z92aj36vvxfj3q7kxcl, eyvf8uu7jltbzalaov3qt1w5, be0ws51ws5cm9wzmcp3ozmklx",3898637971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898637955,59,"1, 17, 25, 23, 5, 2, 8, 24, 11, 16, 7, 6, 10, 13, 14, 29, 31, 33",3898637969,197,3312,3898637951,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3898637957,130,12,3898637961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358449,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2022-11-06T12:30:43.252Z,2022-11-06T12:30:45Z,3898771549,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358441,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-11-06T12:30:43.252Z,2022-11-06T18:32:04Z,3898771525,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358455,3,1,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,49.7,50.1,2022-11-06T12:30:43.323Z,2022-11-06T21:03:32Z,3898771609,212,22.6,3901184431,178,,3898771607,141,47.8,3898771613,279,S,3898771603,56,Back,3898771611,213,3.2,3898771605,140,28.2,,,,9mlj7fxon5zy1qmktvvcwjrl6,Ferran Jutglà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358515,4,1,1,0,2,1oyb7oym5nwzny8vxf03szd2h,0,34.7,49,2022-11-06T12:30:45.979Z,2022-11-07T06:05:20Z,3901184535,178,,3898771923,141,90.2,3898771925,212,39.3,3898771929,1,,3898771927,213,0.8,3898771921,140,60.9,3898771917,155,,3898771919,56,Left,l6y4o9t2b0jxaxo85oztok45,B. Mechele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358537,3,1,1,0,5,8y3iucyxguipljcmf87a11bk9,0,34.3,11.9,2022-11-06T12:30:48.919Z,2022-11-07T06:05:20Z,3898772063,212,33.6,3898772065,213,0.0,3898772055,3,,3898772067,1,,3901184667,388,,3898772061,141,14.3,3898772057,56,Right,3898772059,140,66.3,9hiut57u02lly1nfdixef8bth,V. Odjidja-Ofoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358569,5,1,1,0,7,1oyb7oym5nwzny8vxf03szd2h,1,45.9,81.8,2022-11-06T12:30:50.674Z,2022-11-07T06:05:20Z,3898772205,140,36.4,3898772211,213,2.6,3898772203,56,Back,3898772207,141,91.4,3898772209,212,11.9,3901184803,178,,3898772201,3,,,,,16o074zua15qkk7x0me7gi1w4,B. Meijer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358581,6,1,1,0,9,1oyb7oym5nwzny8vxf03szd2h,0,47.2,86.2,2022-11-06T12:30:52.440Z,2022-11-07T06:05:19Z,3898772245,3,,3898772251,141,77.2,3898772255,213,3.6,3898772253,212,14.5,3898772247,56,Back,3898772249,140,34.7,3901184887,178,,,,,1hlvnmu8we38d44sdexhhxcyd,E. Sobol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358613,4,1,1,0,9,8y3iucyxguipljcmf87a11bk9,0,54.4,20.2,2022-11-06T12:30:53.203Z,2022-11-07T06:05:19Z,3901185011,388,,3898772417,141,34.0,3898772415,140,63.5,3898772419,212,13.4,3898772413,56,Center,3898772421,213,0.8,,,,,,,8fs5klbsyx06c5ds9s1i3xu96,Hong Hyun-Seok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482818207,892,43,1,0,11,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2022-11-06T12:30:55.136Z,2022-11-07T00:58:48Z,3901549539,144,67,3901258315,233,825,,,,,,,,,,,,,,,,,,,mkq18lpl3d44wxq974mci5wq,R. Onyedika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482818205,825,43,1,0,11,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-11-06T12:30:55.137Z,2022-11-07T00:58:48Z,3901258331,233,892,3901549537,144,67,,,,,,,,,,,,,,,,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358669,7,1,1,0,13,1oyb7oym5nwzny8vxf03szd2h,1,36.5,54.3,2022-11-06T12:30:56.706Z,2022-11-07T06:05:18Z,3898772709,212,25.4,3898772713,213,4.7,3898772701,140,36.1,3901185061,178,,3898772697,56,Back,3898772705,141,17.0,,,,,,,mkq18lpl3d44wxq974mci5wq,R. Onyedika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358733,8,1,1,0,14,1oyb7oym5nwzny8vxf03szd2h,1,37.5,22.3,2022-11-06T12:30:58.088Z,2022-11-07T06:05:18Z,3901185147,178,,3898773019,212,9.3,3898773015,140,28.7,3898773017,141,20.9,3898773021,213,3.2,3898773013,56,Back,,,,,,,acx78ftnm61hm01wpmme77hbe,T. Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482818401,826,83,1,0,17,8y3iucyxguipljcmf87a11bk9,1,67.1,74.9,2022-11-06T12:31:00.276Z,2022-11-07T06:05:17Z,3901259323,399,80235,,,,,,,,,,,,,,,,,,,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358753,9,1,1,0,18,1oyb7oym5nwzny8vxf03szd2h,1,32.2,30,2022-11-06T12:31:01.805Z,2022-11-07T06:05:17Z,3898773113,213,2.2,3898773109,141,51.6,3898773107,140,22.7,3898773105,56,Back,3901185317,178,,3898773111,212,17.8,,,,,,,99jqn2osue4tyo1l7yb93s639,D. Boyata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358795,10,1,1,0,20,1oyb7oym5nwzny8vxf03szd2h,1,23,49.1,2022-11-06T12:31:03.590Z,2022-11-07T06:05:16Z,3898773315,213,3.3,3898773313,212,18.6,3898773307,56,Back,3898773309,140,5.6,3901185375,178,,3898773311,141,44.0,,,,,,,l6y4o9t2b0jxaxo85oztok45,B. Mechele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358843,11,1,1,0,24,1oyb7oym5nwzny8vxf03szd2h,1,10.2,43,2022-11-06T12:31:08.120Z,2022-11-07T06:05:15Z,3898773557,155,,3898773559,56,Back,3898773561,140,43.9,3901185457,178,,3898773567,213,0.7,3898773569,1,,3898773565,212,46.8,3898773563,141,88.1,byfrgpc6tgz8lto1gor03y5sl,S. Mignolet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358883,12,1,1,0,27,1oyb7oym5nwzny8vxf03szd2h,1,47.2,85.1,2022-11-06T12:31:11.236Z,2022-11-07T06:05:15Z,3898773757,213,0.7,3898773745,3,,3898773751,140,54.2,3898773755,212,9.9,3901185515,388,,3898773753,141,94.8,3898773749,56,Left,3898773747,168,,x3g0yyxs0j4o8fxphxtf0st1,H. Vanaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482818777,828,43,1,0,29,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-11-06T12:31:12.902Z,2022-11-07T01:00:12Z,3901550581,144,83,3901261133,399,119674,,,,,,,,,,,,,,,,,,,1d2fpmtdglpqwyhnc657n77it,A. Hjulsager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482358893,13,1,1,0,30,1oyb7oym5nwzny8vxf03szd2h,1,59,96.8,2022-11-06T12:31:14.052Z,2022-11-07T06:05:14Z,3898773809,140,62.8,3898773807,56,Left,3901185553,178,,3898773811,141,87.2,3898773815,213,5.3,3898773813,212,7.7,,,,,,,1hlvnmu8we38d44sdexhhxcyd,E. Sobol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
