id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2527692083,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2023-04-02T16:27:05.719Z,2023-04-02T17:16:59Z,4158691127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158691125,130,12,4158691133,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158691121,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158691123,59,"49, 2, 94, 44, 59, 26, 8, 10, 7, 11, 20, 6, 14, 18, 19, 21, 23, 28, 29, 85",4158691131,197,8159,4158691119,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, e44w6g1c1ojf854svzswpl0x5, 1i1xcco82x0ppbac6j5z59x49, 7bwjxz6bwt7h070dbv1l8woyy, f0ean6buvvp9l4rh1ayvnnill, 5j13tgvpwi7m3y6rjd8q08tt5, 6xam5bquregefbepxd9rwfdh, a6cke0ad2pvuyahweuch772ay, ai5p5wgft6c09bjbldz9sfeac, 39tod1iad3ztq17qveh8pwp9l, 7a6hqi5iy91onh9u7l7t88tbe, 3erazo7mu37w7uszk0z7k1uui, 81sfrpdzz1nymxg1b5noo67ai, ths196pehnfyf4f4scmqj8ph, 1a9u2g4hynrz2e93sz1evhpzp, di9k6xr6j4arjoltl7s9yp6cq, 4rh8xwozidxiwvl4wi2rn0fe1, 15odj8wui8136996wi2d5t7md, 2fbq6ac2mma2tyjc2kqrpfms4",4158691129,194,6xam5bquregefbepxd9rwfdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527704187,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-04-02T16:41:18.480Z,2023-04-02T17:18:30Z,4158753745,194,5a2sf4o445ei5pqiinvmjmpcl,4158753721,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, eakj3xa0pa88pajbvasbwqwdm, 12lkxylg8puzxow8ewpsd0b11, 5a2sf4o445ei5pqiinvmjmpcl, esvfsx8gxqw8h0codqz5xmnmc, 4rwvkp9xlyv314ceglbauou6t, 7d57au4z5cuxc5k6tu6qgp94a, 9mmwn9yt1olhyr54j45e28xcl, b24ytr3apnyp7z17c124tu1yi, 9rwn5wckqcb5inw1dhhmpj1t5, bk9fq3chnhmw3u36qz5vf1vjd, 2n808wa0h841cn8xi78n21v8q, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, bc5vmdnoyshdi5hcgu8dgqxyi, cqpgxrqear6p6pz3p8r3xvh90, 9qafk5ke1yzqggkcmf1zqevp",4158753725,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4158753741,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4158753753,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158753729,59,"21, 4, 77, 20, 26, 16, 30, 6, 91, 8, 27, 7, 9, 11, 12, 13, 14, 22",4158753749,197,16140,4158753735,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527734273,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-04-02T17:15:43.909Z,2023-04-02T17:15:45Z,4158909413,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527734253,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2023-04-02T17:15:43.909Z,2023-04-02T17:15:44Z,4158909359,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527734597,3,1,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,50,50,2023-04-02T17:15:44.009Z,2023-04-02T17:16:10Z,4158911141,140,29.9,4158911145,212,21.8,4158911139,56,Back,4158911147,213,2.9,4158911149,279,S,4158911143,141,58.2,,,,,,,5j13tgvpwi7m3y6rjd8q08tt5,L. Amani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527773769,472,1,1,0,24,ecj1gmc7pqcjo4sc9hvghj5u3,1,29.2,44,2023-04-02T17:16:07.909Z,2023-04-02T18:07:43Z,4159112003,141,39.5,4159112005,212,4.1,4159112001,140,31.8,4159112007,213,5.4,4159111999,56,Back,,,,,,,,,,7bwjxz6bwt7h070dbv1l8woyy,I. Kandouss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527734641,4,1,1,0,26,ecj1gmc7pqcjo4sc9hvghj5u3,1,31,38,2023-04-02T17:16:10.041Z,2023-04-02T17:16:12Z,4158911345,213,1.6,4158911341,141,69.4,4158911337,56,Back,4158911339,140,30.2,4158911343,212,21.4,,,,,,,,,,f0ean6buvvp9l4rh1ayvnnill,R. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527734671,5,1,1,0,28,ecj1gmc7pqcjo4sc9hvghj5u3,1,30.2,69.3,2023-04-02T17:16:12.553Z,2023-04-02T18:07:43Z,4158911553,141,51.3,4158911557,213,3.6,4158911555,212,25.6,4158911551,140,8.8,4158911549,56,Back,,,,,,,,,,e44w6g1c1ojf854svzswpl0x5,L. Lapoussin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527734703,6,1,1,0,33,ecj1gmc7pqcjo4sc9hvghj5u3,0,9.3,50.6,2023-04-02T17:16:17.073Z,2023-04-02T17:16:18Z,4158911757,212,63.1,4158911751,56,Right,4158911749,157,,4158911755,141,15.3,4158911761,1,,4158911753,140,64.9,4158911759,213,5.9,,,,a8kdcx3797ityilpw31jaj4r9,A. Moris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527734723,3,1,1,0,34,2989v3kho9h5jaboe1nr7lx21,0,32.8,86.6,2023-04-02T17:16:18.676Z,2023-04-02T17:16:20Z,4158911869,213,0.3,4158911863,140,45.6,4158911865,141,93.6,4158911861,56,Back,4158911867,212,14.3,4158911859,3,,,,,,,,eakj3xa0pa88pajbvasbwqwdm,E. Bocat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
