id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/14/value,qualifier/12/value,qualifier/11/value,qualifier/15/value,assist,qualifier/17/value
2537866101,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-04-23T10:54:45.879Z,2023-04-23T11:27:55Z,4212791889,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212791887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212791881,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4212791879,30,"5q4wztjkk6nuwapm7qgey9w45, 9qafk5ke1yzqggkcmf1zqevp, eakj3xa0pa88pajbvasbwqwdm, 12lkxylg8puzxow8ewpsd0b11, 4fc3xit5tx2o583prbwhkq8d1, esvfsx8gxqw8h0codqz5xmnmc, 4rwvkp9xlyv314ceglbauou6t, 7d57au4z5cuxc5k6tu6qgp94a, 9mmwn9yt1olhyr54j45e28xcl, b24ytr3apnyp7z17c124tu1yi, bc5vmdnoyshdi5hcgu8dgqxyi, bk9fq3chnhmw3u36qz5vf1vjd, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, cqpgxrqear6p6pz3p8r3xvh90, 7n75ohdnbi436je81n5f8f9m2, 5a2sf4o445ei5pqiinvmjmpcl, 3lpt3fz7lrqy243ftejcmluz8",4212791883,59,"21, 22, 77, 20, 37, 16, 30, 6, 91, 8, 13, 7, 11, 12, 14, 19, 26, 32",4212791885,130,10,4212897257,194,4fc3xit5tx2o583prbwhkq8d1,4212901029,197,16140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537866737,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-04-23T10:55:51.171Z,2023-04-23T11:37:29Z,4212795321,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4212795313,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4212795315,59,"1, 34, 22, 48, 23, 51, 11, 27, 7, 14, 10, 2, 8, 24, 26, 32, 33, 52",4212899161,194,9tc6mprxpu2rc5ptlp5ljw7h1,4212899163,197,3769,4212795319,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4212795317,130,8,4212795311,30,"r0hm6ahwcvdu57bgfi5zkslx, cyh16toqa9wxmxepg635ecgve, 70h2g33o2w7f32dtx76wji99m, a7ip51ik4rkqcvgdsh64ln09g, 9tc6mprxpu2rc5ptlp5ljw7h1, ecwzzrkn1snbua5yu4gehxm2, cl2mi40x3gjsan1iifpbwec4p, cjf412x9sg56vos0jkj85k3ys, 1rqpbl0ivf8qwdvi6gqpgxz9x, 9tgbdheyuooa8cfz06l577end, dcjf15sf1dbb6w17foz25uuei, 1h9jdj5ag99myeoirxzh92od1, cefs6b83ei4gcyuscfopw32ay, d19yalwh3i2olvpwoi89feqjt, 4114auk4o8n6higc918qymc4p, 2tsn78gg5xyw81srfdn05hw8a, 9gt3izdka3a0nh7r9uazkueqc, 783gcbge6tm3dosc9jou2jqc4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537888405,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-04-23T11:30:16.784Z,2023-04-23T11:30:16Z,4212914265,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537888413,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-04-23T11:30:16.784Z,2023-04-23T19:31:03Z,4212914301,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537888477,3,1,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,49.8,50,2023-04-23T11:30:16.804Z,2023-04-23T20:34:10Z,4212914655,141,57.6,4212914661,279,S,4212914653,140,31.0,4215640089,178,,4212914657,212,20.4,4212914651,56,Back,4212914659,213,2.9,,,,9mmwn9yt1olhyr54j45e28xcl,G. Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537888499,4,1,1,0,2,2989v3kho9h5jaboe1nr7lx21,1,32,50.8,2023-04-23T11:30:19.481Z,2023-04-24T08:19:46Z,4212914751,140,28.7,4212914757,213,4.4,4212914755,212,13.3,4212914749,56,Back,4212914753,141,31.9,4215640465,178,,,,,,,,4fc3xit5tx2o583prbwhkq8d1,T. Leistner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537888537,5,1,1,0,5,2989v3kho9h5jaboe1nr7lx21,1,39.6,20.7,2023-04-23T11:30:22.461Z,2023-04-24T08:19:45Z,4212914963,140,58.4,4212914971,141,23.9,4212914959,56,Center,4212914979,213,0.1,4215640699,178,,4212914975,212,19.9,,,,,,,esvfsx8gxqw8h0codqz5xmnmc,M. Smets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537888647,6,1,1,0,7,2989v3kho9h5jaboe1nr7lx21,1,58.4,16,2023-04-23T11:30:24.435Z,2023-04-24T08:19:44Z,4212915583,213,4.8,4212915579,212,5.1,4212915573,56,Right,4215640995,178,,4212915577,141,8.5,4212915575,140,59.0,,,,,,,4rwvkp9xlyv314ceglbauou6t,S. Okazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537916307,277,1,1,0,8,2989v3kho9h5jaboe1nr7lx21,1,63.5,2.1,2023-04-23T11:30:25.117Z,2023-04-24T08:19:44Z,4215641355,178,,4213052739,213,2.0,4213052737,212,9.7,4213052731,56,Right,4213052733,140,60.0,4213052735,141,15.3,,,,,,,9qafk5ke1yzqggkcmf1zqevp,W. Janssens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537916473,279,1,1,0,9,2989v3kho9h5jaboe1nr7lx21,0,66.1,13.8,2023-04-23T11:30:26.565Z,2023-04-24T08:19:43Z,4215642023,178,,4213053549,56,Right,4213053557,212,22.5,4213053553,140,87.3,4213053561,213,6.1,4213053555,141,8.9,,,,,,,4rwvkp9xlyv314ceglbauou6t,S. Okazaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
