id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value
2503942151,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-02-04T16:30:11.518Z,2023-02-05T14:58:18Z,4012354305,130,11,4012649097,194,eiqmp3nbc50r40bl86u2sj55h,4012354301,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4012354311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012354309,197,8121,4012354299,30,"6sdv4s8oz558wfhx72vwlpvu2, 41gpjj5od0ww4rnopzgp1oetw, 2xletuhhaxmfqbjbgq4ehpyol, 7t9bynn5mbmy3b0v9cduifxex, 8qa4s74yhn2u9n5tm4mfi934k, ditnpqgspoih5ich7c5vn44fe, 7abgw25wb5amn0uq347d4x61h, ag74mepy9fnmlykodxo0oxhwp, 8xjlysmwl5vnhcnvsynftjd62, eiqmp3nbc50r40bl86u2sj55h, 1fu9y7gemoii89ejj7bkex78p, 1oux70eo5dakzh697p0j7kpre, 6wt29oce6gsthhpmhq705vl9m, codwa9jioox7i007f4iazwst1, 6r9qf9hptfwyefpsk9douhnt, 77fldfqlxps1xbdg29anv4vai, dxnhp97vrepkx0kcr0d46yb1m, 50iwwx11r99cvce6x8cp52c16",4012354307,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4012354303,59,"1, 27, 3, 5, 28, 15, 23, 6, 11, 8, 10, 13, 2, 9, 14, 17, 29, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503956971,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-02-04T16:38:48.658Z,2023-02-05T15:06:00Z,4012649431,194,auqy1bigw2a1owxg441wojzyt,4012436613,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4012436595,30,"6qlfe04qjldj3rkeeme6gdi39, e2z19y8is5m24brpa3gzn02qx, bjhjz96omjukrg6tj3mny39t6, 7xs1rx9jos4ls85u362y9hqeh, 5ujoracvgg00kzd0a8rh8oa1h, 9kywhmzih4xhuz5d1rrxjcpd6, 9qm1adecprlczxw7ldbpvoi51, auqy1bigw2a1owxg441wojzyt, 12c7rhdjh6rja1d2j45n3exyi, 8hl43dvm1d57g011yacyoooa1, 96xomdtz505yoaz35i5bb8f84, 14ck81f8xibt3fzzxmy1mvka2, 5zpg8fnqc4luuhlonsn5nbw4q, 87c9tlpspwdcluu4iwomb5pbe, 2aemkadh3bhtgm5db8r89pvit, bxcrdkrcljgx6l4o0uy4rom3t, 7y2fbdkqsz35hgsib6rail1hx, 1ezai0a0n3xem17lwhtxwaml1",4012436607,59,"1, 22, 11, 8, 33, 24, 32, 7, 14, 4, 45, 3, 17, 18, 20, 23, 25, 55",4012436617,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012436615,197,8173,4012436611,130,8,4012436601,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997515,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2023-02-04T17:15:08.890Z,2023-02-04T17:15:09Z,4012655999,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997521,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-02-04T17:15:08.890Z,2023-02-05T04:45:05Z,4012656029,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997539,3,1,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,50.2,49.6,2023-02-04T17:15:08.927Z,2023-02-05T05:49:21Z,4012656115,56,Back,4012656123,213,3.6,4012656119,141,41.2,4012656117,140,38.8,4014045667,178,,4012656121,212,13.3,4012656125,279,S,,,,12c7rhdjh6rja1d2j45n3exyi,K. Vaesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997549,4,1,1,0,1,2nhn3ikl1ciq34w3hcp883d6p,1,46.2,45.5,2023-02-04T17:15:10.792Z,2023-02-05T05:49:28Z,4012656165,56,Back,4012656167,140,41.2,4014045841,178,,4012656171,212,14.3,4012656169,141,65.1,4012656173,213,1.9,,,,,,,7xs1rx9jos4ls85u362y9hqeh,N. Madsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997573,5,1,1,0,3,2nhn3ikl1ciq34w3hcp883d6p,1,41.7,64.9,2023-02-04T17:15:12.872Z,2023-02-05T05:49:41Z,4012656309,140,53.0,4012656307,56,Left,4012656311,141,93.0,4012656315,213,1.0,4012656313,212,22.5,4014046031,178,,,,,,,,auqy1bigw2a1owxg441wojzyt,L. Van Eenoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997657,6,1,1,0,5,2nhn3ikl1ciq34w3hcp883d6p,1,55,93.5,2023-02-04T17:15:14.442Z,2023-02-05T05:49:49Z,4012656533,213,5.4,4012656527,140,62.0,4012656531,212,11.3,4012656529,141,80.9,4014046393,178,,4012656525,56,Left,,,,,,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997669,7,1,1,0,6,2nhn3ikl1ciq34w3hcp883d6p,1,63.1,81.2,2023-02-04T17:15:15.282Z,2023-02-05T05:49:58Z,4012656593,140,54.7,4012656601,213,2.7,4012656597,212,9.9,4014046703,178,,4012656595,141,87.8,4013685403,156,,4012656591,56,Left,,,,8hl43dvm1d57g011yacyoooa1,M. Fixelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503997689,8,1,1,0,7,2nhn3ikl1ciq34w3hcp883d6p,1,54.7,87.8,2023-02-04T17:15:16.106Z,2023-02-05T05:50:13Z,4014046847,178,,4012656693,196,,4012656703,213,4.5,4012656699,141,5.3,4012656701,212,57.9,4012656697,140,41.2,4012656705,1,,4012656691,155,,bjhjz96omjukrg6tj3mny39t6,M. De Cuyper,4012656695,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
