id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/9/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2475595465,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-10-22T15:33:28.940Z,2022-10-22T17:12:15Z,3863088553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3863088547,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3863088549,59,"12, 6, 20, 4, 28, 14, 11, 24, 9, 33, 13, 7, 10, 15, 25, 27, 29, 43",3863088545,30,"49vbniwasp2kyt27jw0cv6m6t, dvomh2gx3wd5x5v1dmlnkdpzp, 9fvwcsajeousbo5o0e84cj2sp, 91qd93lqgpe700ps0b6a7ntn9, 1abf0y93zbw1sw183nblqoicp, 4juerzftkeiuzctoiei6dmtp1, a8pgjuz5yrbxyf1t905gj327d, 73z9v9oz73hlmnswrzp860yj9, cinzr4hnryu433l6z40j5x49h, f3e9qk9oz4feldhgetdpcd0ph, 2vmpkyku0hwv0zdbbzunt2xux, 1kst4u41rlyirggwoo1m8ovdh, d1j29sgb7rmc6dxe3koyyr0et, 91sex5ir1pp4b2beotoua7mqx, dmk8usvqtzv60bwkoxk7kfqxg, cjf412x9sg56vos0jkj85k3ys, 6u73l7tuxx0958ij9kvdizjrp, 58b30n3a3qc1s5tpfn8er7tw4",3863365461,197,8055,3863088559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863088551,130,6,3863088555,194,f3e9qk9oz4feldhgetdpcd0ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475609235,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-10-22T15:40:17.810Z,2022-10-22T16:11:46Z,3863162679,30,"3hbsrnnpcsjiocm57mcsf36xh, e5oet393vired282yco4i7gfd, eakj3xa0pa88pajbvasbwqwdm, 3krglbuxncb1fvl3p1sezhoq2, 4fc3xit5tx2o583prbwhkq8d1, 9qafk5ke1yzqggkcmf1zqevp, 77487qauk9fkzlesgze21odsl, 9rwn5wckqcb5inw1dhhmpj1t5, 4rwvkp9xlyv314ceglbauou6t, b24ytr3apnyp7z17c124tu1yi, 7d57au4z5cuxc5k6tu6qgp94a, bk9fq3chnhmw3u36qz5vf1vjd, 3i85rbmn6qd5x4y29hk78rmy1, 7n75ohdnbi436je81n5f8f9m2, 5a2sf4o445ei5pqiinvmjmpcl, b9swaz6cb0w97d2rimgh4jh90, a375qgbjxnpucpz3hprf2fkr9, 9mmwn9yt1olhyr54j45e28xcl",3863162687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3863162683,59,"12, 4, 77, 3, 37, 22, 10, 27, 30, 8, 6, 7, 11, 19, 26, 35, 44, 91",3863379625,197,1957,3863162685,130,12,3863162681,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3863379623,194,4fc3xit5tx2o583prbwhkq8d1,3863162689,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475653993,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-10-22T16:15:50.593Z,2022-10-23T01:06:58Z,3863395041,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475653989,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-10-22T16:15:50.593Z,2022-10-22T16:15:50Z,3863395037,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475654031,3,1,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,50.2,50.4,2022-10-22T16:15:50.799Z,2022-10-23T03:28:38Z,3863395121,140,43.6,3863395125,212,6.9,3863395131,279,S,3863395119,56,Back,3863395127,213,3.1,3865212451,178,,3863395123,141,51.0,,,,cinzr4hnryu433l6z40j5x49h,Mario González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475654055,4,1,1,0,2,bw9wm8pqfzcchumhiwdt2w15c,1,37.7,58.8,2022-10-22T16:15:52.644Z,2022-10-23T07:07:19Z,3865212471,178,,3863395275,212,23.4,3863395271,140,25.7,3863395269,56,Back,3863395273,141,29.8,3863395277,213,4.1,,,,,,,73z9v9oz73hlmnswrzp860yj9,C. De Norre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475654107,5,1,1,0,4,bw9wm8pqfzcchumhiwdt2w15c,1,22,39.8,2022-10-22T16:15:55.269Z,2022-10-23T07:07:18Z,3863395419,56,Back,3863395425,212,25.8,3863395421,140,34.3,3863395423,141,7.0,3865212491,178,,3863395427,213,5.2,,,,,,,1abf0y93zbw1sw183nblqoicp,E. Pletinckx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475654175,6,1,1,0,7,bw9wm8pqfzcchumhiwdt2w15c,1,29.5,4.6,2022-10-22T16:15:57.933Z,2022-10-23T07:07:17Z,3863395717,141,27.4,3863395713,56,Back,3863395719,212,26.1,3863395715,140,9.5,3863395721,213,2.5,3865212515,178,,,,,,,,dvomh2gx3wd5x5v1dmlnkdpzp,J. Dom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475654213,7,1,1,0,10,bw9wm8pqfzcchumhiwdt2w15c,1,9.8,28.5,2022-10-22T16:16:00.770Z,2022-10-23T07:07:17Z,3863627015,1,,3863395929,140,4.4,3863395935,213,1.7,3863395931,141,81.0,3863395927,56,Back,3863395933,212,36.1,3865212547,178,,,,,1abf0y93zbw1sw183nblqoicp,E. Pletinckx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475654225,8,43,1,0,15,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-10-22T16:16:06.102Z,2022-10-22T17:09:50Z,3863395975,213,1.7,3863395971,141,81.5,3863395969,140,3.8,3863395967,56,Back,3863395973,212,10.0,3863626633,144,1,,,,,,,49vbniwasp2kyt27jw0cv6m6t,V. Cojocaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
