id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2522565295,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2023-03-19T16:35:41.560Z,2023-03-19T17:32:05Z,4110703881,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, e44w6g1c1ojf854svzswpl0x5, 1i1xcco82x0ppbac6j5z59x49, 7bwjxz6bwt7h070dbv1l8woyy, f0ean6buvvp9l4rh1ayvnnill, 5j13tgvpwi7m3y6rjd8q08tt5, 6xam5bquregefbepxd9rwfdh, a6cke0ad2pvuyahweuch772ay, ai5p5wgft6c09bjbldz9sfeac, 39tod1iad3ztq17qveh8pwp9l, 7a6hqi5iy91onh9u7l7t88tbe, 5oqqifi0wo6xbjz0xjgwf89re, ths196pehnfyf4f4scmqj8ph, 1a9u2g4hynrz2e93sz1evhpzp, di9k6xr6j4arjoltl7s9yp6cq, 4rh8xwozidxiwvl4wi2rn0fe1, 15odj8wui8136996wi2d5t7md",4110703889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4110703891,194,6xam5bquregefbepxd9rwfdh,4110703883,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4110703895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4110703887,130,12,4110703885,59,"49, 2, 94, 44, 59, 26, 8, 10, 7, 11, 20, 6, 17, 19, 21, 23, 28, 29",4110703893,197,8159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522568377,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-03-19T16:38:06.374Z,2023-03-20T09:34:03Z,4110720145,30,"calut2wcnvfps97uj7dartf4l, b6hva6wki38za3hipscirr4h6, dsl7qkp6ndxky3lq89liw7yz9, 1df9uegp2hsbc4813no3mdvx1, 56sjqxlsf5iitgww0hogez8ph, 9svafwvk8lle1ex1m2y279905, ezg4lhvy2z4pkyvfrmi17y11x, cne8uwbnrwbwqjpj3pme1kbmx, 3nr55odndzunwlb658bsnlwx5, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, 1vhz040atckd3pnzwbky5uuvp, 3q5uylbjjiaoj3mn2l7p93jyt, 3k4ulxeya73ac9foemis7p6mt, 6es2qusg5h5q9ricqm51j1xck, btz2lf5s3h6svre1o5jgmvf85, 5egzwt11xlx1vz5dk9yu29q1g, 4lvn9721huirh2vvjvb07mdqs",4110720147,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4110720159,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4110720151,130,4,4110720149,59,"15, 6, 3, 22, 30, 4, 66, 14, 9, 7, 11, 2, 19, 21, 23, 27, 28, 31",4110720155,194,3eywxsna9qzi1egis1uj4l6mt,4110720157,197,1948,4110720153,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522619529,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-03-19T17:30:09.915Z,2023-03-19T17:30:12Z,4110997365,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522619519,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2023-03-19T17:30:09.915Z,2023-03-20T06:59:08Z,4110997317,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522619595,3,1,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,50.2,49.9,2023-03-19T17:30:10.143Z,2023-03-20T07:27:07Z,4110997693,56,Back,4110997697,141,36.3,4110997695,140,32.7,4110997703,279,S,4110997701,213,3.6,4110997699,212,20.6,4112400957,178,,,,,6xam5bquregefbepxd9rwfdh,T. Teuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522619617,4,1,1,0,4,ecj1gmc7pqcjo4sc9hvghj5u3,1,34.7,39.4,2023-03-19T17:30:14.151Z,2023-03-20T13:36:55Z,4110997813,56,Back,4110997817,141,47.9,4110997815,140,29.8,4110997821,213,2.3,4110997819,212,7.7,4112401039,178,,,,,,,,f0ean6buvvp9l4rh1ayvnnill,R. Sykes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522619659,5,1,1,0,6,ecj1gmc7pqcjo4sc9hvghj5u3,1,31.4,58.6,2023-03-19T17:30:15.947Z,2023-03-20T13:36:54Z,4112401181,178,,4110998091,212,19.8,4110998079,56,Back,4110998087,141,86.9,4110998083,140,35.9,4110998093,213,1.3,,,,,,,7bwjxz6bwt7h070dbv1l8woyy,I. Kandouss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522619715,6,1,1,0,9,ecj1gmc7pqcjo4sc9hvghj5u3,1,41.8,86.8,2023-03-19T17:30:19.823Z,2023-03-20T13:36:52Z,4110998349,140,34.2,4110998355,213,4.3,4110998353,212,18.3,4110998347,56,Back,4110998351,141,62.6,4112401293,178,,,,,,,,1i1xcco82x0ppbac6j5z59x49,S. Van der Heyden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522619735,7,1,1,0,13,ecj1gmc7pqcjo4sc9hvghj5u3,1,41.4,67.9,2023-03-19T17:30:23.370Z,2023-03-20T13:36:51Z,4110998457,56,Center,4110998463,212,15.5,4110998465,213,0.2,4110998459,140,56.0,4112401421,178,,4110998461,141,71.4,,,,,,,7bwjxz6bwt7h070dbv1l8woyy,I. Kandouss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522619745,8,1,1,0,14,ecj1gmc7pqcjo4sc9hvghj5u3,0,58.5,79.8,2023-03-19T17:30:24.386Z,2023-03-20T13:36:50Z,4110998505,56,Center,4110998511,212,25.0,4110998509,141,44.9,4110998513,213,5.0,4110998507,140,66.0,4112401533,178,,,,,,,,a6cke0ad2pvuyahweuch772ay,V. Boniface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
