id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,keyPass,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2451792171,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-08-27T17:50:54.259Z,2022-08-27T18:32:08Z,3736487025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736487015,59,"21, 4, 19, 3, 37, 22, 10, 44, 30, 8, 6, 7, 12, 16, 27, 32, 77, 91",3736487019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3736487023,197,1957,3736487017,130,12,3736487021,194,4fc3xit5tx2o583prbwhkq8d1,3736487011,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, 7n75ohdnbi436je81n5f8f9m2, 3krglbuxncb1fvl3p1sezhoq2, 4fc3xit5tx2o583prbwhkq8d1, 9qafk5ke1yzqggkcmf1zqevp, 77487qauk9fkzlesgze21odsl, a375qgbjxnpucpz3hprf2fkr9, 4rwvkp9xlyv314ceglbauou6t, b24ytr3apnyp7z17c124tu1yi, 7d57au4z5cuxc5k6tu6qgp94a, bk9fq3chnhmw3u36qz5vf1vjd, 3hbsrnnpcsjiocm57mcsf36xh, esvfsx8gxqw8h0codqz5xmnmc, 9rwn5wckqcb5inw1dhhmpj1t5, 3lpt3fz7lrqy243ftejcmluz8, eakj3xa0pa88pajbvasbwqwdm, 9mmwn9yt1olhyr54j45e28xcl",3736487013,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451794955,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-27T17:54:36.260Z,2022-08-27T18:51:50Z,3736502305,59,"15, 5, 18, 30, 23, 6, 7, 16, 10, 22, 17, 2, 4, 8, 9, 28, 32, 36",3736502313,197,1948,3736502311,194,25ey2mcvgwz6ls2612os5hzv9,3736502309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3736502307,130,10,3736502301,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3736502299,30,"calut2wcnvfps97uj7dartf4l, 4kuxth5k98x4cgfrfweu1u51, mlqit2c8my1ewqy6avrfhf8q, 56sjqxlsf5iitgww0hogez8ph, 92x3r5pxmvkgaxups0gdrvq39, b6hva6wki38za3hipscirr4h6, 3eywxsna9qzi1egis1uj4l6mt, 25ey2mcvgwz6ls2612os5hzv9, evktllmp3l6mfb6o4im0ag0ve, 1df9uegp2hsbc4813no3mdvx1, bkdtlerryn5f6iwvk5fcrku7d, 1vhz040atckd3pnzwbky5uuvp, 9svafwvk8lle1ex1m2y279905, zd582wgzhdcz8n6oipywt3vt, 3nr55odndzunwlb658bsnlwx5, 8lqiyhgp90sxu9bzmaa1o3t62, 7rpmnfn20qqxld0v81ip4madw, 389l5vu05vvucpbz8t31pxo9g",3736502315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451843909,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2022-08-27T18:45:12.539Z,2022-08-28T10:00:54Z,3736770657,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451843921,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-08-27T18:45:12.539Z,2022-08-27T18:45:14Z,3736770735,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451843979,3,1,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,50.2,49.7,2022-08-27T18:45:12.882Z,2022-08-28T10:17:21Z,3736771001,56,Back,3736771003,140,30.8,3736771009,213,2.7,3736771007,212,22.8,3736771005,141,64.6,3736771011,279,S,3739189949,178,,,,,a375qgbjxnpucpz3hprf2fkr9,C. Brüls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844021,4,1,1,0,3,2989v3kho9h5jaboe1nr7lx21,0,33.9,59.6,2022-08-27T18:45:15.561Z,2022-08-28T14:52:49Z,3736771287,1,,3736771277,56,Right,3736771283,212,48.2,3736771281,141,11.9,3736771279,140,67.9,3736771275,157,,3736771285,213,5.5,3739190277,178,,3krglbuxncb1fvl3p1sezhoq2,A. Al-Dakhil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844017,3,44,1,0,5,b7jmo07lqav0wfe2mtlzyspak,1,31.3,79.8,2022-08-27T18:45:18.289Z,2022-08-28T14:52:49Z,3736771247,56,Back,3736771251,285,,3736771427,233,5,,,,,,,,,,,,,,,,bkdtlerryn5f6iwvk5fcrku7d,S. Oum Gouet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844031,5,44,1,0,5,2989v3kho9h5jaboe1nr7lx21,0,68.7,20.2,2022-08-27T18:45:18.290Z,2022-08-28T14:52:48Z,3736771329,56,Right,3736771455,233,3,3736771331,286,,,,,,,,,,,,,,,,,b24ytr3apnyp7z17c124tu1yi,D. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844023,4,1,1,0,5,b7jmo07lqav0wfe2mtlzyspak,0,30.7,79.8,2022-08-27T18:45:18.420Z,2022-08-28T14:52:48Z,3736771295,140,39.0,3739190873,388,,3736771291,3,,3736771293,56,Back,3736771299,212,8.7,3736771301,213,0.1,3736771297,141,80.9,,,,bkdtlerryn5f6iwvk5fcrku7d,S. Oum Gouet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451844077,6,1,1,0,7,2989v3kho9h5jaboe1nr7lx21,1,63.3,28.8,2022-08-27T18:45:19.550Z,2022-08-28T14:52:48Z,3736771655,213,4.4,3736771651,141,6.8,3739191329,178,,3736771653,212,15.8,3736771647,56,Right,3736771649,140,58.6,,,,,,,a375qgbjxnpucpz3hprf2fkr9,C. Brüls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
