id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist
2461797933,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-09-18T10:39:47.835Z,2022-09-19T10:33:41Z,3789784141,197,3313,3789784143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789784129,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, ama1ibpjcfu206icrfmkgfavp, 68vmg4qgr11vppc48hs8402jt, 5enjhxrx2jrjqtgb9wwq0baax, c8m4ox6n1v89qbbjq73s5ezmx, a8k3ubqsi0duc3g4u5jnvcoa1, 7wh91ajt4v3w9kfdpp5hf5mmt, 7jpasvui43tnyao6ijyuuyuqc, 9pvc7e65cfgtuipfen5zt463t, cma24hkdklib8007a42cso38q, 5qpyf80if6m1o5vkwf1yt034l, 14w9q2mu6yq235ic55fxs0w2y, an7okg1fciccqu6300k8phisq, 43nbjlhluajhnansrk7xmirkk, 561pn6ha3pwbofjt8gbqhj0iy, 7zmgaactx19n77j9fl08pahyi",3789784133,59,"26, 23, 5, 17, 46, 2, 77, 8, 18, 34, 11, 4, 7, 10, 22, 25, 35, 40",3789784137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3789784131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3789784139,194,a8k3ubqsi0duc3g4u5jnvcoa1,3789784135,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461798219,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-09-18T10:40:23.136Z,2022-09-18T11:37:40Z,3789785563,30,"be0ws51ws5cm9wzmcp3ozmklx, 7s4ws0u4erq1jfobqpsj0aoes, 7dayrhr0c60zbc1b6lig8pm8l, fs5utga62tud5s06xj27qdat, etos5xv3v2ptiktdk5yuhrjkl, dnt7ahwfj8endqngxwfll1tjp, 9hiut57u02lly1nfdixef8bth, 18pgjfpl9s8qy32mblzygsyc5, 8fs5klbsyx06c5ds9s1i3xu96, b9wew8z92aj36vvxfj3q7kxcl, 1khy4w78z012p8z20gcp0nrvt, 6q53ei01tbb5kxjr1mhfjysph, ebx4h86svfnvegspalqgxqfah, cxa3j4u8eh5w947p1iba47yfo, 1d2fpmtdglpqwyhnc657n77it, 2igz499o21aihmkugktp3nyms, c517lc5fmsd9ugk638s2o9iad, eyvf8uu7jltbzalaov3qt1w5",3789785567,59,"33, 18, 14, 23, 5, 21, 8, 24, 7, 29, 11, 1, 6, 16, 17, 19, 25, 31",3789785565,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3789785569,130,18,3789785575,197,1941,3789785571,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3789785577,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3789785573,194,9hiut57u02lly1nfdixef8bth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461829397,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2022-09-18T11:31:15.598Z,2022-09-18T19:44:44Z,3789937689,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461829393,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2022-09-18T11:31:15.598Z,2022-09-18T11:31:15Z,3789937683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461829421,3,1,1,0,0,8y3iucyxguipljcmf87a11bk9,1,50,50,2022-09-18T11:31:15.610Z,2022-09-19T04:34:10Z,3789937795,56,Back,3789937799,141,56.4,3789937797,140,41.3,3789937805,279,S,3789937801,212,10.1,3789937803,213,2.7,3793198561,178,,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461829433,4,1,1,0,1,8y3iucyxguipljcmf87a11bk9,1,39,56.7,2022-09-18T11:31:17.367Z,2022-09-19T07:32:41Z,3793198795,178,,3789937855,213,2.0,3789937851,141,75.4,3789937849,140,33.2,3789937847,56,Back,3789937853,212,14.1,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461829457,5,1,1,0,3,8y3iucyxguipljcmf87a11bk9,1,34.2,76.3,2022-09-18T11:31:18.840Z,2022-09-19T07:32:40Z,3789938059,140,26.7,3789938055,56,Back,3789938063,141,48.7,3793198993,178,,3789938067,213,4.3,3789938065,212,20.4,,,,,,,fs5utga62tud5s06xj27qdat,J. Torunarigha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461829485,6,1,1,0,7,8y3iucyxguipljcmf87a11bk9,1,23.1,60.7,2022-09-18T11:31:23.151Z,2022-09-19T07:32:39Z,3789938223,213,3.6,3789938221,212,19.3,3793199035,178,,3789938217,140,6.8,3789938219,141,47.6,3789938215,56,Back,,,,,,,etos5xv3v2ptiktdk5yuhrjkl,M. Ngadeu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461829505,7,1,1,0,10,8y3iucyxguipljcmf87a11bk9,1,4.9,41.4,2022-09-18T11:31:25.896Z,2022-09-19T07:32:39Z,3789938341,1,,3789938329,157,,3789938333,140,56.7,3789938337,212,56.4,3789938335,141,63.1,3789938339,213,0.3,3789938331,56,Center,3793199069,178,,be0ws51ws5cm9wzmcp3ozmklx,D. Roef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461829517,8,44,1,0,13,8y3iucyxguipljcmf87a11bk9,1,49.9,57.2,2022-09-18T11:31:29.117Z,2022-09-19T07:32:38Z,3793360087,285,,3789938417,56,Back,3789938457,233,3,,,,,,,,,,,,,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
