id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2457917975,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-09-10T13:10:56.929Z,2022-09-10T14:01:09Z,3769155319,30,"2unnytu55d7lvws7h3r86yhud, 5zdapzrncz7vch3yrgftfp5g, 6vh5n14h1knmx7yut84q2f2l1, 54y1k9ysgdtdvv9ss72ruxiad, 5n522jpifzyf9qu0z41kuf7my, 6fdwd71dx2qu7uzzs3ozm9x7u, esrwjtmubaz21j01ndpollrrp, 280b4j6oidfonglcbr2vlj59m, 93weoj4q60xtxdntko7hobg4q, 8yy638bmdymhzkbrvho3qezft, 4o8lvm1ffxrywogokfztc6sb9, 6yegi163rq5fsloppfubi3sh5, 6eg8vaxpqsd6cyh736h7bq4x6, bd4cjnn4k45ry7ci5tsaawf10, 6437iwpplyfh71o9b7uxdylii, 9n5wjnjloy0c2euwhsu9u1y39, ezb815xw3yx3r3ey51zovop91, 3pr51w08wkrl03rpafmsouj85",3769155329,194,6vh5n14h1knmx7yut84q2f2l1,3769155327,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3769155321,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3769155325,130,12,3769155331,197,8054,3769155335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769155323,59,"31, 25, 30, 24, 44, 4, 26, 32, 9, 22, 33, 1, 7, 12, 17, 20, 66, 70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457919257,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-09-10T13:12:15.232Z,2022-09-10T14:02:49Z,3769162267,197,1948,3769162269,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769162255,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, mlqit2c8my1ewqy6avrfhf8q, 1df9uegp2hsbc4813no3mdvx1, 56sjqxlsf5iitgww0hogez8ph, 92x3r5pxmvkgaxups0gdrvq39, ezg4lhvy2z4pkyvfrmi17y11x, 25ey2mcvgwz6ls2612os5hzv9, 3nr55odndzunwlb658bsnlwx5, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, btz2lf5s3h6svre1o5jgmvf85, 9svafwvk8lle1ex1m2y279905, b6hva6wki38za3hipscirr4h6, zd582wgzhdcz8n6oipywt3vt, evktllmp3l6mfb6o4im0ag0ve, calut2wcnvfps97uj7dartf4l, 3k4ulxeya73ac9foemis7p6mt",3769162257,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3769162263,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3769162259,59,"1, 5, 18, 22, 30, 23, 66, 16, 9, 7, 11, 27, 4, 6, 8, 10, 15, 21",3769162261,130,4,3769162265,194,25ey2mcvgwz6ls2612os5hzv9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965129,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2022-09-10T14:00:09.354Z,2022-09-10T20:54:33Z,3769398895,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965103,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-09-10T14:00:09.354Z,2022-09-10T14:00:09Z,3769398785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965395,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,50.6,50.3,2022-09-10T14:00:09.410Z,2022-09-10T21:28:49Z,3769400231,213,2.8,3769400219,140,33.4,3769400235,279,S,3769400217,56,Back,3769400227,212,18.9,3769400223,141,58.7,3771221531,178,,,,,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965479,4,1,1,0,2,b7jmo07lqav0wfe2mtlzyspak,1,35.4,53.1,2022-09-10T14:00:12.158Z,2022-09-11T05:27:51Z,3769400639,140,38.4,3769400643,212,28.2,3769400637,56,Back,3769400645,213,4.8,3769400641,141,11.9,3771221629,178,,,,,,,,mlqit2c8my1ewqy6avrfhf8q,A. Van Hoorenbeeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965519,5,1,1,0,7,b7jmo07lqav0wfe2mtlzyspak,1,42.5,13.5,2022-09-10T14:00:16.413Z,2022-09-11T05:27:50Z,3769400867,213,0.8,3771221741,178,,3769400869,1,,3769400863,141,71.2,3769400857,157,,3769400859,56,Center,3769400865,212,55.5,3769400861,140,79.9,56sjqxlsf5iitgww0hogez8ph,J. Vanlerberghe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965599,6,1,1,0,10,b7jmo07lqav0wfe2mtlzyspak,1,80.9,67.3,2022-09-10T14:00:19.504Z,2022-09-11T05:27:50Z,3769401311,3,,3769401321,212,18.4,3769401315,56,Left,3769401323,213,1.0,3769401313,168,,3771221853,388,,3769401317,140,90.2,3769401319,141,90.3,25ey2mcvgwz6ls2612os5hzv9,R. Schoofs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458095225,794,3,1,0,14,b7jmo07lqav0wfe2mtlzyspak,0,90.8,87.8,2022-09-10T14:00:23.727Z,2022-09-11T05:27:48Z,3770082777,56,Left,3770082779,286,,3771222049,178,,3770082781,465,,3770082783,467,5zdapzrncz7vch3yrgftfp5g,,,,,,,,,,9aafa664l1husrkrgqv25l42d,N. Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965605,7,61,1,0,15,b7jmo07lqav0wfe2mtlzyspak,0,87.4,84.2,2022-09-10T14:00:24.747Z,2022-09-11T05:27:48Z,3771222307,178,,3769401341,56,Left,,,,,,,,,,,,,,,,,,,9aafa664l1husrkrgqv25l42d,N. Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965623,3,49,1,0,16,1uk609mhtsfhokhaewjapb26,1,14.2,18.4,2022-09-10T14:00:25.704Z,2022-09-11T05:27:47Z,,,,,,,,,,,,,,,,,,,,,,,,,5zdapzrncz7vch3yrgftfp5g,N. Mehssatou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965675,4,1,1,0,19,1uk609mhtsfhokhaewjapb26,0,3.4,4.3,2022-09-10T14:00:29.277Z,2022-09-11T05:27:46Z,3769401741,286,,3769401697,56,Back,3769401707,1,,3769401737,233,8,3769401699,140,3.9,3769401705,213,1.3,3769401695,157,,3769401735,236,,5zdapzrncz7vch3yrgftfp5g,N. Mehssatou,3769401701,141,6.8,3769401703,212,1.8,3771222733,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965671,8,74,1,0,19,b7jmo07lqav0wfe2mtlzyspak,1,96.7,94.4,2022-09-10T14:00:29.328Z,2022-09-11T05:27:46Z,3771222895,178,,3769401803,233,4,3769401681,56,Left,3769401683,285,,,,,,,,,,,,,,9aafa664l1husrkrgqv25l42d,N. Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965719,5,5,1,0,20,1uk609mhtsfhokhaewjapb26,1,-1.1,9,2022-09-10T14:00:29.753Z,2022-09-10T21:29:40Z,3769401895,346,,3769401909,233,9,3769401893,56,Back,,,,,,,,,,,,,,,,5zdapzrncz7vch3yrgftfp5g,N. Mehssatou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965687,9,5,1,0,20,b7jmo07lqav0wfe2mtlzyspak,0,101.1,91,2022-09-10T14:00:29.753Z,2022-09-10T21:29:41Z,3769401765,346,,3769401945,233,5,3769401763,56,Left,,,,,,,,,,,,,,,,9aafa664l1husrkrgqv25l42d,N. Storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457965967,6,1,1,0,33,1uk609mhtsfhokhaewjapb26,1,4.3,49.3,2022-09-10T14:00:43.285Z,2022-09-11T05:27:45Z,3769402865,212,14.8,3769402861,140,7.3,3769402863,141,28.0,3769402857,124,,3769402871,237,,3769402859,56,Back,3769402867,213,4.9,,,,2unnytu55d7lvws7h3r86yhud,M. Ilić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457966015,7,1,1,0,36,1uk609mhtsfhokhaewjapb26,0,12.7,22.9,2022-09-10T14:00:46.334Z,2022-09-11T05:27:45Z,3771223533,178,,3769403067,140,76.4,3769403069,141,28.6,3769403065,56,Center,3769403073,213,0.1,3769403063,155,,3769403075,1,,3769403071,212,67.0,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457966065,10,1,1,0,40,b7jmo07lqav0wfe2mtlzyspak,1,33.8,72.4,2022-09-10T14:00:49.481Z,2022-09-11T05:27:44Z,3769403351,213,5.9,3769403341,3,,3769403345,140,42.3,3769403343,56,Back,3771223831,178,,3769403349,212,9.5,3769403347,141,67.6,,,,92x3r5pxmvkgaxups0gdrvq39,T. Peyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
