id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2527647343,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-04-02T15:39:51.061Z,2023-04-03T08:10:08Z,4158457797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158457789,130,8,4158457787,59,"22, 77, 17, 15, 44, 58, 26, 27, 9, 20, 10, 6, 21, 32, 64, 70, 76, 98",4158457795,197,16669,4158457793,194,x3g0yyxs0j4o8fxphxtf0st1,4158457791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4158457785,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4158457783,30,"byfrgpc6tgz8lto1gor03y5sl, 6tvnsmtj9mma96e8famksevv9, acx78ftnm61hm01wpmme77hbe, mkq18lpl3d44wxq974mci5wq, l6y4o9t2b0jxaxo85oztok45, 79m802yjrfr0ji81c8ty1x2xg, 13d7ao0j091449ia61cuut87p, ecnh65kkhku5mdkr3il4fl6tx, 9mlj7fxon5zy1qmktvvcwjrl6, x3g0yyxs0j4o8fxphxtf0st1, 7ew7g18qo649t8ld44omgib55, bgzvhtk50gvmq6noheadmc34l, 3q6jhwert6ah0ll2wq69k93ah, 8mkkchf0ysdf78r0lncd73klw, 1q935a1d9qmoyo7v6tstqx7je, 32eyq4xvy8s1ng11jnavvh32t, 6uthi96vr24700st7s7m1so6i, 9rsuz6bumw4jyw25gpingu25m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527647583,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-04-02T15:40:05.976Z,2023-04-02T15:40:06Z,4158458937,30,"calut2wcnvfps97uj7dartf4l, b6hva6wki38za3hipscirr4h6, 3k4ulxeya73ac9foemis7p6mt, 3q5uylbjjiaoj3mn2l7p93jyt, btz2lf5s3h6svre1o5jgmvf85, 9svafwvk8lle1ex1m2y279905, 3eywxsna9qzi1egis1uj4l6mt, cne8uwbnrwbwqjpj3pme1kbmx, 3nr55odndzunwlb658bsnlwx5, 1df9uegp2hsbc4813no3mdvx1, 9aafa664l1husrkrgqv25l42d, 1psqmd0h77b385bljq2emftgp, 1vhz040atckd3pnzwbky5uuvp, 25ey2mcvgwz6ls2612os5hzv9, 6es2qusg5h5q9ricqm51j1xck, 56sjqxlsf5iitgww0hogez8ph, 9ov7tj31hixo7xp0tfffuhpn8, bihng5zkoeutve0fpxrwo5yj8",4158458945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4158458947,194,3q5uylbjjiaoj3mn2l7p93jyt,4158458941,59,"15, 6, 21, 19, 27, 4, 7, 14, 9, 22, 11, 1, 2, 16, 23, 30, 34, 35",4158458943,130,8,4158458951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158458949,197,1947,4158458939,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694837,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-04-02T16:30:37.750Z,2023-04-02T16:30:40Z,4158705039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694827,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-04-02T16:30:37.750Z,2023-04-03T06:07:14Z,4158705001,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694865,3,1,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,50,50,2023-04-02T16:30:37.850Z,2023-04-03T03:03:00Z,4158705195,213,3.4,4158705193,212,6.1,4158705191,141,47.6,4158705197,279,S,4158705189,140,44.4,4158705187,56,Back,,,,,,,13d7ao0j091449ia61cuut87p,M. Rits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694923,4,1,1,0,2,1oyb7oym5nwzny8vxf03szd2h,1,44.3,47.6,2023-04-02T16:30:40.407Z,2023-04-02T16:30:46Z,4158705529,140,30.6,4158705527,56,Back,4158705531,141,34.8,4158705533,212,16.8,4158705535,213,3.7,,,,,,,,,,x3g0yyxs0j4o8fxphxtf0st1,H. Vanaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694957,5,1,1,0,8,1oyb7oym5nwzny8vxf03szd2h,1,31.1,31.8,2023-04-02T16:30:46.208Z,2023-04-02T16:30:49Z,4158705699,212,24.0,4158705701,213,2.8,4158705693,56,Back,4158705695,140,9.8,4158705697,141,44.8,,,,,,,,,,l6y4o9t2b0jxaxo85oztok45,B. Mechele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527694989,6,1,1,0,11,1oyb7oym5nwzny8vxf03szd2h,0,12.9,47.3,2023-04-02T16:30:49.472Z,2023-04-02T16:30:51Z,4158705865,1,,4158705861,212,45.8,4158705859,141,53.6,4158705863,213,0.1,4158705855,56,Center,4158705857,140,56.3,4158705853,155,,,,,byfrgpc6tgz8lto1gor03y5sl,S. Mignolet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527695007,3,1,1,0,14,b7jmo07lqav0wfe2mtlzyspak,0,43.7,42.1,2023-04-02T16:30:51.826Z,2023-04-02T17:19:57Z,4158705955,212,5.9,4158705949,140,39.1,4158705953,141,47.0,4158705943,3,,4158705959,213,2.5,4158705947,56,Back,,,,,,,btz2lf5s3h6svre1o5jgmvf85,D. Bates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527695057,7,1,1,0,16,1oyb7oym5nwzny8vxf03szd2h,0,62.3,51.5,2023-04-02T16:30:53.872Z,2023-04-02T16:30:55Z,4158706193,155,,4158706195,56,Center,4158706197,140,85.5,4158706201,212,24.4,4158706199,141,48.8,4158706203,213,6.2,,,,,,,9mlj7fxon5zy1qmktvvcwjrl6,Ferran Jutglà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
