id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2497708371,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-01-15T14:08:20.797Z,2023-01-15T15:26:06Z,3979683559,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979683549,59,"1, 6, 29, 25, 4, 5, 33, 18, 10, 9, 17, 16, 20, 21, 23, 32, 44, 70",3979683553,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3979683545,30,"6yegi163rq5fsloppfubi3sh5, 5lbzx05vthw9nbhpmzw5e1562, bcfayigqu8oygm1xvpgl9akt1, 5zdapzrncz7vch3yrgftfp5g, 6fdwd71dx2qu7uzzs3ozm9x7u, bf22is04tealb92h075c7u356, 4o8lvm1ffxrywogokfztc6sb9, 5np1ksd9qkmc511ihzvikhy0a, 8b95khn8h8qz3y4u4coajs5at, 93weoj4q60xtxdntko7hobg4q, 6437iwpplyfh71o9b7uxdylii, eczyz1c2lgqelhp13xiqb0vhm, 9n5wjnjloy0c2euwhsu9u1y39, eb1rih67f03kwljbge37id1ck, 7hdyeeejo7h9kvqt7x8jlrlec, 280b4j6oidfonglcbr2vlj59m, 5n522jpifzyf9qu0z41kuf7my, 3pr51w08wkrl03rpafmsouj85",3979683547,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3979683557,197,8054,3979683555,194,8b95khn8h8qz3y4u4coajs5at,3979683551,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497710213,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-01-15T14:10:39.852Z,2023-01-15T14:59:02Z,3979693739,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3979693751,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979693749,197,3312,3979693745,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3979693747,194,9hiut57u02lly1nfdixef8bth,3979693737,30,"6q53ei01tbb5kxjr1mhfjysph, 7s4ws0u4erq1jfobqpsj0aoes, c517lc5fmsd9ugk638s2o9iad, eyvf8uu7jltbzalaov3qt1w5, etos5xv3v2ptiktdk5yuhrjkl, ettrapmxg36vw2egivejegzc9, 8fs5klbsyx06c5ds9s1i3xu96, 99tf4co0pm09ayca13ma3lql1, 9hiut57u02lly1nfdixef8bth, 1khy4w78z012p8z20gcp0nrvt, cxa3j4u8eh5w947p1iba47yfo, dgwhg6g9oys6as69cqcgyi9xx, 7dayrhr0c60zbc1b6lig8pm8l, 2igz499o21aihmkugktp3nyms, 2cc5y9hjnc8nqrh58ojz6ajth, 18pgjfpl9s8qy32mblzygsyc5, b9wew8z92aj36vvxfj3q7kxcl, be0ws51ws5cm9wzmcp3ozmklx",3979693743,130,18,3979693741,59,"1, 18, 25, 31, 5, 2, 7, 13, 8, 11, 16, 9, 14, 19, 22, 24, 29, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743543,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-01-15T15:01:17.768Z,2023-01-16T01:32:51Z,3979883997,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743553,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-01-15T15:01:17.768Z,2023-01-15T15:01:20Z,3979884047,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743563,3,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,49.7,50.1,2023-01-15T15:01:17.917Z,2023-01-16T06:10:41Z,3979884101,212,14.4,3981020545,178,,3979884099,141,56.3,3979884105,279,S,3979884097,140,36.6,3979884095,56,Back,3979884103,213,2.8,,,,5np1ksd9qkmc511ihzvikhy0a,A. Kadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743585,4,1,1,0,2,1uk609mhtsfhokhaewjapb26,1,36.7,53.1,2023-01-15T15:01:19.920Z,2023-01-16T06:10:45Z,3979884243,141,28.5,3979884239,56,Back,3979884245,212,18.6,3981020583,178,,3979884247,213,4.3,3979884241,140,29.0,,,,,,,4o8lvm1ffxrywogokfztc6sb9,S. Lončar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743607,5,1,1,0,4,1uk609mhtsfhokhaewjapb26,0,29.5,18,2023-01-15T15:01:22.514Z,2023-01-16T06:10:48Z,3979884371,140,90.2,3979884369,56,Center,3979884375,212,64.7,3981020615,178,,3979884377,213,0.2,3979884379,1,,3979884367,155,,3979884373,141,34.3,bf22is04tealb92h075c7u356,C. Atemona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743617,3,52,1,0,9,8y3iucyxguipljcmf87a11bk9,1,11,63,2023-01-15T15:01:27.006Z,2023-01-16T06:10:53Z,3981020675,178,,3980819071,376,,,,,,,,,,,,,,,,,,,,6q53ei01tbb5kxjr1mhfjysph,P. Nardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743661,4,1,1,0,13,8y3iucyxguipljcmf87a11bk9,1,12.4,53.3,2023-01-15T15:01:31.157Z,2023-01-16T06:10:56Z,3979884723,213,4.8,3979884717,140,13.8,3979884715,56,Back,3979884719,141,24.6,3981020695,178,,3979884721,212,19.6,3979884713,123,,,,,6q53ei01tbb5kxjr1mhfjysph,P. Nardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743677,5,1,1,0,15,8y3iucyxguipljcmf87a11bk9,1,14.5,24.3,2023-01-15T15:01:33.589Z,2023-01-16T06:11:01Z,3979884819,141,23.0,3979884821,212,25.1,3979884823,213,6.2,3981020729,178,,3979884817,140,38.4,3979884815,56,Back,,,,,,,ettrapmxg36vw2egivejegzc9,J. Okumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
