id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2503352579,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-02-03T18:46:17.498Z,2023-02-03T19:59:33Z,4009292733,197,8908,4009292735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009292721,30,"d0itp0eyxewvnm2shm0manw7p, 5ghjnuqhf7kvbwqlo8jqv0bqi, 2rn8mnhlrtrbm6du97f54zckq, czsmg1hjqbmzhz8x91y3b0yc5, 7y7wrtvktvxfki86p41ptoell, 2hj88r72bbwnhqx12tv13jmqx, 8thfkx6q306ewh6mlba8ztqzt, 3s0tyude1pghox634ij87srft, 3zkgg98u1fvuospd2avl4qy2, 58qrdtv5emnvcojqkmnpx5ffu, 9m3bkbdedtddfeix57rj2f7c9, ew1thxs8j5mwwqh075kzsjq0a, mzrka1w28qc7vgr5xmcngqg9, 1yq8ig3ffq1j5imjci3g3tfdg, 17x4fqsde2cdp2s9q5odmkr8p, 99eumu17h5sxriw5vfczvdb6d, 65js4yds9vyg0iyck8xh10frp, b81lneik0objvk15uf6m4cewa",4009292727,130,17,4009292731,194,2hj88r72bbwnhqx12tv13jmqx,4009292723,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4009292725,59,"1, 29, 18, 27, 88, 33, 23, 16, 17, 34, 77, 2, 11, 20, 26, 28, 68, 80",4009292729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503353535,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-02-03T18:50:02.486Z,2023-02-03T18:50:02Z,4009297911,59,"16, 62, 54, 21, 56, 14, 61, 10, 29, 36, 7, 13, 11, 18, 27, 30, 32, 71",4009297909,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4009297919,197,6971,4009297921,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009297915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4009297913,130,4,4009297917,194,78fx1xqqtcqm2g4h1dj8beml1,4009297907,30,"3wwi5vf2l1qbz7e5zdjoy8yga, b3vvxolwxcukqk76hb4scvh79, 8q8qxzmb9j1vntg5llyqa35uy, 143brmwsfow8o0svtdq98tiw9, 88nmn961vtb3bnt9v9rye1h0q, 78fx1xqqtcqm2g4h1dj8beml1, 7je01bs3a4q6c2gd02ee6da3u, bu7cw3305zs2u7uj2ed5t867e, 8lj9hc8u1351oczzu81mryluc, 3q2ibq6hhxyht8046ib49ye39, 5don85s7097g5df42m429b8ix, 9jiectkc8rk0ivxn80l87ic45, 5yw1c3i4j9zyt52vomrfbxyol, 8f77xyqg4womglj1o8udq77qh, dwnd8j9ok6ncbp69gmchw953o, 3z37ancgteqhbhpygl0brzzdh, drjbms71w0kt1pidq8q17h05w, anx0hiu9yn8szbjk3994u7njd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387273,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2023-02-03T19:45:33.745Z,2023-02-03T19:45:33Z,4009474323,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387281,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-02-03T19:45:33.745Z,2023-02-04T07:54:32Z,4009474375,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387321,3,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,50.7,49.9,2023-02-03T19:45:33.806Z,2023-02-04T08:10:45Z,4009474593,279,S,4009474581,56,Back,4009474585,141,48.9,4009474583,140,39.5,4009474589,213,3.2,4009474587,212,11.8,4010172857,178,,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387655,4,1,1,0,2,2b57rbw94i9ohnbch52owvqtq,0,36.4,56.1,2023-02-03T19:45:36.463Z,2023-02-04T12:17:07Z,4009476273,1,,4009476261,155,,4009476271,213,0.3,4009476267,141,72.1,4009476263,56,Center,4010172937,178,,4009476265,140,71.2,4009476269,212,38.1,7y7wrtvktvxfki86p41ptoell,M. Rodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387677,3,1,1,0,5,6vyr13j6kbwdtxjwm1m4m8nu2,0,30.5,26.1,2023-02-03T19:45:39.010Z,2023-02-04T12:17:07Z,4009476399,140,38.4,4009476395,3,,4009476397,56,Back,4009476401,141,30.3,4010174331,388,,4009476403,212,8.8,4009476405,213,0.3,,,,143brmwsfow8o0svtdq98tiw9,A. Diawara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387721,5,1,1,0,6,2b57rbw94i9ohnbch52owvqtq,0,58.3,76.5,2023-02-03T19:45:40.456Z,2023-02-04T12:17:06Z,4009476615,213,0.1,4009476613,212,13.5,4009476605,3,,4009476609,140,71.0,4010174407,178,,4009476607,56,Left,4009476611,141,79.3,,,,czsmg1hjqbmzhz8x91y3b0yc5,B. Capon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387767,6,1,1,0,9,2b57rbw94i9ohnbch52owvqtq,1,70.2,87.7,2023-02-03T19:45:43.593Z,2023-02-04T12:17:05Z,4009476851,140,74.5,4009476849,56,Center,4010174487,178,,4009476853,141,70.6,4009476855,212,12.5,4009476857,213,5.1,,,,,,,3zkgg98u1fvuospd2avl4qy2,I. Durdov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387799,8,1,1,0,10,2b57rbw94i9ohnbch52owvqtq,1,71.8,82.7,2023-02-03T19:45:44.725Z,2023-02-04T12:17:04Z,4009477003,213,3.9,4009476995,56,Center,4009477001,212,13.6,4010174569,178,,4009476999,141,68.7,4009476997,140,62.6,,,,,,,9m3bkbdedtddfeix57rj2f7c9,D. Atanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387839,9,1,1,0,13,2b57rbw94i9ohnbch52owvqtq,1,60.5,77.7,2023-02-03T19:45:47.268Z,2023-02-04T12:17:03Z,4009477191,56,Back,4009477201,212,15.2,4009477197,141,69.9,4009477203,213,3.5,4010174649,178,,4009477195,140,46.9,,,,,,,8thfkx6q306ewh6mlba8ztqzt,A. Amade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387851,10,1,1,0,16,2b57rbw94i9ohnbch52owvqtq,0,47,74.9,2023-02-03T19:45:50.276Z,2023-02-04T12:17:03Z,4009477253,140,77.5,4009477255,141,85.4,4009477259,213,0.2,4009477257,212,32.8,4010174699,178,,4009477261,1,,4009477251,56,Left,4009477249,155,,7y7wrtvktvxfki86p41ptoell,M. Rodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387875,4,8,1,0,18,6vyr13j6kbwdtxjwm1m4m8nu2,1,23.3,14.8,2023-02-03T19:45:52.289Z,2023-02-04T12:17:02Z,4009477393,15,,4010174739,388,,4009991709,384,,4009477357,56,Back,,,,,,,,,,,,,b3vvxolwxcukqk76hb4scvh79,A. Murillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387903,11,50,1,0,20,2b57rbw94i9ohnbch52owvqtq,1,74.7,92.9,2023-02-03T19:45:53.955Z,2023-02-04T12:17:02Z,4009477487,56,Left,4009477865,233,5,4009477489,286,,,,,,,,,,,,,,,,,9m3bkbdedtddfeix57rj2f7c9,D. Atanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503387973,5,7,1,0,21,6vyr13j6kbwdtxjwm1m4m8nu2,1,25.3,7.1,2023-02-03T19:45:54.846Z,2023-02-04T12:17:01Z,4009477825,285,,4009477843,233,11,4009991697,385,,4010174813,178,,4009477819,56,Back,,,,,,,,,,7je01bs3a4q6c2gd02ee6da3u,K. Arnstad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503561857,1596,67,1,0,22,6vyr13j6kbwdtxjwm1m4m8nu2,1,17.5,20.6,2023-02-03T19:45:56.566Z,2023-02-04T12:24:27Z,4010403679,233,1283,,,,,,,,,,,,,,,,,,,,,,88nmn961vtb3bnt9v9rye1h0q,Z. Debast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503561855,1283,67,1,0,22,2b57rbw94i9ohnbch52owvqtq,0,82.5,79.4,2023-02-03T19:45:56.567Z,2023-02-04T12:17:00Z,4010403687,233,1596,,,,,,,,,,,,,,,,,,,,,,58qrdtv5emnvcojqkmnpx5ffu,N. Bätzner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
