id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,assist,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2501472219,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2023-01-28T16:14:40.093Z,2023-01-28T17:48:15Z,3999382531,59,"12, 25, 11, 15, 14, 28, 24, 6, 43, 8, 7, 4, 5, 9, 13, 27, 29, 77",3999382533,130,13,3999382535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3999382529,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3999382543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3999382541,197,8055,3999382527,30,"49vbniwasp2kyt27jw0cv6m6t, dmk8usvqtzv60bwkoxk7kfqxg, a8pgjuz5yrbxyf1t905gj327d, 91sex5ir1pp4b2beotoua7mqx, 4juerzftkeiuzctoiei6dmtp1, 1abf0y93zbw1sw183nblqoicp, 73z9v9oz73hlmnswrzp860yj9, dvomh2gx3wd5x5v1dmlnkdpzp, 58b30n3a3qc1s5tpfn8er7tw4, 1fdi6uzonmsod2drzro8bj3rp, 1kst4u41rlyirggwoo1m8ovdh, 91qd93lqgpe700ps0b6a7ntn9, cni0rxu9fo9lfqqhggmqrdvpx, cinzr4hnryu433l6z40j5x49h, 2vmpkyku0hwv0zdbbzunt2xux, cjf412x9sg56vos0jkj85k3ys, 6u73l7tuxx0958ij9kvdizjrp, 73pmo92alzawlt2yo2bfartn9",3999382537,194,73z9v9oz73hlmnswrzp860yj9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501490093,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-01-28T16:23:50.046Z,2023-01-28T18:07:49Z,3999477177,197,1958,3999477165,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, bk9fq3chnhmw3u36qz5vf1vjd, 12lkxylg8puzxow8ewpsd0b11, 5a2sf4o445ei5pqiinvmjmpcl, 9qafk5ke1yzqggkcmf1zqevp, 9rwn5wckqcb5inw1dhhmpj1t5, bc5vmdnoyshdi5hcgu8dgqxyi, 4rwvkp9xlyv314ceglbauou6t, b24ytr3apnyp7z17c124tu1yi, 9mmwn9yt1olhyr54j45e28xcl, 2n808wa0h841cn8xi78n21v8q, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, cqpgxrqear6p6pz3p8r3xvh90, esvfsx8gxqw8h0codqz5xmnmc, 7n75ohdnbi436je81n5f8f9m2, eakj3xa0pa88pajbvasbwqwdm",3999477179,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3999477169,59,"21, 4, 7, 20, 26, 22, 27, 13, 30, 8, 91, 9, 11, 12, 14, 16, 19, 77",3999477175,194,5a2sf4o445ei5pqiinvmjmpcl,3999477173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3999477167,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3999477171,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552713,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2023-01-28T17:16:22.324Z,2023-01-29T03:30:22Z,3999815451,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552705,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-01-28T17:16:22.324Z,2023-01-28T17:16:22Z,3999815409,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552739,3,1,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,49.8,50,2023-01-28T17:16:22.404Z,2023-01-29T04:01:43Z,3999815569,213,2.9,4001265233,178,,3999815571,279,S,3999815567,212,23.0,3999815563,140,28.8,3999815561,56,Back,3999815565,141,59.7,,,,9mmwn9yt1olhyr54j45e28xcl,G. Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552753,4,1,1,0,2,2989v3kho9h5jaboe1nr7lx21,0,32.8,51.1,2023-01-28T17:16:25.263Z,2023-01-29T07:27:18Z,4001265275,178,,3999815669,212,34.4,3999815673,1,,3999815671,213,5.9,3999815667,141,31.8,3999815661,155,,3999815663,56,Center,3999815665,140,63.1,5a2sf4o445ei5pqiinvmjmpcl,Jorge Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552767,3,1,1,0,5,bw9wm8pqfzcchumhiwdt2w15c,0,27.9,76.6,2023-01-28T17:16:27.920Z,2023-01-29T07:27:18Z,4001265315,388,,3999815747,213,5.7,3999815745,212,11.6,3999815743,141,67.0,3999815741,140,37.0,3999815739,56,Back,3999815737,3,,,,,dvomh2gx3wd5x5v1dmlnkdpzp,J. Dom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552791,5,1,1,0,7,2989v3kho9h5jaboe1nr7lx21,0,63.8,23,2023-01-28T17:16:30.042Z,2023-01-29T07:27:17Z,4001265641,388,,3999815879,213,5.7,3999815877,212,8.8,3999815871,56,Right,3999815873,140,70.9,3999815869,155,,3999815875,141,16.2,,,,9mmwn9yt1olhyr54j45e28xcl,G. Bruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552815,4,1,1,0,9,bw9wm8pqfzcchumhiwdt2w15c,1,27.5,88,2023-01-28T17:16:31.566Z,2023-01-29T07:27:17Z,4001265815,388,,3999815973,141,89.3,3999815971,140,17.5,3999815967,3,,3999815975,212,10.5,3999815969,56,Back,3999815977,213,3.1,,,,a8pgjuz5yrbxyf1t905gj327d,Mousa Al Tamari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501552819,5,49,1,0,11,bw9wm8pqfzcchumhiwdt2w15c,1,16.1,88.8,2023-01-28T17:16:33.451Z,2023-01-29T07:27:16Z,,,,,,,,,,,,,,,,,,,,,,,,,91sex5ir1pp4b2beotoua7mqx,D. Ouédraogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
