id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,keyPass,qualifier/15/value
2475741735,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2022-10-22T17:53:48.538Z,2022-10-22T18:48:04Z,3863861181,59,"22, 6, 14, 15, 44, 28, 27, 20, 9, 17, 7, 2, 3, 10, 19, 32, 70, 91",3863861177,30,"byfrgpc6tgz8lto1gor03y5sl, bgzvhtk50gvmq6noheadmc34l, 16o074zua15qkk7x0me7gi1w4, mkq18lpl3d44wxq974mci5wq, l6y4o9t2b0jxaxo85oztok45, 99jqn2osue4tyo1l7yb93s639, ecnh65kkhku5mdkr3il4fl6tx, x3g0yyxs0j4o8fxphxtf0st1, 9mlj7fxon5zy1qmktvvcwjrl6, acx78ftnm61hm01wpmme77hbe, 5asv6uc3a4xxsr9u30kdfc0ve, 1hlvnmu8we38d44sdexhhxcyd, 3qbl0ps3ms998s0apmpkre3md, 7ew7g18qo649t8ld44omgib55, 4f8xb5sbyksacxmifi375h7qi, 8mkkchf0ysdf78r0lncd73klw, 32eyq4xvy8s1ng11jnavvh32t, 398isvyux7zpjiwa2hzsxyc16",3863861179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3863861185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3863861191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863861183,130,4,3863861187,194,x3g0yyxs0j4o8fxphxtf0st1,3863861189,197,16669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475741775,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-10-22T17:53:54.163Z,2022-10-22T18:52:13Z,3863861435,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863861421,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, ai5p5wgft6c09bjbldz9sfeac, 7bwjxz6bwt7h070dbv1l8woyy, 5w0ohhrm0ojscyjh3e0o8ffmd, f0ean6buvvp9l4rh1ayvnnill, 6xam5bquregefbepxd9rwfdh, 39tod1iad3ztq17qveh8pwp9l, a6cke0ad2pvuyahweuch772ay, 7vv4ef3y8swdekozwaent3ai1, 5j13tgvpwi7m3y6rjd8q08tt5, iexm93yyblnrtx8d6rqqrdux, dhpxeejqzlhnm1vu0f8xjzw7p, ths196pehnfyf4f4scmqj8ph, 1a9u2g4hynrz2e93sz1evhpzp, di9k6xr6j4arjoltl7s9yp6cq, 15odj8wui8136996wi2d5t7md, e44w6g1c1ojf854svzswpl0x5",3863861433,197,8159,3863861425,59,"49, 2, 11, 59, 16, 26, 10, 20, 7, 13, 8, 3, 4, 19, 21, 23, 29, 94",3863861431,194,6xam5bquregefbepxd9rwfdh,3863861423,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3863861427,130,12,3863861429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783131,2,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2022-10-22T18:45:07.986Z,2022-10-22T18:45:08Z,3864091059,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783141,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-10-22T18:45:07.986Z,2022-10-23T07:11:06Z,3864091101,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783179,3,1,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,49.9,50,2022-10-22T18:45:08.098Z,2022-10-23T07:20:36Z,3864091347,213,2.9,3864091337,56,Back,3864091349,279,S,3865494717,178,,3864091341,140,26.7,3864091343,141,57.8,3864091345,212,24.9,,,,9mlj7fxon5zy1qmktvvcwjrl6,Ferran Jutglà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783255,4,1,1,0,3,1oyb7oym5nwzny8vxf03szd2h,1,32.2,45.3,2022-10-22T18:45:11.174Z,2022-10-23T11:30:52Z,3864091791,141,95.3,3864091785,155,,3864091795,213,0.7,3865494807,178,,3864091793,212,51.2,3864091789,140,68.6,3864091797,1,,3864091787,56,Left,l6y4o9t2b0jxaxo85oztok45,B. Mechele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783261,5,44,1,0,6,1oyb7oym5nwzny8vxf03szd2h,1,73.6,96,2022-10-22T18:45:14.459Z,2022-10-23T11:13:43Z,3864091845,233,3,3864091823,286,,3864091819,56,Left,,,,,,,,,,,,,,,,x3g0yyxs0j4o8fxphxtf0st1,H. Vanaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783247,3,44,1,0,6,ecj1gmc7pqcjo4sc9hvghj5u3,0,26.4,4,2022-10-22T18:45:14.460Z,2022-10-23T11:13:44Z,3864091877,233,5,3864091749,285,,3864091747,56,Back,,,,,,,,,,,,,,,,aajft01g5yggw0is5fbfh3105,B. Nieuwkoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783273,6,1,1,0,6,1oyb7oym5nwzny8vxf03szd2h,1,73.8,99.9,2022-10-22T18:45:14.524Z,2022-10-23T11:30:51Z,3864091895,213,4.8,3864091891,141,74.8,3864091885,3,,3864091889,140,74.6,3865495031,388,,3864091893,212,17.1,3864091887,56,Center,,,,x3g0yyxs0j4o8fxphxtf0st1,H. Vanaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476020579,1043,1,1,0,7,1oyb7oym5nwzny8vxf03szd2h,1,75.9,81.7,2022-10-22T18:45:15.873Z,2022-10-23T11:30:51Z,3865382637,140,60.0,3865382639,141,74.3,3865382641,212,17.4,3865495235,178,,3865382635,56,Center,3865382643,213,3.4,,,,,,,9mlj7fxon5zy1qmktvvcwjrl6,Ferran Jutglà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783365,7,1,1,0,10,1oyb7oym5nwzny8vxf03szd2h,1,64.5,68.2,2022-10-22T18:45:18.211Z,2022-10-23T11:30:50Z,3864092453,213,4.6,3864092445,56,Center,3864092451,212,27.3,3864092447,140,60.3,3864092449,141,28.6,3865495351,178,,,,,,,,mkq18lpl3d44wxq974mci5wq,R. Onyedika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783379,8,1,1,0,15,1oyb7oym5nwzny8vxf03szd2h,1,58.7,19.9,2022-10-22T18:45:22.989Z,2022-10-23T11:30:49Z,3864092617,141,46.0,3865495445,178,,3864092619,212,21.9,3864092621,213,2.2,3864092615,140,46.5,3864092613,56,Back,,,,,,,bgzvhtk50gvmq6noheadmc34l,D. Odoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783405,9,1,1,0,17,1oyb7oym5nwzny8vxf03szd2h,1,47.4,46.7,2022-10-22T18:45:25.653Z,2022-10-23T11:30:48Z,3864092797,212,18.3,3864092799,213,1.7,3865495551,178,,3864092791,56,Back,3864092793,140,45.9,3864092795,141,73.5,,,,,,,l6y4o9t2b0jxaxo85oztok45,B. Mechele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783421,10,1,1,0,19,1oyb7oym5nwzny8vxf03szd2h,1,45.9,67.4,2022-10-22T18:45:27.551Z,2022-10-23T11:30:48Z,3865495695,178,,3864092907,140,58.7,3864092909,141,85.6,3864092911,212,18.3,3864092905,56,Left,3864092913,213,0.7,,,,,,,99jqn2osue4tyo1l7yb93s639,D. Boyata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783427,11,1,1,0,21,1oyb7oym5nwzny8vxf03szd2h,1,58.9,83.8,2022-10-22T18:45:29.162Z,2022-10-23T11:30:47Z,3864092977,141,69.7,3864092981,213,5.2,3865496201,178,,3864092979,212,11.0,3864092975,140,64.1,3864092973,56,Center,,,,,,,x3g0yyxs0j4o8fxphxtf0st1,H. Vanaken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783455,12,1,1,0,23,1oyb7oym5nwzny8vxf03szd2h,1,62.9,75.3,2022-10-22T18:45:31.001Z,2022-10-23T11:30:46Z,3864093117,56,Left,3864093119,140,73.0,3864093121,141,95.6,3865496797,178,,3864093125,213,0.9,3864093123,212,17.4,,,,,,,mkq18lpl3d44wxq974mci5wq,R. Onyedika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475783461,4,45,1,0,24,ecj1gmc7pqcjo4sc9hvghj5u3,0,30.4,2.3,2022-10-22T18:45:31.993Z,2022-10-23T11:30:46Z,3864093171,285,,3864093169,56,Back,3864093259,233,13,,,,,,,,,,,,,,,,aajft01g5yggw0is5fbfh3105,B. Nieuwkoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
