id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/value
2476406701,1,34,16,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-10-23T15:33:12.206Z,2022-10-23T16:31:41Z,3867356425,194,3z37ancgteqhbhpygl0brzzdh,3867356415,30,"3z37ancgteqhbhpygl0brzzdh, b3vvxolwxcukqk76hb4scvh79, 5don85s7097g5df42m429b8ix, 78fx1xqqtcqm2g4h1dj8beml1, av0ok8e56osu0z8sxtlvvw9ud, 88nmn961vtb3bnt9v9rye1h0q, bu7cw3305zs2u7uj2ed5t867e, 8f77xyqg4womglj1o8udq77qh, 5yw1c3i4j9zyt52vomrfbxyol, 7snt4uu7f2d0g7utjm2xfis8a, 143brmwsfow8o0svtdq98tiw9, 6rarodhofviwmh5jd0ly8lp4a, 4x6oiw1rueiv2jzjs9k76h1p1, dwnd8j9ok6ncbp69gmchw953o, 8lj9hc8u1351oczzu81mryluc, e2w5cj66plnx3kuhnehgswsus, 7je01bs3a4q6c2gd02ee6da3u, c4n7kjp8c47trslpssnyqjo16",3867356421,130,12,3867356417,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3867356427,197,6564,3867356423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3867356429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867356419,59,"30, 62, 7, 14, 4, 56, 10, 18, 11, 99, 21, 5, 26, 27, 29, 59, 61, 70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476407143,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-10-23T15:33:53.007Z,2022-10-23T16:54:53Z,3867358809,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3867539765,194,48f3zlksc3r230qb78c5emnyt,3867358813,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867358797,30,"bxcwnf87pf8ijzbxy70ewcfe1, eg2u042cthz9undb4xz0pu8rt, 93hp5gm29ke90ugdimd9xf949, corn6i066rh7c7veva0sm3oid, 76y4awqbdef5yxiovt27i57th, 48f3zlksc3r230qb78c5emnyt, cllq8xizuqut48xxqc3btz97u, 3z1lfdoy92bq8airglbhx32tw, ajcblksnh113es9hzt7l5k8h5, d6r3vkalhudms84f6fs415wid, rmruexgp6l6ar57aq8xffg4q, ai0yljs83kdpaa6r7ri0048np, a5jrqzijth7e3uxl4phi83sdm, 69ivqkcipxp15b7x5jl83ud49, 464o8uslv6z2fdm269j97gt4a, bxudrqx99a3zv5gajdzxz38id, 6a0e28nxlyyw7ghe4wzumlzh1, bci3k14ed9oqcchpmtq37rnx1",3867358807,130,10,3867358811,197,16111,3867358805,59,"16, 13, 11, 34, 20, 6, 22, 61, 7, 77, 26, 2, 3, 14, 17, 21, 28, 30",3867358801,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476467829,2,32,1,0,0,6vyr13j6kbwdtxjwm1m4m8nu2,1,0,0,2022-10-23T16:32:46.471Z,2022-10-23T16:32:46Z,3867669483,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476467837,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-10-23T16:32:46.471Z,2022-10-24T04:53:45Z,3867669529,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476467875,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,50,50,2022-10-23T16:32:46.502Z,2022-10-24T05:38:14Z,3867669737,140,32.7,3867669741,212,18.9,3867669745,279,S,3869304377,178,,3867669743,213,3.4,3867669735,56,Back,3867669739,141,42.4,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476468351,4,1,1,0,2,5z1b7fuvpqe6vnigvopomvecu,0,27.2,37.9,2022-10-23T16:32:49.401Z,2022-10-24T05:38:31Z,3869304463,178,,3867672179,212,58.5,3867672183,213,0.7,3867672187,1,,3867672177,141,91.7,3867672173,56,Left,3867672171,155,,3867672175,140,70.7,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476468361,3,44,1,0,6,6vyr13j6kbwdtxjwm1m4m8nu2,1,30.1,10,2022-10-23T16:32:52.563Z,2022-10-24T07:13:07Z,3867672217,56,Back,3867923571,233,5,3867672219,285,,,,,,,,,,,,,,,,,b3vvxolwxcukqk76hb4scvh79,A. Murillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476468357,5,44,1,0,6,5z1b7fuvpqe6vnigvopomvecu,0,69.9,90,2022-10-23T16:32:52.564Z,2022-10-24T05:38:48Z,3867672203,286,,3867672201,56,Left,3867923587,233,3,,,,,,,,,,,,,,,,ajcblksnh113es9hzt7l5k8h5,D. Drăguş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476516385,362,1,1,0,6,6vyr13j6kbwdtxjwm1m4m8nu2,0,22.8,15,2022-10-23T16:32:52.667Z,2022-10-24T07:13:08Z,3867924099,141,16.4,3867924103,213,0.1,3867924097,140,32.1,3867924093,3,,3867924101,212,9.8,3869304579,388,,3867924095,56,Back,,,,b3vvxolwxcukqk76hb4scvh79,A. Murillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476516517,413,1,1,0,7,5z1b7fuvpqe6vnigvopomvecu,0,65.9,92.3,2022-10-23T16:32:54.177Z,2022-10-24T05:39:11Z,3867924753,141,84.5,3867924757,213,5.7,3867924751,140,73.3,3869304643,388,,3867924755,212,9.4,3867924749,56,Left,3867924747,3,,,,,93hp5gm29ke90ugdimd9xf949,A. Dønnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
