id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/value
2504060015,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-02-04T19:01:47.546Z,2023-02-04T19:01:47Z,4012988169,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, bk9fq3chnhmw3u36qz5vf1vjd, 12lkxylg8puzxow8ewpsd0b11, 5a2sf4o445ei5pqiinvmjmpcl, esvfsx8gxqw8h0codqz5xmnmc, 9rwn5wckqcb5inw1dhhmpj1t5, bc5vmdnoyshdi5hcgu8dgqxyi, 4rwvkp9xlyv314ceglbauou6t, 9mmwn9yt1olhyr54j45e28xcl, b24ytr3apnyp7z17c124tu1yi, 7d57au4z5cuxc5k6tu6qgp94a, 2n808wa0h841cn8xi78n21v8q, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, cqpgxrqear6p6pz3p8r3xvh90, 7n75ohdnbi436je81n5f8f9m2, 3lpt3fz7lrqy243ftejcmluz8",4012988181,197,12101,4012988179,194,5a2sf4o445ei5pqiinvmjmpcl,4012988173,59,"21, 4, 7, 20, 26, 16, 27, 13, 30, 91, 8, 6, 9, 11, 12, 14, 19, 32",4012988183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4012988177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4012988175,130,18,4012988171,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504060471,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-02-04T19:02:37.047Z,2023-02-05T00:19:22Z,4012990507,197,8054,4012990499,59,"1, 25, 30, 21, 4, 44, 18, 33, 10, 20, 17, 5, 7, 9, 16, 23, 29, 32",4012990505,194,6vh5n14h1knmx7yut84q2f2l1,4012990501,130,18,4012990497,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4012990503,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4012990495,30,"6yegi163rq5fsloppfubi3sh5, 5zdapzrncz7vch3yrgftfp5g, 6vh5n14h1knmx7yut84q2f2l1, eb1rih67f03kwljbge37id1ck, 6fdwd71dx2qu7uzzs3ozm9x7u, 5n522jpifzyf9qu0z41kuf7my, 5np1ksd9qkmc511ihzvikhy0a, 4o8lvm1ffxrywogokfztc6sb9, 8b95khn8h8qz3y4u4coajs5at, 9n5wjnjloy0c2euwhsu9u1y39, 6437iwpplyfh71o9b7uxdylii, bf22is04tealb92h075c7u356, 6eg8vaxpqsd6cyh736h7bq4x6, 93weoj4q60xtxdntko7hobg4q, eczyz1c2lgqelhp13xiqb0vhm, 7hdyeeejo7h9kvqt7x8jlrlec, bcfayigqu8oygm1xvpgl9akt1, 280b4j6oidfonglcbr2vlj59m",4012990509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504085609,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-02-04T19:47:57.563Z,2023-02-04T19:48:02Z,4013133421,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504085615,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-02-04T19:47:57.563Z,2023-02-05T08:00:35Z,4013133457,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504085651,3,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,50.1,50.1,2023-02-04T19:47:57.587Z,2023-02-05T08:30:20Z,4013133613,279,S,4013133605,140,26.5,4013133607,141,50.9,4013133609,212,24.8,4013133611,213,3.1,4014200897,178,,4013133603,56,Back,,,,5np1ksd9qkmc511ihzvikhy0a,A. Kadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504085689,4,1,1,0,2,1uk609mhtsfhokhaewjapb26,0,33,47.2,2023-02-04T19:48:00.562Z,2023-02-05T12:21:05Z,4013133795,141,19.5,4013133791,56,Right,4013133789,155,,4013133797,212,43.1,4013133801,1,,4013133793,140,69.9,4013133799,213,5.8,4014200957,178,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504085687,3,44,1,0,5,2989v3kho9h5jaboe1nr7lx21,1,31.2,89.2,2023-02-04T19:48:03.498Z,2023-02-05T12:21:05Z,4013133787,285,,4013133851,233,5,4013133785,56,Back,,,,,,,,,,,,,,,,9rwn5wckqcb5inw1dhhmpj1t5,F. Boya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504085693,5,44,1,0,5,1uk609mhtsfhokhaewjapb26,0,68.8,10.8,2023-02-04T19:48:03.499Z,2023-02-05T12:21:04Z,4013133817,286,,4013133855,233,3,4013133813,56,Right,,,,,,,,,,,,,,,,9n5wjnjloy0c2euwhsu9u1y39,F. Avenatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504085715,4,1,1,0,6,2989v3kho9h5jaboe1nr7lx21,0,31.2,88.2,2023-02-04T19:48:03.593Z,2023-02-05T12:21:04Z,4013133949,56,Back,4013133953,141,100.0,4013133957,213,0.7,4014201059,388,,4013133947,3,,4013133955,212,13.7,4013133951,140,41.2,,,,9rwn5wckqcb5inw1dhhmpj1t5,F. Boya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504085717,5,5,1,0,9,2989v3kho9h5jaboe1nr7lx21,0,40.5,101.4,2023-02-04T19:48:07.437Z,2023-02-05T08:30:34Z,4013134345,233,6,4013133959,56,Back,4013133961,347,,,,,,,,,,,,,,,,,bk9fq3chnhmw3u36qz5vf1vjd,A. Koita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
