id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2492958397,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-12-23T18:36:26.301Z,2022-12-23T19:58:32Z,3954620903,59,"1, 5, 3, 16, 27, 14, 7, 66, 22, 19, 11, 6, 10, 15, 18, 28, 34, 39",3954620899,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, dsl7qkp6ndxky3lq89liw7yz9, 25ey2mcvgwz6ls2612os5hzv9, btz2lf5s3h6svre1o5jgmvf85, cne8uwbnrwbwqjpj3pme1kbmx, 3eywxsna9qzi1egis1uj4l6mt, ezg4lhvy2z4pkyvfrmi17y11x, 1df9uegp2hsbc4813no3mdvx1, 3q5uylbjjiaoj3mn2l7p93jyt, 9aafa664l1husrkrgqv25l42d, b6hva6wki38za3hipscirr4h6, evktllmp3l6mfb6o4im0ag0ve, calut2wcnvfps97uj7dartf4l, mlqit2c8my1ewqy6avrfhf8q, 5egzwt11xlx1vz5dk9yu29q1g, 9ov7tj31hixo7xp0tfffuhpn8, cxuqd5jlug75nm2blahmxek2c",3954620905,130,8,3954620911,197,1947,3954620901,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3954620909,194,25ey2mcvgwz6ls2612os5hzv9,3954620907,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3954620913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492958465,1,34,16,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2022-12-23T18:36:40.769Z,2022-12-23T19:36:50Z,3954621323,59,"1, 34, 23, 4, 66, 5, 17, 14, 10, 36, 9, 7, 8, 11, 18, 19, 21, 42",3954621325,130,18,3954621331,197,5434,3954621319,30,"d5ecnjd6h89iepxrvrlfn97ft, a0ecz4nlxrr62dcwixtmjiwyy, 5wn1xudozb4s78x0m8ch7vn8q, 52qemp1py9mm9unjvxaphv209, 5iuagsqdiiaadb5yuf7r4vzmc, bmbn4q2uorkgosgaig6migpux, 3l1v52usaf9mmi9dwowdwv3e, 8jc7tw0nw37trgyli0oyz1soa, 2xba9p5cocj599cltnabjes45, 8d0ffyx2qnnp0limf5aou92ei, 1gzgkjei16r4lt2fvcedy1jvt, b13ly8cuyvgraih4y0wxuami2, enyx6hc9mfglu3w2robv9hd9m, ez9zc94k1nj4qxjf2hrvj5dgq, a5ls0i1ztco0zee3la61zv4rt, 1e7u0otkuyc81nhumjkcrvmd, 21ipfd9gxws9vqpw9002o8ve1, cclqq6kcvqz5zvxbzt62dyolw",3954621327,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3954621321,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3954621329,194,8jc7tw0nw37trgyli0oyz1soa,3954621333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969573,2,32,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,0,0,2022-12-23T19:30:08.835Z,2022-12-23T19:30:11Z,3954674349,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969571,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-12-23T19:30:08.835Z,2022-12-24T09:05:34Z,3954674347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969583,3,1,1,0,0,3ix9om1svhd6obl0mbk1otgop,1,50.1,49.5,2022-12-23T19:30:08.840Z,2022-12-24T09:11:22Z,3954674375,56,Back,3954674381,212,23.1,3954674385,279,S,3955001035,178,,3954674379,141,49.7,3954674383,213,3.1,3954674377,140,28.1,,,,1gzgkjei16r4lt2fvcedy1jvt,K. Denkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969605,4,1,1,0,3,3ix9om1svhd6obl0mbk1otgop,1,27.7,45.8,2022-12-23T19:30:12.390Z,2022-12-24T12:06:00Z,3954674489,1,,3954674481,140,77.8,3954674487,213,5.9,3955001041,178,,3954674479,56,Right,3954674483,141,11.4,3954674477,155,,3954674485,212,57.6,52qemp1py9mm9unjvxaphv209,J. Daland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969609,5,61,1,0,7,3ix9om1svhd6obl0mbk1otgop,0,79.9,11.6,2022-12-23T19:30:16.158Z,2022-12-24T12:05:59Z,3954674503,56,Right,3955001071,388,,,,,,,,,,,,,,,,,,,,a0ecz4nlxrr62dcwixtmjiwyy,T. Somers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969621,6,1,1,0,9,3ix9om1svhd6obl0mbk1otgop,1,81.8,22.4,2022-12-23T19:30:18.385Z,2022-12-24T12:05:59Z,3955001083,178,,3954674541,141,40.4,3954674539,140,88.4,3954674545,213,1.1,3954674537,56,Center,3954674543,212,14.1,,,,,,,bmbn4q2uorkgosgaig6migpux,B. Popović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969629,7,1,1,0,10,3ix9om1svhd6obl0mbk1otgop,0,85.3,35,2022-12-23T19:30:18.898Z,2022-12-24T12:05:58Z,3954674577,212,4.9,3954674579,213,6.1,3954674571,56,Center,3955001095,178,,3954674573,140,89.9,3954674575,141,33.9,,,,,,,1gzgkjei16r4lt2fvcedy1jvt,K. Denkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969641,3,4,1,0,11,b7jmo07lqav0wfe2mtlzyspak,1,12.2,74.1,2022-12-23T19:30:20.035Z,2022-12-24T12:05:58Z,3954674615,13,,3954674621,152,,3954674623,285,,3954674625,233,9,3954674617,294,,3954674619,56,Back,,,,,,,ezg4lhvy2z4pkyvfrmi17y11x,B. Verstraete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969639,9,4,1,0,11,3ix9om1svhd6obl0mbk1otgop,0,87.8,25.9,2022-12-23T19:30:20.036Z,2022-12-24T12:05:57Z,3954674613,286,,3955001111,178,,3954674635,233,3,3954674607,294,,3954674609,56,Center,3954674605,13,,3954674611,152,,,,,bmbn4q2uorkgosgaig6migpux,B. Popović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969631,8,43,1,0,14,3ix9om1svhd6obl0mbk1otgop,1,0,0,2022-12-23T19:30:23.373Z,2022-12-23T19:30:33Z,3954674717,144,50,3954674585,286,0,3954674583,56,Center,,,,,,,,,,,,,,,,bmbn4q2uorkgosgaig6migpux,B. Popović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969693,4,1,1,0,29,b7jmo07lqav0wfe2mtlzyspak,1,4.5,65.8,2022-12-23T19:30:38.485Z,2022-12-24T12:05:57Z,3954674853,152,,3954674861,212,9.3,3955001127,178,,3954674855,56,Back,3954674851,5,,3954674859,141,79.4,3954674863,213,1.5,3954674857,140,4.7,1psqmd0h77b385bljq2emftgp,G. Coucke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969717,5,1,1,0,31,b7jmo07lqav0wfe2mtlzyspak,1,2.4,79.8,2022-12-23T19:30:40.442Z,2022-12-24T12:05:56Z,3955001141,178,,3954674973,140,12.0,3954674975,141,97.4,3954674977,212,15.6,3954674971,56,Back,3954674979,213,0.9,,,,,,,cne8uwbnrwbwqjpj3pme1kbmx,D. Lavalée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969719,6,1,1,0,34,b7jmo07lqav0wfe2mtlzyspak,0,7.1,98.2,2022-12-23T19:30:42.886Z,2022-12-24T12:05:55Z,3954674991,141,91.5,3954674997,1,,3954674985,157,,3955001145,178,,3954674993,212,26.2,3954674987,56,Back,3954674989,140,31.7,3954674995,213,6.1,dsl7qkp6ndxky3lq89liw7yz9,L. Bijker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492969729,10,1,1,0,35,3ix9om1svhd6obl0mbk1otgop,0,68.9,11.2,2022-12-23T19:30:44.298Z,2022-12-24T12:05:55Z,3954675043,141,15.6,3954675037,3,,3954675045,212,5.1,3954675039,56,Right,3954675047,213,0.6,3955001163,388,,3954675041,140,72.8,,,,3l1v52usaf9mmi9dwowdwv3e,A. Francis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
