id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2482434905,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-11-06T14:03:49.838Z,2022-11-06T15:03:51Z,3899159299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3899159309,197,8159,3899159291,59,"49, 2, 94, 44, 16, 59, 8, 10, 7, 13, 20, 6, 11, 19, 21, 23, 26, 29",3899159295,130,12,3899159287,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3899159311,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899159283,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, e44w6g1c1ojf854svzswpl0x5, 1i1xcco82x0ppbac6j5z59x49, 5w0ohhrm0ojscyjh3e0o8ffmd, 7bwjxz6bwt7h070dbv1l8woyy, 5j13tgvpwi7m3y6rjd8q08tt5, 6xam5bquregefbepxd9rwfdh, a6cke0ad2pvuyahweuch772ay, 7vv4ef3y8swdekozwaent3ai1, 39tod1iad3ztq17qveh8pwp9l, 7a6hqi5iy91onh9u7l7t88tbe, ai5p5wgft6c09bjbldz9sfeac, ths196pehnfyf4f4scmqj8ph, 1a9u2g4hynrz2e93sz1evhpzp, di9k6xr6j4arjoltl7s9yp6cq, f0ean6buvvp9l4rh1ayvnnill, 15odj8wui8136996wi2d5t7md",3899159303,194,6xam5bquregefbepxd9rwfdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482490789,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-11-06T14:42:21.679Z,2022-11-06T15:11:23Z,3899462443,197,13705,3899462437,130,10,3899462435,59,"1, 32, 11, 24, 23, 22, 8, 35, 9, 14, 4, 2, 6, 17, 20, 25, 39, 55",3899462431,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3899462441,194,6qlfe04qjldj3rkeeme6gdi39,3899462445,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899462427,30,"6qlfe04qjldj3rkeeme6gdi39, 9qm1adecprlczxw7ldbpvoi51, bjhjz96omjukrg6tj3mny39t6, 9kywhmzih4xhuz5d1rrxjcpd6, bxcrdkrcljgx6l4o0uy4rom3t, e2z19y8is5m24brpa3gzn02qx, 7xs1rx9jos4ls85u362y9hqeh, 1kr8slemziskw8bm2ir4shlud, 21545vwheo9a30u5hgnsrecmi, 12c7rhdjh6rja1d2j45n3exyi, 8hl43dvm1d57g011yacyoooa1, 6z1isgjrlx4gbcjp5ekawdi39, f3wwl40dd2xm8oeof6n6y7rhl, 5zpg8fnqc4luuhlonsn5nbw4q, 2aemkadh3bhtgm5db8r89pvit, 7y2fbdkqsz35hgsib6rail1hx, dd711ekg0nlaosmsy2lz13syy, 1ezai0a0n3xem17lwhtxwaml1",3899462439,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482505145,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-11-06T15:00:08.741Z,2022-11-06T22:47:30Z,3899539779,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482505157,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-11-06T15:00:08.741Z,2022-11-06T15:00:11Z,3899539847,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482505177,3,1,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,49.7,50.9,2022-11-06T15:00:09.071Z,2022-11-07T04:29:11Z,3899539927,213,2.7,3899539925,212,10.3,3899539919,56,Back,3899539921,140,40.7,3899539929,279,S,3899539923,141,56.9,3901704197,178,,,,,8hl43dvm1d57g011yacyoooa1,M. Fixelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482505195,4,1,1,0,1,2nhn3ikl1ciq34w3hcp883d6p,0,41,51.9,2022-11-06T15:00:10.719Z,2022-11-07T08:45:39Z,3899540033,140,72.3,3899540029,155,,3899540037,212,45.2,3899540035,141,6.2,3899540031,56,Right,3899540041,1,,3901704281,178,,3899540039,213,5.5,7xs1rx9jos4ls85u362y9hqeh,N. Madsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482505197,3,49,1,0,4,ecj1gmc7pqcjo4sc9hvghj5u3,1,26.6,96.1,2022-11-06T15:00:13.605Z,2022-11-07T08:45:38Z,,,,,,,,,,,,,,,,,,,,,,,,,e44w6g1c1ojf854svzswpl0x5,L. Lapoussin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482505209,4,1,1,0,6,ecj1gmc7pqcjo4sc9hvghj5u3,1,30.8,98.6,2022-11-06T15:00:15.208Z,2022-11-07T08:45:35Z,3899540145,140,38.7,3899540151,213,5.4,3899540147,141,84.7,3901704421,178,,3899540149,212,12.6,3899540143,56,Back,,,,,,,e44w6g1c1ojf854svzswpl0x5,L. Lapoussin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482505215,5,1,1,0,7,ecj1gmc7pqcjo4sc9hvghj5u3,1,41.2,89.8,2022-11-06T15:00:16.337Z,2022-11-07T08:45:35Z,3899540169,56,Back,3899540173,141,83.0,3899540185,156,,3901704475,178,,3899540177,213,3.8,3899540175,212,7.9,3899540171,140,35.1,,,,a6cke0ad2pvuyahweuch772ay,V. Boniface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482505227,6,1,1,0,8,ecj1gmc7pqcjo4sc9hvghj5u3,1,38.8,86.2,2022-11-06T15:00:17.384Z,2022-11-07T08:45:34Z,3899540271,213,4.2,3901704519,178,,3899540263,56,Back,3899540265,140,31.2,3899540267,141,67.5,3899540269,212,15.0,,,,,,,6xam5bquregefbepxd9rwfdh,T. Teuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
