id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/12/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2531187877,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-04-09T16:22:38.281Z,2023-04-09T16:55:26Z,4177216115,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177216105,59,"21, 4, 77, 20, 26, 16, 30, 13, 91, 8, 27, 7, 9, 11, 12, 14, 19, 22",4177216103,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4177216113,197,12101,4177216107,130,10,4177216111,194,5a2sf4o445ei5pqiinvmjmpcl,4177216109,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4177216101,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, eakj3xa0pa88pajbvasbwqwdm, 12lkxylg8puzxow8ewpsd0b11, 5a2sf4o445ei5pqiinvmjmpcl, esvfsx8gxqw8h0codqz5xmnmc, 4rwvkp9xlyv314ceglbauou6t, bc5vmdnoyshdi5hcgu8dgqxyi, 9mmwn9yt1olhyr54j45e28xcl, b24ytr3apnyp7z17c124tu1yi, 9rwn5wckqcb5inw1dhhmpj1t5, bk9fq3chnhmw3u36qz5vf1vjd, 2n808wa0h841cn8xi78n21v8q, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, cqpgxrqear6p6pz3p8r3xvh90, 7n75ohdnbi436je81n5f8f9m2, 9qafk5ke1yzqggkcmf1zqevp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531188215,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-04-09T16:23:41.512Z,2023-04-09T21:18:21Z,4177217977,59,"28, 29, 7, 27, 88, 33, 16, 8, 9, 34, 18, 1, 3, 6, 17, 26, 36, 77",4177217981,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4177217983,194,2hj88r72bbwnhqx12tv13jmqx,4177217975,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4177217973,30,"99eumu17h5sxriw5vfczvdb6d, 5ghjnuqhf7kvbwqlo8jqv0bqi, 3m13ipluel0m6cotha7n7vrop, czsmg1hjqbmzhz8x91y3b0yc5, 7y7wrtvktvxfki86p41ptoell, 2hj88r72bbwnhqx12tv13jmqx, 3s0tyude1pghox634ij87srft, 92ajo8iiqwlmjwndtf7yt6l05, b3y2ov2ju75fr5u5e2rerj1ex, 58qrdtv5emnvcojqkmnpx5ffu, 2rn8mnhlrtrbm6du97f54zckq, d0itp0eyxewvnm2shm0manw7p, 243h2yiww7rrz20i0le43jtux, 13gl8a9xwpzphph88xleav07p, 3zkgg98u1fvuospd2avl4qy2, 17x4fqsde2cdp2s9q5odmkr8p, 973qhpd6czw3u8h0788uq9ez8, 9m3bkbdedtddfeix57rj2f7c9",4177217985,197,10068,4177217979,130,17,4177217987,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531216289,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-04-09T17:16:44.893Z,2023-04-09T17:16:45Z,4177371061,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531216307,3,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-04-09T17:16:44.893Z,2023-04-10T00:47:14Z,4177371143,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531216319,3,1,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,50,50,2023-04-09T17:16:44.975Z,2023-04-10T00:51:50Z,4177371209,141,46.7,4178597969,178,,4177371211,212,20.0,4177371207,140,31.1,4177371213,213,3.3,4177371205,56,Back,4177371215,279,S,,,,92ajo8iiqwlmjwndtf7yt6l05,C. McGeehan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531216345,4,1,1,0,2,2b57rbw94i9ohnbch52owvqtq,0,34.6,52,2023-04-09T17:16:47.633Z,2023-04-10T08:03:03Z,4177371345,56,Right,4177371351,212,43.0,4177371343,155,,4177371355,1,,4178598127,178,,4177371347,140,68.7,4177371349,141,17.1,4177371353,213,5.7,7y7wrtvktvxfki86p41ptoell,M. Rodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531216359,4,1,1,0,5,2989v3kho9h5jaboe1nr7lx21,0,31.9,81.4,2023-04-09T17:16:50.270Z,2023-04-10T08:03:03Z,4177371433,141,100.0,4177371427,3,,4177371429,56,Back,4178598487,388,,4177371435,212,23.4,4177371431,140,49.8,4177371437,213,0.6,,,,9rwn5wckqcb5inw1dhhmpj1t5,F. Boya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531216363,5,5,1,0,8,2989v3kho9h5jaboe1nr7lx21,0,47.7,102,2023-04-09T17:16:53.120Z,2023-04-10T00:52:02Z,4177371455,56,Back,4177371875,233,5,4177371457,347,,,,,,,,,,,,,,,,,9rwn5wckqcb5inw1dhhmpj1t5,F. Boya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531216435,5,5,1,0,8,2b57rbw94i9ohnbch52owvqtq,1,52.3,-2,2023-04-09T17:16:53.120Z,2023-04-10T00:52:02Z,4177371853,56,Right,4177371855,347,,4177371857,233,5,,,,,,,,,,,,,,,,7y7wrtvktvxfki86p41ptoell,M. Rodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531216449,6,1,1,0,17,2b57rbw94i9ohnbch52owvqtq,1,57.1,0,2023-04-09T17:17:02.526Z,2023-04-10T08:03:02Z,4177371931,141,11.1,4177371925,107,,4177371935,213,2.0,4177371929,140,53.7,4177371927,56,Right,4177371933,212,9.5,,,,,,,5ghjnuqhf7kvbwqlo8jqv0bqi,R. D'Haese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
