id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/19/value
2485290641,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-11-13T14:06:18.584Z,2022-11-13T14:06:18Z,3914063459,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3914063479,194,6xam5bquregefbepxd9rwfdh,3914063465,59,"49, 2, 94, 44, 16, 59, 8, 10, 7, 13, 20, 6, 9, 11, 19, 21, 23, 26",3914063489,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914063483,197,8159,3914063455,30,"a8kdcx3797ityilpw31jaj4r9, aajft01g5yggw0is5fbfh3105, e44w6g1c1ojf854svzswpl0x5, 1i1xcco82x0ppbac6j5z59x49, 5w0ohhrm0ojscyjh3e0o8ffmd, 7bwjxz6bwt7h070dbv1l8woyy, 5j13tgvpwi7m3y6rjd8q08tt5, 6xam5bquregefbepxd9rwfdh, a6cke0ad2pvuyahweuch772ay, 7vv4ef3y8swdekozwaent3ai1, 39tod1iad3ztq17qveh8pwp9l, 7a6hqi5iy91onh9u7l7t88tbe, 7lfocbri1eyj151wuqodpnnpx, ai5p5wgft6c09bjbldz9sfeac, ths196pehnfyf4f4scmqj8ph, 1a9u2g4hynrz2e93sz1evhpzp, di9k6xr6j4arjoltl7s9yp6cq, f0ean6buvvp9l4rh1ayvnnill",3914063475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3914063471,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485294053,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-11-13T14:08:44.670Z,2022-11-13T14:08:44Z,3914080507,197,16111,3914080495,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3914080509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914080493,30,"bxcwnf87pf8ijzbxy70ewcfe1, eg2u042cthz9undb4xz0pu8rt, 93hp5gm29ke90ugdimd9xf949, corn6i066rh7c7veva0sm3oid, 76y4awqbdef5yxiovt27i57th, 48f3zlksc3r230qb78c5emnyt, 69ivqkcipxp15b7x5jl83ud49, rmruexgp6l6ar57aq8xffg4q, 6a0e28nxlyyw7ghe4wzumlzh1, d6r3vkalhudms84f6fs415wid, cllq8xizuqut48xxqc3btz97u, ajcblksnh113es9hzt7l5k8h5, 187wxh3jjn8hqbu7fyw7wullh, 2bz8ey1mxuv6uo8duu7if6k4q, bxudrqx99a3zv5gajdzxz38id, bci3k14ed9oqcchpmtq37rnx1, 504qkt70jvof5yzffmwwo5c5x, 3z1lfdoy92bq8airglbhx32tw",3914080503,194,corn6i066rh7c7veva0sm3oid,3914080499,130,13,3914080501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3914080497,59,"16, 13, 11, 34, 20, 6, 14, 26, 28, 77, 22, 7, 8, 10, 21, 30, 38, 61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485342827,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-11-13T15:00:40.717Z,2022-11-13T15:00:40Z,3914331301,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485342833,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-11-13T15:00:40.717Z,2022-11-14T03:55:13Z,3914331323,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485342865,3,1,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,50,50,2022-11-13T15:00:40.920Z,2022-11-14T06:10:53Z,3914331519,279,S,3916246641,178,,3914331517,213,2.8,3914331515,212,6.4,3914331511,140,44.3,3914331513,141,53.4,3914331509,56,Back,,,,5j13tgvpwi7m3y6rjd8q08tt5,L. Amani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485342875,4,1,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,45,54.6,2022-11-13T15:00:41.699Z,2022-11-14T11:21:15Z,3916246689,178,,3914331559,140,44.1,3914331563,212,2.1,3914331557,56,Back,3914331565,213,4.3,3914331561,141,51.8,,,,,,,39tod1iad3ztq17qveh8pwp9l,S. Lynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485342899,5,1,1,0,1,ecj1gmc7pqcjo4sc9hvghj5u3,0,44.6,53,2022-11-13T15:00:42.565Z,2022-11-14T11:21:14Z,3914331677,140,94.4,3914331679,141,0.0,3914331673,155,,3914331683,213,5.7,3914331675,56,Right,3916246777,178,,3914331681,212,64.2,3914331685,1,,6xam5bquregefbepxd9rwfdh,T. Teuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485343029,3,5,1,0,6,5z1b7fuvpqe6vnigvopomvecu,1,5.4,102,2022-11-13T15:00:46.837Z,2022-11-14T06:11:04Z,3914332419,347,,3914332421,233,6,3914332417,56,Back,,,,,,,,,,,,,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485342903,6,5,1,0,6,ecj1gmc7pqcjo4sc9hvghj5u3,0,94.6,-2,2022-11-13T15:00:46.837Z,2022-11-14T06:11:05Z,3914331693,347,,3914332425,233,3,3914331691,56,Right,,,,,,,,,,,,,,,,6xam5bquregefbepxd9rwfdh,T. Teuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485343037,4,1,1,0,21,5z1b7fuvpqe6vnigvopomvecu,1,11.8,100,2022-11-13T15:01:02.640Z,2022-11-14T11:21:14Z,3914332477,213,5.7,3914332475,212,21.0,3914332469,56,Back,3914332471,140,28.6,3914332467,107,,3914332473,141,85.3,,,,,,,93hp5gm29ke90ugdimd9xf949,A. Dønnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485343041,5,1,1,0,23,5z1b7fuvpqe6vnigvopomvecu,0,24.2,85.4,2022-11-13T15:01:04.427Z,2022-11-14T11:21:14Z,3914332495,140,35.9,3914332491,3,,3914332493,56,Back,3914332499,212,12.7,3916247091,388,,3914332497,141,89.9,3914332501,213,0.2,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485343045,7,49,1,0,25,ecj1gmc7pqcjo4sc9hvghj5u3,1,61.8,14.1,2022-11-13T15:01:06.160Z,2022-11-14T11:21:13Z,,,,,,,,,,,,,,,,,,,,,,,,,5w0ohhrm0ojscyjh3e0o8ffmd,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485343093,8,1,1,0,25,ecj1gmc7pqcjo4sc9hvghj5u3,0,61.8,14.1,2022-11-13T15:01:06.197Z,2022-11-14T11:21:13Z,3914332705,140,100.0,3914332701,155,,3914332703,56,Right,3914332709,212,41.3,3914332713,1,,3916247191,178,,3914332707,141,17.7,3914332711,213,0.1,5w0ohhrm0ojscyjh3e0o8ffmd,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485343083,6,5,1,0,29,5z1b7fuvpqe6vnigvopomvecu,1,-1.2,85.2,2022-11-13T15:01:10.274Z,2022-11-14T06:11:25Z,3914332795,233,9,3914332689,346,,3914332687,56,Back,,,,,,,,,,,,,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485343097,9,5,1,0,29,ecj1gmc7pqcjo4sc9hvghj5u3,0,101.2,14.8,2022-11-13T15:01:10.274Z,2022-11-14T06:11:24Z,3914332735,346,,3914332799,233,6,3914332733,56,Right,,,,,,,,,,,,,,,,5w0ohhrm0ojscyjh3e0o8ffmd,C. Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
