id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2497179329,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-01-14T14:12:39.657Z,2023-01-14T14:58:49Z,3976853939,130,4,3976853935,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3976853933,30,"3j1vhujla834m422svmrdh3pw, 5oa6glaxweluggb6odyxb4uz9, 187qa5icsve3oak3t90r6rhsl, 1acbm9228tfggjx7htxjtcvrp, 6iu350lkyhy6tcll5gfo4vy3u, a52575bcqr3acuweauiyzsb56, 7sxsul4lzfxl1nzca1nq715re, apusqhva0hdbf7zqb3twgeoa2, 7ruin2kz9zjzba57tdbec7n4l, 9bnvh1i6mu45yvkz257c0x1at, 8ic5et3o15rkxyebpxy6y4mhh, af8gj4w5eg8rdl4iq7fi8aa96, 4e5jvz1t60a2l67c5a9r2qne, e44sv1k4belucgkkem7qtkpd6, 6cztmz0yq3ifdkkz4hpe47krt, 6h8nr55ieqsaiscoxje2ihmhg, 7nlpu8ocv423vqaooks0hifze, bpxafwc30rerxmgju6rcau8kp",3976853941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976853947,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976853937,59,"16, 40, 18, 23, 4, 99, 15, 5, 7, 21, 12, 2, 6, 14, 27, 29, 30, 35",3976853945,197,8175,3976853943,194,1acbm9228tfggjx7htxjtcvrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497182545,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-01-14T14:15:58.255Z,2023-01-14T14:58:49Z,3976871283,194,48f3zlksc3r230qb78c5emnyt,3976871285,197,17367,3976871277,59,"16, 13, 11, 34, 20, 6, 22, 14, 28, 61, 77, 8, 10, 17, 21, 30, 38, 51",3976871287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976871281,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976871279,130,13,3976871273,30,"bxcwnf87pf8ijzbxy70ewcfe1, eg2u042cthz9undb4xz0pu8rt, 93hp5gm29ke90ugdimd9xf949, corn6i066rh7c7veva0sm3oid, 76y4awqbdef5yxiovt27i57th, 48f3zlksc3r230qb78c5emnyt, cllq8xizuqut48xxqc3btz97u, 69ivqkcipxp15b7x5jl83ud49, 6a0e28nxlyyw7ghe4wzumlzh1, 3z1lfdoy92bq8airglbhx32tw, d6r3vkalhudms84f6fs415wid, 187wxh3jjn8hqbu7fyw7wullh, 2bz8ey1mxuv6uo8duu7if6k4q, 464o8uslv6z2fdm269j97gt4a, bxudrqx99a3zv5gajdzxz38id, bci3k14ed9oqcchpmtq37rnx1, 504qkt70jvof5yzffmwwo5c5x, eq5hfgqm32c7qmj6xwp7j9iqc",3976871275,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211991,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-01-14T15:00:37.136Z,2023-01-15T00:52:39Z,3977031293,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211997,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-01-14T15:00:37.136Z,2023-01-14T15:00:39Z,3977031321,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212039,3,1,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,50.1,50,2023-01-14T15:00:37.163Z,2023-01-15T04:28:49Z,3977031525,213,2.6,3977031523,212,23.0,3978903555,178,,3977031519,140,31.3,3977031527,279,S,3977031521,141,67.5,3977031517,56,Back,,,,7ruin2kz9zjzba57tdbec7n4l,Vagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212067,4,1,1,0,2,jb4xejoxjfk5a0a50bo8hvst,0,36.2,53.3,2023-01-14T15:00:39.673Z,2023-01-15T07:55:04Z,3977031661,196,,3977031683,213,5.5,3977031655,155,,3977031667,140,73.2,3977031677,212,53.8,3977031687,1,,3978903571,178,,3977031665,56,Right,a52575bcqr3acuweauiyzsb56,M. Mbow,3977031673,141,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212093,3,5,1,0,5,5z1b7fuvpqe6vnigvopomvecu,1,25.9,101.7,2023-01-14T15:00:42.727Z,2023-01-15T04:28:56Z,3977031793,347,,3977031791,56,Back,3977031831,233,5,,,,,,,,,,,,,,,,6a0e28nxlyyw7ghe4wzumlzh1,S. Perica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212075,5,5,1,0,5,jb4xejoxjfk5a0a50bo8hvst,0,74.1,-1.7,2023-01-14T15:00:42.727Z,2023-01-15T04:28:57Z,3977031841,233,3,3977031721,347,,3977031719,56,Right,,,,,,,,,,,,,,,,6iu350lkyhy6tcll5gfo4vy3u,M. Tshibuabua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212225,4,1,1,0,10,5z1b7fuvpqe6vnigvopomvecu,1,33.8,100,2023-01-14T15:00:47.885Z,2023-01-15T07:55:04Z,3977032423,107,,3977032425,56,Back,3977032433,213,4.1,3977032429,141,85.1,3977032427,140,26.7,3977032431,212,13.7,,,,,,,93hp5gm29ke90ugdimd9xf949,A. Dønnum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212371,5,1,1,0,14,5z1b7fuvpqe6vnigvopomvecu,1,31.3,70.2,2023-01-14T15:00:52.115Z,2023-01-15T07:55:02Z,3977033161,155,,3978903737,178,,3977033177,1,,3977033163,56,Back,3977033165,140,45.5,3977033169,141,8.8,3977033173,212,44.3,3977033175,213,5.1,69ivqkcipxp15b7x5jl83ud49,S. Alzate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212391,6,1,1,0,19,5z1b7fuvpqe6vnigvopomvecu,0,58.7,14.9,2023-01-14T15:00:56.659Z,2023-01-15T07:55:00Z,3978903795,178,,3977033247,212,17.5,3977033241,56,Right,3977033245,141,10.7,3977033243,140,75.1,3977033249,213,6.1,,,,,,,eg2u042cthz9undb4xz0pu8rt,M. Fossey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497562033,737,43,1,0,21,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-01-14T15:00:59.017Z,2023-01-15T05:44:52Z,3978955985,144,67,3978921417,233,955,,,,,,,,,,,,,,,,,,,a52575bcqr3acuweauiyzsb56,M. Mbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497562031,955,43,1,0,21,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-01-14T15:00:59.018Z,2023-01-15T05:44:52Z,3978955993,144,67,3978921421,233,737,,,,,,,,,,,,,,,,,,,3z1lfdoy92bq8airglbhx32tw,C. Çanak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497212395,6,12,1,0,21,jb4xejoxjfk5a0a50bo8hvst,1,15.8,87.6,2023-01-14T15:00:59.020Z,2023-01-15T07:55:00Z,3978667497,213,1.1,3978903821,389,,3978667491,140,20.1,3978667489,167,,3977033257,56,Back,3978667495,212,10.8,3978667493,141,100.0,,,,a52575bcqr3acuweauiyzsb56,M. Mbow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
