id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2512795627,1,34,16,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-02-26T14:04:25.997Z,2023-02-26T15:18:16Z,4059008725,59,"1, 34, 22, 27, 33, 51, 7, 48, 18, 24, 10, 14, 16, 26, 32, 50, 52, 81",4059008721,30,"r0hm6ahwcvdu57bgfi5zkslx, cyh16toqa9wxmxepg635ecgve, 70h2g33o2w7f32dtx76wji99m, cjf412x9sg56vos0jkj85k3ys, 9gt3izdka3a0nh7r9uazkueqc, ecwzzrkn1snbua5yu4gehxm2, 1rqpbl0ivf8qwdvi6gqpgxz9x, a7ip51ik4rkqcvgdsh64ln09g, eg4piy0kcdtdopqpd3lcl5j2t, d19yalwh3i2olvpwoi89feqjt, dcjf15sf1dbb6w17foz25uuei, 9tgbdheyuooa8cfz06l577end, 5jywyphhwu9j4bphz0720kb9, 4114auk4o8n6higc918qymc4p, 2tsn78gg5xyw81srfdn05hw8a, 8kwlhrjwp4xewwpaayseb9bmc, 783gcbge6tm3dosc9jou2jqc4, cz4ghmk3l1qypfmuxzop3udck",4059008733,197,3769,4059008727,130,8,4059008729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4059008723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4059008735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059008731,194,r0hm6ahwcvdu57bgfi5zkslx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512803323,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2023-02-26T14:10:01.425Z,2023-02-26T15:09:02Z,4059046165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4059046157,30,"49vbniwasp2kyt27jw0cv6m6t, dmk8usvqtzv60bwkoxk7kfqxg, 9fvwcsajeousbo5o0e84cj2sp, 73z9v9oz73hlmnswrzp860yj9, 1abf0y93zbw1sw183nblqoicp, 4juerzftkeiuzctoiei6dmtp1, a8pgjuz5yrbxyf1t905gj327d, dvomh2gx3wd5x5v1dmlnkdpzp, 58b30n3a3qc1s5tpfn8er7tw4, 1fdi6uzonmsod2drzro8bj3rp, 1kst4u41rlyirggwoo1m8ovdh, 983yy0ez1onytwj2k1nqw61p0, 91qd93lqgpe700ps0b6a7ntn9, cni0rxu9fo9lfqqhggmqrdvpx, 2vmpkyku0hwv0zdbbzunt2xux, 91sex5ir1pp4b2beotoua7mqx, f5kjetb4nb0bj9ms9lxl24zfu, 73pmo92alzawlt2yo2bfartn9",4059046167,194,73z9v9oz73hlmnswrzp860yj9,4059046163,130,8,4059046161,59,"12, 25, 20, 24, 28, 14, 11, 6, 43, 8, 7, 21, 4, 5, 13, 15, 38, 77",4059046159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4059046169,197,8055,4059046171,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512858915,2,32,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,0,0,2023-02-26T15:01:31.839Z,2023-02-26T15:01:31Z,4059320505,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512858927,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2023-02-26T15:01:31.839Z,2023-02-26T22:11:26Z,4059320551,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512858941,3,1,1,0,0,7zibyotq1x1hq6pmgibhr0e6s,1,49.9,50.4,2023-02-26T15:01:31.885Z,2023-02-27T05:55:29Z,4059320665,279,S,4061295841,178,,4059320655,56,Back,4059320663,213,3.6,4059320657,140,42.4,4059320661,212,8.9,4059320659,141,44.2,,,,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512858955,4,1,1,0,1,7zibyotq1x1hq6pmgibhr0e6s,1,41.6,45.7,2023-02-26T15:01:33.233Z,2023-02-27T10:11:02Z,4059320771,212,18.9,4059320769,141,59.4,4059320765,56,Back,4059320773,213,2.6,4061295897,178,,4059320767,140,25.9,,,,,,,a7ip51ik4rkqcvgdsh64ln09g,A. Vermeeren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512858983,5,1,1,0,4,7zibyotq1x1hq6pmgibhr0e6s,1,23.3,54.2,2023-02-26T15:01:36.228Z,2023-02-27T10:11:01Z,4059320945,140,26.6,4059320943,56,Back,4061295935,178,,4059320947,141,81.4,4059320951,213,1.4,4059320949,212,18.8,,,,,,,ecwzzrkn1snbua5yu4gehxm2,W. Pacho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512859011,6,1,1,0,5,7zibyotq1x1hq6pmgibhr0e6s,1,23.9,81.5,2023-02-26T15:01:37.398Z,2023-02-27T10:11:00Z,4059321075,155,,4059321077,56,Back,4059321081,141,56.3,4059321083,212,30.0,4061295969,178,,4059321085,213,5.7,4059321079,140,47.3,,,,70h2g33o2w7f32dtx76wji99m,G. Ávila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512912761,469,1,1,0,7,7zibyotq1x1hq6pmgibhr0e6s,0,47.8,57.4,2023-02-26T15:01:39.473Z,2023-02-27T10:11:00Z,4061296295,21,,4059605491,212,2.7,4059611203,236,,4059605485,140,48.0,4059605487,141,61.4,4059611205,233,3,4061296293,388,,4059605493,213,1.5,eg4piy0kcdtdopqpd3lcl5j2t,V. Janssen,4059611209,286,4059605483,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512859019,3,74,1,0,7,bw9wm8pqfzcchumhiwdt2w15c,1,51.4,42.4,2023-02-26T15:01:39.514Z,2023-02-27T10:10:59Z,4059321119,56,Center,4061296375,388,,4059611247,233,469,4059611183,285,,4061296373,15,,,,,,,,,,,1abf0y93zbw1sw183nblqoicp,E. Pletinckx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512859051,4,49,1,0,9,bw9wm8pqfzcchumhiwdt2w15c,1,58.8,38.7,2023-02-26T15:01:41.191Z,2023-02-27T10:10:59Z,,,,,,,,,,,,,,,,,,,,,,,,,73z9v9oz73hlmnswrzp860yj9,C. De Norre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
