id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2445250859,1,34,16,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-08-13T13:14:34.120Z,2022-08-13T13:59:37Z,3701791673,197,8173,3701791667,130,6,3701791663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3701791669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3701791661,30,"6qlfe04qjldj3rkeeme6gdi39, 9qm1adecprlczxw7ldbpvoi51, bjhjz96omjukrg6tj3mny39t6, 7xs1rx9jos4ls85u362y9hqeh, bxcrdkrcljgx6l4o0uy4rom3t, 6z1isgjrlx4gbcjp5ekawdi39, 1ezai0a0n3xem17lwhtxwaml1, auqy1bigw2a1owxg441wojzyt, 7y2fbdkqsz35hgsib6rail1hx, 96xomdtz505yoaz35i5bb8f84, 50tfyk5k7qkm1kwv9rrneriwa, 21545vwheo9a30u5hgnsrecmi, 12c7rhdjh6rja1d2j45n3exyi, 2aemkadh3bhtgm5db8r89pvit, e2z19y8is5m24brpa3gzn02qx, 9kywhmzih4xhuz5d1rrxjcpd6, 5ujoracvgg00kzd0a8rh8oa1h, dd711ekg0nlaosmsy2lz13syy",3701791675,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701791665,59,"1, 32, 11, 8, 23, 2, 55, 7, 25, 45, 10, 9, 14, 20, 22, 24, 33, 39",3701791671,194,auqy1bigw2a1owxg441wojzyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445251127,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-08-13T13:15:03.910Z,2022-08-13T13:59:48Z,3701793033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3701793037,197,16292,3701793029,59,"16, 2, 38, 8, 6, 34, 11, 26, 9, 19, 7, 15, 18, 20, 23, 30, 51, 61",3701793039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701793027,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3701793035,194,48f3zlksc3r230qb78c5emnyt,3701793031,130,8,3701793025,30,"bxcwnf87pf8ijzbxy70ewcfe1, ai0yljs83kdpaa6r7ri0048np, 504qkt70jvof5yzffmwwo5c5x, 187wxh3jjn8hqbu7fyw7wullh, 48f3zlksc3r230qb78c5emnyt, corn6i066rh7c7veva0sm3oid, 93hp5gm29ke90ugdimd9xf949, rmruexgp6l6ar57aq8xffg4q, 8bh749b5p635490hik1pj40yd, 1pg0b32xb9230zit0ndyd79ih, ajcblksnh113es9hzt7l5k8h5, 2gpt4ph0jpaaj49fnnmpdc1qt, a1ibpks3t6lelvch5kn6u6nyt, 76y4awqbdef5yxiovt27i57th, 8z9b1qk5hyi2t8qhr3avjelbe, bci3k14ed9oqcchpmtq37rnx1, eq5hfgqm32c7qmj6xwp7j9iqc, 3z1lfdoy92bq8airglbhx32tw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276707,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-08-13T14:02:11.461Z,2022-08-13T14:02:11Z,3701914507,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276717,2,32,1,0,0,2nhn3ikl1ciq34w3hcp883d6p,1,0,0,2022-08-13T14:02:11.461Z,2022-08-13T22:03:33Z,3701914543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276799,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,49.8,49.9,2022-08-13T14:02:11.471Z,2022-08-14T04:00:06Z,3701914943,279,S,3701914939,212,25.6,3701914941,213,3.5,3701914935,140,27.3,3701914933,56,Back,3701914937,141,35.5,3705396667,178,,,,,187wxh3jjn8hqbu7fyw7wullh,G. Cimirot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276913,4,1,1,0,3,5z1b7fuvpqe6vnigvopomvecu,1,34.4,41.8,2022-08-13T14:02:14.633Z,2022-08-14T07:17:54Z,3701915465,56,Left,3701915471,212,47.9,3701915475,1,,3705396809,178,,3701915463,155,,3701915473,213,0.8,3701915467,140,66.4,3701915469,141,92.0,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277031,5,1,1,0,6,5z1b7fuvpqe6vnigvopomvecu,0,73.1,87.7,2022-08-13T14:02:17.789Z,2022-08-14T07:17:54Z,3701916081,56,Left,3701916077,3,,3701916085,140,100.0,3701916091,212,29.6,3705396989,388,,3701916087,141,96.8,3701916093,213,0.2,,,,1pg0b32xb9230zit0ndyd79ih,S. Amallah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277167,3,5,1,0,9,2nhn3ikl1ciq34w3hcp883d6p,1,-1,2.6,2022-08-13T14:02:21.306Z,2022-08-14T04:00:20Z,3701916723,56,Back,3701916813,233,6,3701916727,346,,,,,,,,,,,,,,,,,9qm1adecprlczxw7ldbpvoi51,E. Jordanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277049,6,5,1,0,9,5z1b7fuvpqe6vnigvopomvecu,0,101,97.4,2022-08-13T14:02:21.306Z,2022-08-14T04:00:21Z,3701916853,233,3,3701916179,56,Left,3701916181,346,,,,,,,,,,,,,,,,,ajcblksnh113es9hzt7l5k8h5,D. Drăguş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277593,4,1,1,0,21,2nhn3ikl1ciq34w3hcp883d6p,1,2.4,47.6,2022-08-13T14:02:32.702Z,2022-08-14T07:17:54Z,3701918823,124,,3701918847,237,,3701918837,212,23.6,3701918829,56,Back,3701918841,213,1.2,3701918835,141,79.9,3701918831,140,10.6,,,,6qlfe04qjldj3rkeeme6gdi39,S. Bolat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
