id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2509262465,1,34,16,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-02-18T16:12:13.786Z,2023-02-18T16:12:13Z,4040354805,59,"16, 4, 12, 3, 25, 2, 99, 6, 9, 7, 26, 1, 10, 18, 19, 28, 32, 44",4040354811,194,8zz5lnxo7twq8ntb7e0qfvbv9,4040354815,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040354807,130,12,4040354801,30,"btyk45f7gmz3ck2dafpp22yg9, dbtjmpfrscwqv0xvqk3krqa5l, 4pbx40gvdmacim2n0k2qt41cl, 3bhmh2ks5ma4rqda9zff6w251, c4brcsqfli5mds4vhma627yl1, 7hi9yit8aifyojt7i0kg69as5, 72xzl0yjdetvqp2n1pmzyqvze, 5ecklu1u6t21rhh8fh4zoq2cq, dqazrm2wmu9zqpvp8xbeeb7jd, 87d73x3gkomc4soukr5uweqc5, 8zz5lnxo7twq8ntb7e0qfvbv9, aspoedbe2vkfbqaz67fc2ftg5, bz77hr28a1yskifpuvzu8smsq, 14xb29tv90y8uataijmh03rah, 4gnprufs4yyf7wq9mzmkmf622, 6n1rvd0axpp159h9wkkd7lwfe, 27rm84dcrfa7ypfmpgbe37cic, e2nb1takpw6q7f6txp8xbfkk5",4040354809,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4040354813,197,9121,4040354803,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509262541,1,34,16,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-02-18T16:12:16.160Z,2023-02-18T17:17:01Z,4040355195,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4040355203,194,99eumu17h5sxriw5vfczvdb6d,4040355199,130,13,4040355197,59,"28, 26, 18, 4, 88, 2, 16, 8, 9, 34, 68, 1, 7, 27, 33, 77, 80, 90",4040355209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040355201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4040355207,197,8908,4040355193,30,"99eumu17h5sxriw5vfczvdb6d, 17x4fqsde2cdp2s9q5odmkr8p, 2rn8mnhlrtrbm6du97f54zckq, c8ikdrxdufewp5jzds3s24xjp, 7y7wrtvktvxfki86p41ptoell, ew1thxs8j5mwwqh075kzsjq0a, 3s0tyude1pghox634ij87srft, 92ajo8iiqwlmjwndtf7yt6l05, b3y2ov2ju75fr5u5e2rerj1ex, 58qrdtv5emnvcojqkmnpx5ffu, 65js4yds9vyg0iyck8xh10frp, d0itp0eyxewvnm2shm0manw7p, 3m13ipluel0m6cotha7n7vrop, czsmg1hjqbmzhz8x91y3b0yc5, 2hj88r72bbwnhqx12tv13jmqx, 9m3bkbdedtddfeix57rj2f7c9, b81lneik0objvk15uf6m4cewa, 3are60mt98ibeazgcyjvuy7tg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509362831,2,32,1,0,0,920raeoumft3q2wmvc296uceo,1,0,0,2023-02-18T17:16:16.444Z,2023-02-18T17:16:16Z,4040895957,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509362837,2,32,1,0,0,2b57rbw94i9ohnbch52owvqtq,1,0,0,2023-02-18T17:16:16.444Z,2023-02-19T02:11:51Z,4040895977,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509362865,3,1,1,0,0,920raeoumft3q2wmvc296uceo,1,50,50,2023-02-18T17:16:16.474Z,2023-02-19T05:19:02Z,4040896095,141,50.4,4040896091,56,Back,4040896099,213,3.1,4040896097,212,14.2,4040896093,140,36.5,4042663313,178,,4040896101,279,S,,,,dqazrm2wmu9zqpvp8xbeeb7jd,V. Bayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509362875,4,1,1,0,1,920raeoumft3q2wmvc296uceo,1,40.9,50.6,2023-02-18T17:16:18.166Z,2023-02-19T09:34:32Z,4040896161,141,71.5,4042663363,178,,4040896165,213,1.6,4040896163,212,14.2,4040896159,140,40.0,4040896157,56,Back,,,,,,,8zz5lnxo7twq8ntb7e0qfvbv9,M. Ilaimaharitra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509362893,5,1,1,0,3,920raeoumft3q2wmvc296uceo,1,41.7,75.7,2023-02-18T17:16:20.205Z,2023-02-19T09:34:31Z,4040896267,141,69.0,4042663423,178,,4040896269,212,5.7,4040896265,140,44.9,4040896271,213,5.3,4040896263,56,Back,,,,,,,5ecklu1u6t21rhh8fh4zoq2cq,A. Zorgane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509362911,6,1,1,0,4,920raeoumft3q2wmvc296uceo,1,48.6,77.4,2023-02-18T17:16:20.822Z,2023-02-19T09:34:30Z,4040896375,213,2.5,4040896371,141,95.0,4042663511,178,,4040896367,56,Back,4040896373,212,20.1,4040896369,140,33.2,,,,,,,87d73x3gkomc4soukr5uweqc5,I. Mbenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509362921,7,1,1,0,6,920raeoumft3q2wmvc296uceo,0,35,96.1,2023-02-18T17:16:22.914Z,2023-02-19T09:34:30Z,4040896457,1,,4040896451,141,83.2,4040896455,213,6.0,4040896445,155,,4042663613,178,,4040896453,212,33.8,4040896447,56,Left,4040896449,140,66.1,3bhmh2ks5ma4rqda9zff6w251,S. Knežević,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509362937,3,1,1,0,9,2b57rbw94i9ohnbch52owvqtq,0,31.9,13.8,2023-02-18T17:16:26.117Z,2023-02-19T09:34:29Z,4040896557,140,52.8,4040896559,141,22.8,4040896555,56,Center,4040896563,213,0.3,4042745233,388,,4040896553,3,,4040896561,212,22.8,,,,7y7wrtvktvxfki86p41ptoell,M. Rodin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
