id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/9/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/15/value,qualifier/18/value
2504578791,1,34,16,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-02-05T16:33:33.509Z,2023-02-06T12:09:51Z,4015688971,30,"jflu7a5n4f3ezoj20z0kje5m, 3yb66hal4fvr04bawz0y3efhl, d1rgv9cgncdgr1h61phrxoc89, ama1ibpjcfu206icrfmkgfavp, 68vmg4qgr11vppc48hs8402jt, 5enjhxrx2jrjqtgb9wwq0baax, 1b6ab1mqzvhk547p0bdzbccfd, a8k3ubqsi0duc3g4u5jnvcoa1, 5qpyf80if6m1o5vkwf1yt034l, 7jpasvui43tnyao6ijyuuyuqc, 9pvc7e65cfgtuipfen5zt463t, cma24hkdklib8007a42cso38q, 14w9q2mu6yq235ic55fxs0w2y, 19htxtc8lmbfsv83py7hzqb8q, 1e7snjsrbh93xt5ti1oyuqxka, 7zmgaactx19n77j9fl08pahyi, c8m4ox6n1v89qbbjq73s5ezmx, boehs62sf23wlas5wb4l5s2y",4015688985,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015688977,130,8,4015688983,197,3012,4015688981,194,a8k3ubqsi0duc3g4u5jnvcoa1,4015688975,59,"26, 23, 5, 17, 46, 2, 28, 8, 7, 34, 11, 4, 10, 14, 19, 40, 77, 99",4015688973,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4015688979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504580997,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-02-05T16:36:01.167Z,2023-02-05T17:41:30Z,4015700291,30,"6q53ei01tbb5kxjr1mhfjysph, bhh6z1ezmsngsu3isbsur2mp6, 7dayrhr0c60zbc1b6lig8pm8l, fs5utga62tud5s06xj27qdat, etos5xv3v2ptiktdk5yuhrjkl, ettrapmxg36vw2egivejegzc9, 99tf4co0pm09ayca13ma3lql1, 8fs5klbsyx06c5ds9s1i3xu96, 1khy4w78z012p8z20gcp0nrvt, 2igz499o21aihmkugktp3nyms, 18pgjfpl9s8qy32mblzygsyc5, dgwhg6g9oys6as69cqcgyi9xx, 7dnxkce4kn8qchaavv6e4tm21, 2cc5y9hjnc8nqrh58ojz6ajth, 4m2ku4thm7b7gugl67g73u4q2, b9wew8z92aj36vvxfj3q7kxcl, eyvf8uu7jltbzalaov3qt1w5, be0ws51ws5cm9wzmcp3ozmklx",4015700305,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015700303,197,3312,4015700297,130,12,4015700295,59,"1, 4, 14, 23, 5, 2, 13, 7, 11, 19, 24, 9, 10, 22, 26, 29, 31, 33",4015700301,194,18pgjfpl9s8qy32mblzygsyc5,4015700293,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4015700299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619993,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-02-05T17:32:06.179Z,2023-02-06T03:46:02Z,4015906085,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504619999,2,32,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,0,0,2023-02-05T17:32:06.179Z,2023-02-05T17:32:08Z,4015906127,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620021,3,1,1,0,0,89xivtxk59uzvhdsd6miao6tm,1,49.9,50.1,2023-02-05T17:32:06.194Z,2023-02-06T06:03:15Z,4015906239,279,S,4015906233,141,47.0,4015906229,56,Back,4015906235,212,13.9,4016943153,178,,4015906237,213,3.3,4015906231,140,36.8,,,,7jpasvui43tnyao6ijyuuyuqc,B. El Khannouss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620061,4,1,1,0,2,89xivtxk59uzvhdsd6miao6tm,1,37.9,50.6,2023-02-05T17:32:08.351Z,2023-02-06T13:18:28Z,4015906443,213,4.8,4015906437,140,38.9,4016943185,178,,4015906441,212,25.9,4015906435,56,Back,4015906439,141,12.6,,,,,,,ama1ibpjcfu206icrfmkgfavp,P. Hrošovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620085,5,1,1,0,5,89xivtxk59uzvhdsd6miao6tm,1,41.9,16.1,2023-02-05T17:32:11.617Z,2023-02-06T13:18:27Z,4015906581,213,1.4,4016943211,178,,4015906579,212,7.0,4015906575,140,43.0,4015906573,56,Back,4015906577,141,26.2,,,,,,,3yb66hal4fvr04bawz0y3efhl,D. Muñoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620089,6,1,1,0,6,89xivtxk59uzvhdsd6miao6tm,0,43.4,26.5,2023-02-05T17:32:12.701Z,2023-02-06T13:18:26Z,4015906611,140,56.5,4015906617,213,5.6,4015906609,56,Right,4016943277,178,,4015906607,155,,4015906613,141,11.3,4015906615,212,17.2,,,,ama1ibpjcfu206icrfmkgfavp,P. Hrošovský,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620111,3,1,1,0,8,8y3iucyxguipljcmf87a11bk9,0,38.6,92.6,2023-02-05T17:32:14.604Z,2023-02-06T13:18:26Z,4015906777,212,8.3,4015906769,3,,4015906771,56,Back,4015906773,140,44.1,4015906775,141,100.0,4016943381,178,,4015906779,213,0.8,,,,fs5utga62tud5s06xj27qdat,J. Torunarigha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504620113,4,5,1,0,10,8y3iucyxguipljcmf87a11bk9,0,43.8,101.4,2023-02-05T17:32:16.639Z,2023-02-06T06:03:38Z,4015906785,347,,4015907093,233,7,4015906781,56,Back,,,,,,,,,,,,,,,,fs5utga62tud5s06xj27qdat,J. Torunarigha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
