id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2499848579,1,34,16,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-01-22T19:10:27.227Z,2023-01-22T19:59:50Z,3990983433,130,18,3990983435,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3990983429,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3990983437,197,12101,3990983439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990983431,59,"21, 4, 7, 20, 26, 22, 27, 14, 13, 30, 8, 10, 11, 12, 16, 19, 32, 77",3990983427,30,"5q4wztjkk6nuwapm7qgey9w45, e5oet393vired282yco4i7gfd, bk9fq3chnhmw3u36qz5vf1vjd, 12lkxylg8puzxow8ewpsd0b11, 5a2sf4o445ei5pqiinvmjmpcl, 9qafk5ke1yzqggkcmf1zqevp, 9rwn5wckqcb5inw1dhhmpj1t5, cqpgxrqear6p6pz3p8r3xvh90, bc5vmdnoyshdi5hcgu8dgqxyi, 4rwvkp9xlyv314ceglbauou6t, b24ytr3apnyp7z17c124tu1yi, 77487qauk9fkzlesgze21odsl, 3i85rbmn6qd5x4y29hk78rmy1, 3hbsrnnpcsjiocm57mcsf36xh, esvfsx8gxqw8h0codqz5xmnmc, 7n75ohdnbi436je81n5f8f9m2, 3lpt3fz7lrqy243ftejcmluz8, eakj3xa0pa88pajbvasbwqwdm",3991072833,194,5a2sf4o445ei5pqiinvmjmpcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499848883,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-01-22T19:10:58.664Z,2023-01-22T20:29:18Z,3990985173,30,"6q53ei01tbb5kxjr1mhfjysph, bhh6z1ezmsngsu3isbsur2mp6, fs5utga62tud5s06xj27qdat, 8fs5klbsyx06c5ds9s1i3xu96, ettrapmxg36vw2egivejegzc9, etos5xv3v2ptiktdk5yuhrjkl, 99tf4co0pm09ayca13ma3lql1, 18pgjfpl9s8qy32mblzygsyc5, 1khy4w78z012p8z20gcp0nrvt, 1d2fpmtdglpqwyhnc657n77it, cxa3j4u8eh5w947p1iba47yfo, dgwhg6g9oys6as69cqcgyi9xx, 7dnxkce4kn8qchaavv6e4tm21, 7dayrhr0c60zbc1b6lig8pm8l, 2igz499o21aihmkugktp3nyms, 2cc5y9hjnc8nqrh58ojz6ajth, b9wew8z92aj36vvxfj3q7kxcl, be0ws51ws5cm9wzmcp3ozmklx",3990985179,130,4,3990985181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3990985183,194,18pgjfpl9s8qy32mblzygsyc5,3990985187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3990985175,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3990985185,197,3190,3990985177,59,"1, 4, 23, 7, 2, 5, 13, 24, 11, 17, 16, 9, 10, 14, 19, 22, 29, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864875,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-01-22T20:01:41.681Z,2023-01-22T20:01:44Z,3991077065,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864871,2,32,1,0,0,2989v3kho9h5jaboe1nr7lx21,1,0,0,2023-01-22T20:01:41.681Z,2023-01-23T04:47:04Z,3991077061,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864879,3,1,1,0,0,8y3iucyxguipljcmf87a11bk9,1,50.1,49.7,2023-01-22T20:01:41.706Z,2023-01-23T04:49:41Z,3991077087,140,36.2,3991077085,56,Back,3991077091,212,14.6,3991568057,178,,3991077095,279,S,3991077089,141,50.3,3991077093,213,3.1,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864891,4,1,1,0,1,8y3iucyxguipljcmf87a11bk9,1,40,52.3,2023-01-22T20:01:43.631Z,2023-01-23T09:58:16Z,3991077151,56,Back,3991077159,213,1.8,3991568095,178,,3991077153,140,34.1,3991077157,212,25.4,3991077155,141,88.6,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864901,5,1,1,0,4,8y3iucyxguipljcmf87a11bk9,1,35.8,85.3,2023-01-22T20:01:46.270Z,2023-01-23T09:58:15Z,3991077213,212,36.7,3991077215,213,4.5,3991077209,140,27.2,3991077217,1,,3991568107,178,,3991077211,141,33.0,3991077207,56,Back,,,,fs5utga62tud5s06xj27qdat,J. Torunarigha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864911,6,1,1,0,7,8y3iucyxguipljcmf87a11bk9,1,26.1,43.5,2023-01-22T20:01:49.424Z,2023-01-23T09:58:14Z,3991077263,56,Back,3991568141,178,,3991077265,140,34.3,3991077267,141,7.1,3991077269,212,26.2,3991077271,213,5.0,,,,,,,ettrapmxg36vw2egivejegzc9,J. Okumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864919,7,1,1,0,12,8y3iucyxguipljcmf87a11bk9,1,39.9,15.2,2023-01-22T20:01:53.762Z,2023-01-23T09:58:12Z,3991077327,140,28.4,3991077331,212,14.6,3991568165,178,,3991077325,56,Back,3991077333,213,2.5,3991077329,141,27.3,,,,,,,bhh6z1ezmsngsu3isbsur2mp6,K. Piątkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499864935,8,1,1,0,14,8y3iucyxguipljcmf87a11bk9,1,30.6,27.4,2023-01-22T20:01:55.946Z,2023-01-23T09:58:11Z,3991077419,141,92.3,3991568203,178,,3991077421,212,44.4,3991077425,1,,3991077413,56,Back,3991077409,196,,3991077423,213,1.7,3991077417,140,26.3,ettrapmxg36vw2egivejegzc9,J. Okumu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
