id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/13/value,qualifier/15/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2478347185,3,12,1,0,9,89xivtxk59uzvhdsd6miao6tm,1,18.8,94,2022-10-28T18:55:35.547Z,2022-10-29T09:06:03Z,3878265193,178,,3877680265,140,22.9,3877680269,212,6.7,3877680271,213,0.9,3877679785,56,Back,3877680263,167,,3877680267,141,100.0,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347193,4,5,1,0,11,89xivtxk59uzvhdsd6miao6tm,0,22.2,101.4,2022-10-28T18:55:37.737Z,2022-10-29T05:16:29Z,3877679909,233,9,3877679827,56,Back,3877679829,347,,,,,,,,,,,,,,,,,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347203,9,5,1,0,11,b7jmo07lqav0wfe2mtlzyspak,1,77.8,-1.4,2022-10-28T18:55:37.737Z,2022-10-29T05:16:28Z,3877679893,56,Right,3877679901,233,4,3877679895,347,,,,,,,,,,,,,,,,,3nr55odndzunwlb658bsnlwx5,J. Ngoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347205,10,1,1,0,12,b7jmo07lqav0wfe2mtlzyspak,1,78.5,0,2022-10-28T18:55:38.255Z,2022-10-29T09:06:03Z,3877679915,56,Right,3877679919,141,13.1,3877679921,212,12.1,3877679923,213,2.2,3877679917,140,71.4,3877679913,107,,,,,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347209,11,1,1,0,13,b7jmo07lqav0wfe2mtlzyspak,1,65.1,5.3,2022-10-28T18:55:39.150Z,2022-10-29T09:06:02Z,3877679947,213,6.2,3877679943,141,4.0,3878265501,178,,3877679939,56,Right,3877679941,140,74.4,3877679945,212,9.8,,,,,,,b6hva6wki38za3hipscirr4h6,J. Van Hecke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347229,12,1,1,0,14,b7jmo07lqav0wfe2mtlzyspak,1,74.5,0.1,2022-10-28T18:55:40.032Z,2022-10-29T09:06:02Z,3877680037,212,28.3,3877680033,140,47.9,3877680039,213,3.0,3878265581,178,,3877680031,56,Back,3877680035,141,6.5,,,,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478456627,982,43,1,0,16,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2022-10-28T18:55:42.438Z,2022-10-29T05:42:34Z,3878289121,178,0,3878289179,144,82,,,,,,,,,,,,,,,,,,,4kuxth5k98x4cgfrfweu1u51,S. Walsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347241,13,1,1,0,16,b7jmo07lqav0wfe2mtlzyspak,1,52.4,3.6,2022-10-28T18:55:42.512Z,2022-10-29T09:06:01Z,3877680089,140,20.8,3878265649,178,,3877680093,212,39.9,3877680097,1,,3877680091,141,36.3,3877680095,213,2.6,3877680087,56,Back,,,,b6hva6wki38za3hipscirr4h6,J. Van Hecke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347275,14,1,1,0,20,b7jmo07lqav0wfe2mtlzyspak,1,19.9,27.8,2022-10-28T18:55:46.473Z,2022-10-29T09:06:00Z,3877680255,213,6.1,3877680251,141,24.0,3877680249,140,33.7,3877680247,56,Back,3877680253,212,14.7,3878265697,178,,,,,,,,1psqmd0h77b385bljq2emftgp,G. Coucke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478347309,15,1,1,0,24,b7jmo07lqav0wfe2mtlzyspak,1,37,4.3,2022-10-28T18:55:50.529Z,2022-10-29T09:05:59Z,3877680417,56,Back,3877680423,212,14.8,3877680425,213,0.8,3877680421,141,20.4,3877680419,140,46.5,3878265733,178,,,,,,,,92x3r5pxmvkgaxups0gdrvq39,T. Peyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
