id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/17/value
2461918765,1,34,16,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-09-18T13:10:27.036Z,2022-09-18T13:23:39Z,3790396565,194,6xam5bquregefbepxd9rwfdh,3790396557,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3790396569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790396563,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3790396559,59,"49, 19, 94, 44, 16, 26, 20, 10, 7, 11, 4, 3, 6, 21, 23, 29, 59, 85",3790396567,197,8159,3790396561,130,12,3790396555,30,"a8kdcx3797ityilpw31jaj4r9, ths196pehnfyf4f4scmqj8ph, e44w6g1c1ojf854svzswpl0x5, 1i1xcco82x0ppbac6j5z59x49, 5w0ohhrm0ojscyjh3e0o8ffmd, f0ean6buvvp9l4rh1ayvnnill, 39tod1iad3ztq17qveh8pwp9l, 6xam5bquregefbepxd9rwfdh, a6cke0ad2pvuyahweuch772ay, ai5p5wgft6c09bjbldz9sfeac, dhpxeejqzlhnm1vu0f8xjzw7p, iexm93yyblnrtx8d6rqqrdux, 7a6hqi5iy91onh9u7l7t88tbe, 1a9u2g4hynrz2e93sz1evhpzp, di9k6xr6j4arjoltl7s9yp6cq, 15odj8wui8136996wi2d5t7md, 7bwjxz6bwt7h070dbv1l8woyy, 2fbq6ac2mma2tyjc2kqrpfms4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461919047,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-09-18T13:10:39Z,2022-09-18T13:57:40Z,3790397985,59,"1, 2, 29, 3, 35, 28, 24, 15, 7, 9, 8, 4, 10, 17, 22, 23, 25, 33",3790397991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3790397997,197,4954,3790397977,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, dxnhp97vrepkx0kcr0d46yb1m, 2xletuhhaxmfqbjbgq4ehpyol, c1grrjf29wtfgbni2qkydf9ey, 8qa4s74yhn2u9n5tm4mfi934k, 6s5hiok2ywsv4kfxfql8iorth, ditnpqgspoih5ich7c5vn44fe, 1ekfu3u2d9vh73lw2dzdcr1wq, codwa9jioox7i007f4iazwst1, eiqmp3nbc50r40bl86u2sj55h, 87aix2c3m5x08nsurhjql51p1, 1fu9y7gemoii89ejj7bkex78p, 77fldfqlxps1xbdg29anv4vai, a67xx4g0dvxgvnqn86taup9ii, 7abgw25wb5amn0uq347d4x61h, 6pmuxgyfaqn2h0x69o5l1mq22, 50iwwx11r99cvce6x8cp52c16",3790397995,194,eiqmp3nbc50r40bl86u2sj55h,3790397983,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3790397999,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790397987,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461972443,2,32,1,0,0,ecj1gmc7pqcjo4sc9hvghj5u3,1,0,0,2022-09-18T14:00:08.442Z,2022-09-18T14:00:10Z,3790679293,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461972439,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-09-18T14:00:08.442Z,2022-09-19T03:15:41Z,3790679285,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461972467,3,1,1,0,0,9njsy633rh1tyri7l2jaju5o,1,50,50,2022-09-18T14:00:08.462Z,2022-09-19T04:56:06Z,3790679451,140,43.8,3790679457,213,3.2,3790679453,141,49.7,3790679459,279,S,3793215935,178,,3790679449,56,Back,3790679455,212,6.5,,,,codwa9jioox7i007f4iazwst1,S. Prevljak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461972493,4,1,1,0,3,9njsy633rh1tyri7l2jaju5o,1,50.2,59.6,2022-09-18T14:00:12.173Z,2022-09-19T10:13:15Z,3790679583,212,20.6,3793216911,178,,3790679579,140,42.5,3790679581,141,87.5,3790679585,213,2.0,3790679577,56,Back,,,,,,,6s5hiok2ywsv4kfxfql8iorth,M. Wakaso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461972505,5,1,1,0,6,9njsy633rh1tyri7l2jaju5o,0,48.5,84.7,2022-09-18T14:00:15.136Z,2022-09-19T10:13:14Z,3793216943,178,,3790679653,140,67.7,3790679657,212,20.7,3790679651,56,Center,3790679655,141,78.1,3790679659,213,6.1,3790679649,155,,,,,2xletuhhaxmfqbjbgq4ehpyol,J. Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461972517,3,1,1,0,7,ecj1gmc7pqcjo4sc9hvghj5u3,0,35.2,22,2022-09-18T14:00:16.194Z,2022-09-19T10:13:13Z,3790679715,212,3.2,3790679705,56,Back,3790679713,141,26.7,3793216995,178,,3790679709,140,35.1,3790679717,213,1.6,,,,,,,39tod1iad3ztq17qveh8pwp9l,S. Lynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462038797,398,81,1,0,7,ecj1gmc7pqcjo4sc9hvghj5u3,0,35.7,25.6,2022-09-18T14:00:16.423Z,2022-09-19T04:57:30Z,3791037589,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461972537,4,49,1,0,9,ecj1gmc7pqcjo4sc9hvghj5u3,1,32.4,28.8,2022-09-18T14:00:18.058Z,2022-09-19T10:13:13Z,,,,,,,,,,,,,,,,,,,,,,,,,39tod1iad3ztq17qveh8pwp9l,S. Lynen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
