id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2498202911,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-01-17T18:35:35.039Z,2023-01-17T19:51:11Z,3982316925,197,16111,3982316913,30,"bxcwnf87pf8ijzbxy70ewcfe1, eg2u042cthz9undb4xz0pu8rt, 504qkt70jvof5yzffmwwo5c5x, corn6i066rh7c7veva0sm3oid, 76y4awqbdef5yxiovt27i57th, 48f3zlksc3r230qb78c5emnyt, cllq8xizuqut48xxqc3btz97u, 3z1lfdoy92bq8airglbhx32tw, d6r3vkalhudms84f6fs415wid, 6a0e28nxlyyw7ghe4wzumlzh1, 69ivqkcipxp15b7x5jl83ud49, ajcblksnh113es9hzt7l5k8h5, 187wxh3jjn8hqbu7fyw7wullh, 2bz8ey1mxuv6uo8duu7if6k4q, 464o8uslv6z2fdm269j97gt4a, bxudrqx99a3zv5gajdzxz38id, bci3k14ed9oqcchpmtq37rnx1, eq5hfgqm32c7qmj6xwp7j9iqc",3982316927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3982316915,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3982316919,130,12,3982316923,194,48f3zlksc3r230qb78c5emnyt,3982316921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3982316917,59,"16, 13, 38, 34, 20, 6, 22, 61, 77, 28, 14, 7, 8, 10, 17, 21, 30, 51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498205313,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-17T18:48:52.796Z,2023-01-17T19:51:13Z,3982329703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3982329701,130,4,3982329705,194,25ey2mcvgwz6ls2612os5hzv9,3982329709,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3982392745,197,13826,3982329697,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3982329699,59,"1, 5, 18, 66, 27, 14, 6, 16, 22, 7, 11, 10, 15, 19, 20, 28, 34, 35",3982329695,30,"1psqmd0h77b385bljq2emftgp, 4kuxth5k98x4cgfrfweu1u51, mlqit2c8my1ewqy6avrfhf8q, ezg4lhvy2z4pkyvfrmi17y11x, btz2lf5s3h6svre1o5jgmvf85, cne8uwbnrwbwqjpj3pme1kbmx, b6hva6wki38za3hipscirr4h6, 25ey2mcvgwz6ls2612os5hzv9, 1df9uegp2hsbc4813no3mdvx1, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, evktllmp3l6mfb6o4im0ag0ve, calut2wcnvfps97uj7dartf4l, 3q5uylbjjiaoj3mn2l7p93jyt, 5gzobg231vp6fnjrrh6k49qz9, 5egzwt11xlx1vz5dk9yu29q1g, 9ov7tj31hixo7xp0tfffuhpn8, bihng5zkoeutve0fpxrwo5yj8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498216987,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-01-17T19:45:27.479Z,2023-01-18T07:36:05Z,3982393585,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498216993,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-01-17T19:45:27.479Z,2023-01-17T19:45:29Z,3982393593,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498216999,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,50.1,49.9,2023-01-17T19:45:27.582Z,2023-01-18T08:16:12Z,3982393611,212,21.2,3982393613,213,3.5,3982871735,178,,3982393615,279,S,3982393607,140,31.4,3982393609,141,38.0,3982393605,56,Back,,,,cllq8xizuqut48xxqc3btz97u,W. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498217057,4,1,1,0,2,5z1b7fuvpqe6vnigvopomvecu,1,34.9,39,2023-01-17T19:45:30.338Z,2023-01-18T12:07:07Z,3982393869,155,,3982393881,1,,3982393877,212,45.8,3982393875,141,71.8,3982393879,213,0.5,3982393873,140,73.0,3982393871,56,Center,3982871825,178,,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498261225,765,61,1,0,5,5z1b7fuvpqe6vnigvopomvecu,0,76.4,70.5,2023-01-17T19:45:33.215Z,2023-01-18T12:07:07Z,3982872037,388,,3982872033,21,,3982623287,56,Center,,,,,,,,,,,,,,,,6a0e28nxlyyw7ghe4wzumlzh1,S. Perica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498217043,3,4,1,0,5,b7jmo07lqav0wfe2mtlzyspak,1,23.3,30.6,2023-01-17T19:45:33.391Z,2023-01-18T12:07:07Z,3982393923,233,5,3982393827,152,,3982393829,285,,3982393825,56,Back,3982393823,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498217059,5,4,1,0,5,5z1b7fuvpqe6vnigvopomvecu,0,76.7,69.4,2023-01-17T19:45:33.392Z,2023-01-18T12:07:06Z,3982393927,233,3,3982393893,286,,3982873267,388,,3982393891,152,,3982393887,10,,3982393889,56,Center,,,,,,,6a0e28nxlyyw7ghe4wzumlzh1,S. Perica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498217133,4,1,1,0,28,b7jmo07lqav0wfe2mtlzyspak,1,19,3.8,2023-01-17T19:45:55.808Z,2023-01-18T12:07:06Z,3982394275,5,,3982394279,56,Back,3982394277,152,,3982394283,141,40.8,3982394281,140,9.0,3982873499,178,,3982394285,212,27.3,3982394287,213,2.0,btz2lf5s3h6svre1o5jgmvf85,D. Bates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
