id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2449382501,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-08-21T15:43:54.621Z,2022-08-21T16:32:34Z,3723664987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3723664983,59,"16, 11, 38, 34, 6, 20, 26, 22, 9, 7, 8, 2, 3, 15, 18, 23, 30, 61",3723664985,130,12,3723664981,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3723664979,30,"bxcwnf87pf8ijzbxy70ewcfe1, 93hp5gm29ke90ugdimd9xf949, 504qkt70jvof5yzffmwwo5c5x, corn6i066rh7c7veva0sm3oid, 48f3zlksc3r230qb78c5emnyt, 76y4awqbdef5yxiovt27i57th, rmruexgp6l6ar57aq8xffg4q, cllq8xizuqut48xxqc3btz97u, 8bh749b5p635490hik1pj40yd, ajcblksnh113es9hzt7l5k8h5, 187wxh3jjn8hqbu7fyw7wullh, ai0yljs83kdpaa6r7ri0048np, a5jrqzijth7e3uxl4phi83sdm, 2gpt4ph0jpaaj49fnnmpdc1qt, a1ibpks3t6lelvch5kn6u6nyt, 8z9b1qk5hyi2t8qhr3avjelbe, bci3k14ed9oqcchpmtq37rnx1, 3z1lfdoy92bq8airglbhx32tw",3723664993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3723664989,194,48f3zlksc3r230qb78c5emnyt,3723664991,197,16111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449385965,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-08-21T15:48:21.284Z,2022-08-21T16:37:30Z,3723682839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3723682833,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3723682835,59,"12, 25, 20, 4, 28, 14, 11, 24, 43, 33, 7, 5, 6, 10, 15, 21, 29, 77",3723682831,30,"49vbniwasp2kyt27jw0cv6m6t, dmk8usvqtzv60bwkoxk7kfqxg, 9fvwcsajeousbo5o0e84cj2sp, 91qd93lqgpe700ps0b6a7ntn9, 1abf0y93zbw1sw183nblqoicp, 4juerzftkeiuzctoiei6dmtp1, a8pgjuz5yrbxyf1t905gj327d, 73z9v9oz73hlmnswrzp860yj9, 58b30n3a3qc1s5tpfn8er7tw4, f3e9qk9oz4feldhgetdpcd0ph, 1kst4u41rlyirggwoo1m8ovdh, cni0rxu9fo9lfqqhggmqrdvpx, dvomh2gx3wd5x5v1dmlnkdpzp, d1j29sgb7rmc6dxe3koyyr0et, 91sex5ir1pp4b2beotoua7mqx, atkoaobhylui34grbharm41xx, 6u73l7tuxx0958ij9kvdizjrp, 73pmo92alzawlt2yo2bfartn9",3723682843,197,8055,3723682845,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3723682841,194,f3e9qk9oz4feldhgetdpcd0ph,3723682837,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449413627,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-08-21T16:30:12.993Z,2022-08-21T16:30:13Z,3723832773,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449413635,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2022-08-21T16:30:12.993Z,2022-08-22T04:29:59Z,3723832807,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449413641,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,50.1,49.5,2022-08-21T16:30:13.063Z,2022-08-22T04:49:01Z,3723832829,141,41.7,3723832825,56,Back,3723832831,212,20.9,3723832835,279,S,3723832833,213,3.4,3723832827,140,30.8,3725686455,178,,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449413697,4,1,1,0,2,5z1b7fuvpqe6vnigvopomvecu,0,32.4,49,2022-08-21T16:30:15.673Z,2022-08-22T09:53:27Z,3723833169,56,Center,3723833177,213,0.4,3723833179,1,,3723833171,140,72.6,3723833167,155,,3723833175,212,45.2,3725686501,178,,3723833173,141,72.7,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449413709,3,44,1,0,5,bw9wm8pqfzcchumhiwdt2w15c,1,25.9,21,2022-08-21T16:30:18.759Z,2022-08-22T09:53:27Z,3723833215,285,,3723833213,56,Back,3723833233,233,5,,,,,,,,,,,,,,,,dmk8usvqtzv60bwkoxk7kfqxg,L. Patris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449413703,5,44,1,0,5,5z1b7fuvpqe6vnigvopomvecu,0,74.1,79,2022-08-21T16:30:18.760Z,2022-08-22T09:53:26Z,3723833199,286,,3723833269,233,3,3723833197,56,Left,,,,,,,,,,,,,,,,8bh749b5p635490hik1pj40yd,R. Emond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449413715,4,1,1,0,5,bw9wm8pqfzcchumhiwdt2w15c,0,25.5,19.4,2022-08-21T16:30:18.835Z,2022-08-22T09:53:26Z,3723833249,141,27.4,3723833245,56,Back,3723833243,3,,3725686709,388,,3723833251,212,14.3,3723833247,140,38.1,3723833253,213,0.4,,,,dmk8usvqtzv60bwkoxk7kfqxg,L. Patris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449413757,6,1,1,0,7,5z1b7fuvpqe6vnigvopomvecu,1,66.1,65.3,2022-08-21T16:30:20.843Z,2022-08-22T09:53:25Z,3723833457,141,63.9,3723833459,212,7.9,3723833451,3,,3725686831,178,,3723833461,213,6.2,3723833453,56,Center,3723833455,140,73.6,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
