id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId
2526645345,1,34,16,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-04-01T15:21:39.949Z,2023-04-01T16:37:53Z,4153113433,30,"6q53ei01tbb5kxjr1mhfjysph, 7s4ws0u4erq1jfobqpsj0aoes, 2igz499o21aihmkugktp3nyms, fs5utga62tud5s06xj27qdat, ettrapmxg36vw2egivejegzc9, 7dayrhr0c60zbc1b6lig8pm8l, 99tf4co0pm09ayca13ma3lql1, 18pgjfpl9s8qy32mblzygsyc5, adrn1x15rsehvnava8q9ofuvo, 1khy4w78z012p8z20gcp0nrvt, 9hiut57u02lly1nfdixef8bth, 8fs5klbsyx06c5ds9s1i3xu96, 7dnxkce4kn8qchaavv6e4tm21, a7l66mrnkuduvqw9y6z61j4es, be0ws51ws5cm9wzmcp3ozmklx, 87ccrt89k5abyjisix22g08ut, 8g1g0ssh8m3lvxjuquov5nk0k, dhzcbj9dagfnlmsyccl6h43ys",4153113439,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4153113449,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4153113441,59,"1, 18, 19, 23, 2, 14, 13, 24, 20, 11, 8, 7, 10, 15, 33, 34, 38, 39",4153113443,130,12,4153113455,194,9hiut57u02lly1nfdixef8bth,4153113481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153113467,197,3312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526673461,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-04-01T15:36:10.024Z,2023-04-01T15:36:10Z,4153266165,130,17,4153266161,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4153266163,59,"30, 21, 18, 99, 23, 4, 27, 28, 10, 7, 8, 2, 5, 6, 15, 16, 29, 40",4153266169,194,1acbm9228tfggjx7htxjtcvrp,4153266167,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4153266173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4153266159,30,"7nlpu8ocv423vqaooks0hifze, 9bnvh1i6mu45yvkz257c0x1at, 187qa5icsve3oak3t90r6rhsl, a52575bcqr3acuweauiyzsb56, 1acbm9228tfggjx7htxjtcvrp, 6iu350lkyhy6tcll5gfo4vy3u, 6cztmz0yq3ifdkkz4hpe47krt, 89m2i076rpwreyl8h1o9kc6xg, 8058605f3gip7nglewe7svqzu, 7ruin2kz9zjzba57tdbec7n4l, e2ej1v66tqjgtpzdhjw7bghqt, af8gj4w5eg8rdl4iq7fi8aa96, apusqhva0hdbf7zqb3twgeoa2, 4e5jvz1t60a2l67c5a9r2qne, 7sxsul4lzfxl1nzca1nq715re, 3j1vhujla834m422svmrdh3pw, 6h8nr55ieqsaiscoxje2ihmhg, 5oa6glaxweluggb6odyxb4uz9",4153266171,197,8175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526725771,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-04-01T16:15:07.302Z,2023-04-02T00:06:42Z,4153549857,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526725763,2,32,1,0,0,8y3iucyxguipljcmf87a11bk9,1,0,0,2023-04-01T16:15:07.302Z,2023-04-01T16:15:07Z,4153549837,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526725795,3,1,1,0,0,8y3iucyxguipljcmf87a11bk9,1,50,50,2023-04-01T16:15:07.312Z,2023-04-02T05:52:40Z,4153549957,140,37.3,4153549963,141,59.9,4153549953,56,Back,4153549971,213,2.7,4153549975,279,S,4156191089,178,,4153549967,212,14.9,,,,1khy4w78z012p8z20gcp0nrvt,H. Cuypers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526725813,4,1,1,0,2,8y3iucyxguipljcmf87a11bk9,1,38.2,59.8,2023-04-01T16:15:09.448Z,2023-04-02T11:47:34Z,4153550087,141,85.6,4156191161,178,,4153550089,212,17.9,4153550083,56,Back,4153550091,213,1.4,4153550085,140,41.6,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526725829,5,1,1,0,4,8y3iucyxguipljcmf87a11bk9,1,45.1,95.9,2023-04-01T16:15:12.243Z,2023-04-02T11:47:33Z,4153550177,213,4.6,4156191203,178,,4153550167,56,Back,4153550175,212,17.5,4153550171,140,43.8,4153550173,141,70.2,,,,,,,2igz499o21aihmkugktp3nyms,M. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526725919,6,1,1,0,6,8y3iucyxguipljcmf87a11bk9,1,46.5,78.5,2023-04-01T16:15:14.083Z,2023-04-02T11:47:32Z,4153550601,213,0.4,4153550589,56,Left,4153550591,140,56.5,4156191241,178,,4153550595,212,11.4,4153550593,141,85.0,,,,,,,18pgjfpl9s8qy32mblzygsyc5,S. Kums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526725921,7,3,1,0,13,8y3iucyxguipljcmf87a11bk9,0,83.1,91.6,2023-04-01T16:15:20.367Z,2023-04-02T11:47:29Z,4153550611,286,,4153550881,233,3,4154769871,465,,4156191329,178,,4153550609,56,Left,,,,,,,,,,2igz499o21aihmkugktp3nyms,M. Fofana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526725955,3,7,1,0,13,jb4xejoxjfk5a0a50bo8hvst,1,16.9,8.4,2023-04-01T16:15:20.631Z,2023-04-02T11:47:28Z,4154770071,383,,4153550853,233,7,4153550821,285,,4156191381,178,,4153550819,56,Back,,,,,,,,,,9bnvh1i6mu45yvkz257c0x1at,M. Sambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
