id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2519051469,1,34,16,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-03-12T11:35:29.023Z,2023-03-12T13:13:16Z,4092123915,130,12,4092123911,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4092123919,194,x3g0yyxs0j4o8fxphxtf0st1,4092123921,197,16049,4092123925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092123917,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4092123913,59,"22, 17, 14, 94, 58, 77, 26, 20, 10, 9, 27, 6, 15, 19, 21, 32, 70, 98",4092123909,30,"byfrgpc6tgz8lto1gor03y5sl, acx78ftnm61hm01wpmme77hbe, 16o074zua15qkk7x0me7gi1w4, cn6uwymow3ewbnr6niqumao0k, 79m802yjrfr0ji81c8ty1x2xg, 6tvnsmtj9mma96e8famksevv9, 13d7ao0j091449ia61cuut87p, x3g0yyxs0j4o8fxphxtf0st1, 7ew7g18qo649t8ld44omgib55, 9mlj7fxon5zy1qmktvvcwjrl6, ecnh65kkhku5mdkr3il4fl6tx, bgzvhtk50gvmq6noheadmc34l, mkq18lpl3d44wxq974mci5wq, 4f8xb5sbyksacxmifi375h7qi, 3q6jhwert6ah0ll2wq69k93ah, 8mkkchf0ysdf78r0lncd73klw, 32eyq4xvy8s1ng11jnavvh32t, 9rsuz6bumw4jyw25gpingu25m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519052567,1,34,16,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-03-12T11:37:35.194Z,2023-03-12T12:06:31Z,4092129985,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092129973,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4092129977,130,13,4092129981,194,48f3zlksc3r230qb78c5emnyt,4092129979,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4092129971,30,"bxcwnf87pf8ijzbxy70ewcfe1, eg2u042cthz9undb4xz0pu8rt, 93hp5gm29ke90ugdimd9xf949, corn6i066rh7c7veva0sm3oid, 76y4awqbdef5yxiovt27i57th, 48f3zlksc3r230qb78c5emnyt, 187wxh3jjn8hqbu7fyw7wullh, 69ivqkcipxp15b7x5jl83ud49, 2bz8ey1mxuv6uo8duu7if6k4q, cllq8xizuqut48xxqc3btz97u, d6r3vkalhudms84f6fs415wid, 8bh749b5p635490hik1pj40yd, 464o8uslv6z2fdm269j97gt4a, bxudrqx99a3zv5gajdzxz38id, 6a0e28nxlyyw7ghe4wzumlzh1, bci3k14ed9oqcchpmtq37rnx1, eq5hfgqm32c7qmj6xwp7j9iqc, 3z1lfdoy92bq8airglbhx32tw",4092129975,59,"16, 13, 11, 34, 20, 6, 8, 14, 10, 22, 77, 9, 17, 21, 28, 30, 51, 61",4092129983,197,16292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519088567,2,32,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,0,0,2023-03-12T12:30:42.731Z,2023-03-12T12:30:42Z,4092323069,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519088575,3,32,1,0,0,1oyb7oym5nwzny8vxf03szd2h,1,0,0,2023-03-12T12:30:42.731Z,2023-03-13T00:22:44Z,4092323109,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519088613,3,1,1,0,0,5z1b7fuvpqe6vnigvopomvecu,1,50,50,2023-03-12T12:30:42.797Z,2023-03-13T04:18:01Z,4095287999,178,,4092323317,141,33.3,4092323313,56,Back,4092323321,213,3.8,4092323325,279,S,4092323315,140,35.0,4092323319,212,19.4,,,,cllq8xizuqut48xxqc3btz97u,W. Balikwisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519088657,4,1,1,0,3,5z1b7fuvpqe6vnigvopomvecu,0,31.2,39.1,2023-03-12T12:30:45.834Z,2023-03-13T08:22:32Z,4092323537,212,55.8,4092323535,141,87.2,4092323541,1,,4092323531,140,74.3,4092323539,213,0.6,4092323521,157,,4092323525,56,Left,4095288013,178,,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519088675,4,8,1,0,6,1oyb7oym5nwzny8vxf03szd2h,1,28.3,15.7,2023-03-12T12:30:49.093Z,2023-03-13T08:22:31Z,4094661767,15,,4094661887,385,,4095288121,388,,4092323623,56,Back,,,,,,,,,,,,,6tvnsmtj9mma96e8famksevv9,Clinton Mata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519088683,5,5,1,0,9,5z1b7fuvpqe6vnigvopomvecu,1,79.3,101,2023-03-12T12:30:51.842Z,2023-03-13T04:18:20Z,4092323643,56,Left,4092323683,233,5,4092323645,347,,,,,,,,,,,,,,,,,48f3zlksc3r230qb78c5emnyt,N. Dussenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519088679,5,5,1,0,9,1oyb7oym5nwzny8vxf03szd2h,0,20.7,-1,2023-03-12T12:30:51.842Z,2023-03-13T04:18:20Z,4092323637,56,Back,4092323709,233,5,4092323639,347,,,,,,,,,,,,,,,,,6tvnsmtj9mma96e8famksevv9,Clinton Mata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519088785,6,1,1,0,12,5z1b7fuvpqe6vnigvopomvecu,1,87.2,100,2023-03-12T12:30:55.370Z,2023-03-13T08:22:31Z,4095480539,1,,4092324127,56,Left,4092324133,212,21.6,4092324135,213,3.5,4092324131,141,89.4,4092324129,140,68.3,4092324125,107,,,,,d6r3vkalhudms84f6fs415wid,P. Zinckernagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
