id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2530207989,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-04-08T13:18:05.961Z,2023-04-08T14:37:40Z,4172098557,130,13,4172098561,194,eiqmp3nbc50r40bl86u2sj55h,4172098559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4172098551,30,"6sdv4s8oz558wfhx72vwlpvu2, 6wt29oce6gsthhpmhq705vl9m, eiqmp3nbc50r40bl86u2sj55h, 2xletuhhaxmfqbjbgq4ehpyol, 90fea2mfl0soc0gsk88z2m2mt, 8qa4s74yhn2u9n5tm4mfi934k, ag74mepy9fnmlykodxo0oxhwp, c1grrjf29wtfgbni2qkydf9ey, codwa9jioox7i007f4iazwst1, 8xjlysmwl5vnhcnvsynftjd62, 1fu9y7gemoii89ejj7bkex78p, 1oux70eo5dakzh697p0j7kpre, 7abgw25wb5amn0uq347d4x61h, 6pmuxgyfaqn2h0x69o5l1mq22, 41gpjj5od0ww4rnopzgp1oetw, 50iwwx11r99cvce6x8cp52c16, 5gv66go6yht3ws4x68s4ibfo4, 5lzy1u8jr2cyx17uzylfelu6s",4172098563,197,4954,4172098565,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172098553,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4172098555,59,"1, 2, 8, 3, 4, 28, 6, 35, 9, 11, 10, 13, 23, 25, 27, 33, 47, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530208635,1,34,16,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-04-08T13:19:10.497Z,2023-04-08T14:07:45Z,4172102099,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4172102091,30,"6yegi163rq5fsloppfubi3sh5, 6t7ezta9mftdtk20pgxa30r85, 6vh5n14h1knmx7yut84q2f2l1, eb1rih67f03kwljbge37id1ck, 6fdwd71dx2qu7uzzs3ozm9x7u, 5n522jpifzyf9qu0z41kuf7my, 5np1ksd9qkmc511ihzvikhy0a, 8b95khn8h8qz3y4u4coajs5at, 93weoj4q60xtxdntko7hobg4q, 9n5wjnjloy0c2euwhsu9u1y39, 5zdapzrncz7vch3yrgftfp5g, bf22is04tealb92h075c7u356, 6eg8vaxpqsd6cyh736h7bq4x6, eczyz1c2lgqelhp13xiqb0vhm, 7hdyeeejo7h9kvqt7x8jlrlec, bcfayigqu8oygm1xvpgl9akt1, 4o8lvm1ffxrywogokfztc6sb9, 3pr51w08wkrl03rpafmsouj85",4172102101,194,6vh5n14h1knmx7yut84q2f2l1,4172102097,130,12,4172102107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172102095,59,"1, 77, 30, 21, 4, 44, 18, 10, 9, 20, 25, 5, 7, 16, 23, 29, 33, 70",4172102093,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4172102105,197,18082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240695,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2023-04-08T14:01:18.022Z,2023-04-08T14:01:20Z,4172257375,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240685,2,32,1,0,0,1uk609mhtsfhokhaewjapb26,1,0,0,2023-04-08T14:01:18.022Z,2023-04-08T22:27:00Z,4172257329,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240743,3,1,1,0,0,1uk609mhtsfhokhaewjapb26,1,50.2,50.3,2023-04-08T14:01:18.043Z,2023-04-09T03:06:33Z,4172257579,56,Back,4172257581,140,28.3,4172257589,279,S,4172257587,213,3.4,4172257585,212,23.9,4172257583,141,40.7,4175067613,178,,,,,5np1ksd9qkmc511ihzvikhy0a,A. Kadri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240787,4,1,1,0,2,1uk609mhtsfhokhaewjapb26,1,31.3,51.8,2023-04-08T14:01:20.841Z,2023-04-09T08:20:47Z,4175067653,178,,4172257827,213,4.9,4172257781,56,Back,4172257825,212,27.4,4172257783,140,35.2,4172257785,141,11.9,,,,,,,6fdwd71dx2qu7uzzs3ozm9x7u,T. Watanabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240841,5,1,1,0,5,1uk609mhtsfhokhaewjapb26,1,38.5,12.7,2023-04-08T14:01:23.418Z,2023-04-09T08:20:46Z,4172257957,140,45.3,4172257961,212,7.7,4172257959,141,8.5,4175067767,178,,4172257963,213,5.9,4172257955,56,Back,,,,,,,5n522jpifzyf9qu0z41kuf7my,João Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240853,6,1,1,0,6,1uk609mhtsfhokhaewjapb26,0,48.3,5.2,2023-04-08T14:01:24.992Z,2023-04-09T08:20:45Z,4172258031,56,Back,4172258039,213,1.9,4175067833,178,,4172258037,212,22.9,4172258035,141,37.3,4172258033,140,41.7,,,,,,,6t7ezta9mftdtk20pgxa30r85,D. Henen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240859,3,49,1,0,9,9njsy633rh1tyri7l2jaju5o,1,58.9,53.3,2023-04-08T14:01:27.369Z,2023-04-09T08:20:45Z,,,,,,,,,,,,,,,,,,,,,,,,,8xjlysmwl5vnhcnvsynftjd62,K. N’Dri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240883,4,50,1,0,9,9njsy633rh1tyri7l2jaju5o,1,65.3,56.9,2023-04-08T14:01:27.432Z,2023-04-09T08:05:21Z,4172258209,56,Center,4172258649,233,7,4172258211,286,,,,,,,,,,,,,,,,,8xjlysmwl5vnhcnvsynftjd62,K. N’Dri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
