id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/13/value,qualifier/16/value,qualifier/18/value
2511964725,1,34,16,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-02-25T14:45:13.822Z,2023-02-25T15:22:49Z,4054618117,59,"30, 21, 99, 20, 40, 23, 27, 5, 10, 7, 18, 6, 14, 15, 16, 17, 29, 52",4054618119,130,2,4054618125,197,8175,4054618115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4054618121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054618127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054618113,30,"7nlpu8ocv423vqaooks0hifze, 9bnvh1i6mu45yvkz257c0x1at, a52575bcqr3acuweauiyzsb56, 5jxclq9dzjbbqptbzz5jnwand, 5oa6glaxweluggb6odyxb4uz9, 1acbm9228tfggjx7htxjtcvrp, 6cztmz0yq3ifdkkz4hpe47krt, apusqhva0hdbf7zqb3twgeoa2, 8058605f3gip7nglewe7svqzu, 7ruin2kz9zjzba57tdbec7n4l, 187qa5icsve3oak3t90r6rhsl, 4e5jvz1t60a2l67c5a9r2qne, e44sv1k4belucgkkem7qtkpd6, 7sxsul4lzfxl1nzca1nq715re, 3j1vhujla834m422svmrdh3pw, cahevdu5yhhnh8qlj969b6dw, 6h8nr55ieqsaiscoxje2ihmhg, 20teoyeqpyu0ftatz045glfkk",4054618123,194,1acbm9228tfggjx7htxjtcvrp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511966577,1,34,16,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-02-25T14:46:54.265Z,2023-02-25T14:59:04Z,4054627013,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4054627005,30,"1psqmd0h77b385bljq2emftgp, b6hva6wki38za3hipscirr4h6, mlqit2c8my1ewqy6avrfhf8q, 1df9uegp2hsbc4813no3mdvx1, btz2lf5s3h6svre1o5jgmvf85, 9svafwvk8lle1ex1m2y279905, cne8uwbnrwbwqjpj3pme1kbmx, 3q5uylbjjiaoj3mn2l7p93jyt, 3nr55odndzunwlb658bsnlwx5, 3eywxsna9qzi1egis1uj4l6mt, 9aafa664l1husrkrgqv25l42d, 1vhz040atckd3pnzwbky5uuvp, dsl7qkp6ndxky3lq89liw7yz9, evktllmp3l6mfb6o4im0ag0ve, calut2wcnvfps97uj7dartf4l, 6es2qusg5h5q9ricqm51j1xck, 9ov7tj31hixo7xp0tfffuhpn8, ezg4lhvy2z4pkyvfrmi17y11x",4054627017,197,13826,4054627011,130,4,4054627019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054627015,194,3q5uylbjjiaoj3mn2l7p93jyt,4054627007,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4054627009,59,"1, 6, 18, 22, 27, 4, 14, 19, 9, 7, 11, 2, 3, 10, 15, 23, 34, 66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511976797,2,32,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,0,0,2023-02-25T15:00:17.846Z,2023-02-25T15:00:17Z,4054672361,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511976805,2,32,1,0,0,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-02-25T15:00:17.846Z,2023-02-26T01:49:15Z,4054672381,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511976853,3,1,1,0,0,b7jmo07lqav0wfe2mtlzyspak,1,49.8,50.1,2023-02-25T15:00:18.116Z,2023-02-26T03:15:20Z,4054672537,141,56.1,4054672539,212,20.4,4054672543,279,S,4054672535,140,30.8,4054672541,213,2.9,4054672533,56,Back,4057813075,178,,,,,1df9uegp2hsbc4813no3mdvx1,Alessio Da Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511976881,4,1,1,0,3,b7jmo07lqav0wfe2mtlzyspak,1,31.6,55.8,2023-02-25T15:00:21.398Z,2023-02-26T09:03:29Z,4054672641,1,,4054672633,141,22.7,4054672635,212,46.0,4057813255,178,,4054672627,155,,4054672629,56,Center,4054672631,140,69.8,4054672639,213,5.8,9svafwvk8lle1ex1m2y279905,D. Wouters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511976885,5,61,1,0,5,b7jmo07lqav0wfe2mtlzyspak,0,70.3,27.5,2023-02-25T15:00:23.710Z,2023-02-26T09:03:28Z,4054672649,56,Center,4057813629,178,,4057813627,21,,,,,,,,,,,,,,,,,3eywxsna9qzi1egis1uj4l6mt,G. Hairemans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511976909,3,49,1,0,7,jb4xejoxjfk5a0a50bo8hvst,1,28.8,51.2,2023-02-25T15:00:25.359Z,2023-02-26T09:03:28Z,,,,,,,,,,,,,,,,,,,,,,,,,6cztmz0yq3ifdkkz4hpe47krt,S. Sissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511976967,4,1,1,0,8,jb4xejoxjfk5a0a50bo8hvst,1,26.3,46.7,2023-02-25T15:00:26.774Z,2023-02-26T09:03:26Z,4054673033,212,25.0,4057813963,178,,4054673023,56,Back,4054673025,140,38.6,4054673035,213,5.3,4054673029,141,15.3,,,,,,,6cztmz0yq3ifdkkz4hpe47krt,S. Sissoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977047,5,1,1,0,12,jb4xejoxjfk5a0a50bo8hvst,0,37.3,9.1,2023-02-25T15:00:30.471Z,2023-02-26T09:03:25Z,4054673327,140,63.5,4054673329,141,27.4,4054673331,212,30.2,4054673325,56,Center,4057814015,178,,4054723453,155,,4054673333,213,0.4,,,,9bnvh1i6mu45yvkz257c0x1at,M. Sambu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977059,6,49,1,0,15,b7jmo07lqav0wfe2mtlzyspak,1,38.6,64.1,2023-02-25T15:00:33.685Z,2023-02-26T09:03:25Z,,,,,,,,,,,,,,,,,,,,,,,,,3q5uylbjjiaoj3mn2l7p93jyt,K. Mrabti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977089,7,1,1,0,15,b7jmo07lqav0wfe2mtlzyspak,1,38.1,63.8,2023-02-25T15:00:33.789Z,2023-02-26T09:03:25Z,4057814305,178,,4054673479,140,38.0,4054673477,56,Back,4054673483,212,6.4,4054673485,213,1.6,4054673481,141,73.2,,,,,,,3q5uylbjjiaoj3mn2l7p93jyt,K. Mrabti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977051,6,43,1,0,16,jb4xejoxjfk5a0a50bo8hvst,1,0,0,2023-02-25T15:00:34.088Z,2023-02-25T15:05:32Z,4054673353,56,Center,4054728115,144,61,,,,,,,,,,,,,,,,,,,7ruin2kz9zjzba57tdbec7n4l,Vagner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
