id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2473877193,1,34,16,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-10-18T15:53:16.636Z,2022-10-19T08:28:16Z,3853976117,30,"49vbniwasp2kyt27jw0cv6m6t, dmk8usvqtzv60bwkoxk7kfqxg, 9fvwcsajeousbo5o0e84cj2sp, 91qd93lqgpe700ps0b6a7ntn9, 1abf0y93zbw1sw183nblqoicp, 4juerzftkeiuzctoiei6dmtp1, a8pgjuz5yrbxyf1t905gj327d, 73z9v9oz73hlmnswrzp860yj9, cinzr4hnryu433l6z40j5x49h, f3e9qk9oz4feldhgetdpcd0ph, 2vmpkyku0hwv0zdbbzunt2xux, cni0rxu9fo9lfqqhggmqrdvpx, dvomh2gx3wd5x5v1dmlnkdpzp, d1j29sgb7rmc6dxe3koyyr0et, 91sex5ir1pp4b2beotoua7mqx, cjf412x9sg56vos0jkj85k3ys, 6u73l7tuxx0958ij9kvdizjrp, 58b30n3a3qc1s5tpfn8er7tw4",3853976131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3853976121,59,"12, 25, 20, 4, 28, 14, 11, 24, 9, 33, 13, 5, 6, 10, 15, 27, 29, 43",3853976129,197,9988,3853976123,130,6,3853976127,194,f3e9qk9oz4feldhgetdpcd0ph,3853976125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3853976119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473877959,1,34,16,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-10-18T15:57:46.880Z,2022-10-18T16:34:43Z,3853980427,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3853980435,194,eiqmp3nbc50r40bl86u2sj55h,3853980437,197,8121,3853980425,30,"6sdv4s8oz558wfhx72vwlpvu2, ditnpqgspoih5ich7c5vn44fe, 1fu9y7gemoii89ejj7bkex78p, 2xletuhhaxmfqbjbgq4ehpyol, c1grrjf29wtfgbni2qkydf9ey, 8qa4s74yhn2u9n5tm4mfi934k, 77fldfqlxps1xbdg29anv4vai, eiqmp3nbc50r40bl86u2sj55h, codwa9jioox7i007f4iazwst1, 8xjlysmwl5vnhcnvsynftjd62, 87aix2c3m5x08nsurhjql51p1, 6wt29oce6gsthhpmhq705vl9m, 1ekfu3u2d9vh73lw2dzdcr1wq, 4rkl9bef513htcb8toe8lvkyx, 7abgw25wb5amn0uq347d4x61h, 6s5hiok2ywsv4kfxfql8iorth, 6pmuxgyfaqn2h0x69o5l1mq22, 50iwwx11r99cvce6x8cp52c16",3853980433,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3853980439,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3853980431,130,12,3853980429,59,"1, 15, 10, 3, 35, 28, 17, 8, 9, 11, 4, 2, 7, 21, 23, 24, 25, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894137,2,32,1,0,0,9njsy633rh1tyri7l2jaju5o,1,0,0,2022-10-18T16:30:41.600Z,2022-10-19T03:24:57Z,3854069633,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894135,2,32,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,0,0,2022-10-18T16:30:41.600Z,2022-10-18T16:30:41Z,3854069621,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894153,3,1,1,0,0,bw9wm8pqfzcchumhiwdt2w15c,1,49.7,49.9,2022-10-18T16:30:41.621Z,2022-10-19T04:35:15Z,3854069707,212,13.2,3854069703,140,38.8,3855294359,178,,3854069709,213,2.6,3854069705,141,59.6,3854069701,56,Back,3854069711,279,S,,,,cinzr4hnryu433l6z40j5x49h,Mario González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894169,4,1,1,0,1,bw9wm8pqfzcchumhiwdt2w15c,1,40.1,61.3,2022-10-18T16:30:43.350Z,2022-10-19T09:04:20Z,3854069785,212,21.5,3854069783,141,37.3,3854069779,56,Back,3854069787,213,4.0,3854069781,140,26.8,3855294383,178,,,,,,,,91qd93lqgpe700ps0b6a7ntn9,K. Malinov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894207,5,1,1,0,4,bw9wm8pqfzcchumhiwdt2w15c,1,24,42.1,2022-10-18T16:30:45.868Z,2022-10-19T09:04:19Z,3855294407,178,,3854069999,212,13.9,3854069995,140,12.5,3854070001,213,2.6,3854069993,56,Back,3854069997,141,52.2,,,,,,,1abf0y93zbw1sw183nblqoicp,E. Pletinckx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894223,6,1,1,0,7,bw9wm8pqfzcchumhiwdt2w15c,1,6.1,52.4,2022-10-18T16:30:49.455Z,2022-10-19T09:04:18Z,3854070093,56,Back,3854070097,141,47.9,3854070095,140,21.4,3855294435,178,,3854070101,213,6.1,3854070099,212,16.4,,,,,,,49vbniwasp2kyt27jw0cv6m6t,V. Cojocaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894259,7,1,1,0,8,bw9wm8pqfzcchumhiwdt2w15c,1,17.6,50.1,2022-10-18T16:30:50.551Z,2022-10-19T09:04:17Z,3854070339,213,3.0,3854070331,56,Back,3855294459,178,,3854070335,141,53.4,3854070337,212,13.8,3854070333,140,4.6,,,,,,,73z9v9oz73hlmnswrzp860yj9,C. De Norre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473894287,8,1,1,0,12,bw9wm8pqfzcchumhiwdt2w15c,1,7.2,58.2,2022-10-18T16:30:53.721Z,2022-10-19T09:04:17Z,3854070491,155,,3854070499,212,25.8,3854070493,56,Back,3854070497,141,64.8,3855294531,178,,3854070501,213,0.2,3854070495,140,31.4,,,,49vbniwasp2kyt27jw0cv6m6t,V. Cojocaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
