id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,assist,qualifier/16/value
2531660047,4,6,1,0,11,bsykw9d70ffqe9atosc92n1e9,0,6.9,87,2023-04-10T12:30:24.643Z,2023-04-10T14:34:37Z,4179769603,233,8,4179769569,73,,4179769507,56,Back,,,,,,,,,,,,,,,,bjqtzq0xcvtmbn54orj7rn5xx,Z. Tripić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660055,8,6,1,0,11,c7jgkxx1czv5etn7snf1r6p2m,1,93.1,13,2023-04-10T12:30:24.643Z,2023-04-10T12:30:41Z,4179769531,75,,4179769529,56,Right,4179769581,233,4,,,,,,,,,,,,,,,,1ncet6wg9tne9oif8vkgsc8kq,L. Cornic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660297,9,1,1,0,33,c7jgkxx1czv5etn7snf1r6p2m,1,99.5,0.5,2023-04-10T12:30:46.491Z,2023-04-10T12:30:49Z,4179770883,6,,4179770893,213,2.6,4179770887,140,87.1,4179770889,141,12.0,4179770891,212,15.2,4179770885,56,Right,,,,,,,2u8ylwu9kogk0jorpe517812i,A. Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660339,10,1,1,0,35,c7jgkxx1czv5etn7snf1r6p2m,1,88.3,13.5,2023-04-10T12:30:49.419Z,2023-04-10T13:20:59Z,4179771165,141,35.1,4179969787,154,,4179969785,210,15,4179771169,213,2.2,4179771167,212,17.9,4179771163,140,78.5,4179771161,56,Center,,,,97pv7d7lbkovwn9gcpf0tpnmx,M. Bjørlo,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2531660345,11,15,1,0,39,c7jgkxx1czv5etn7snf1r6p2m,1,75.6,39.4,2023-04-10T12:30:53.315Z,2023-04-10T13:21:00Z,4179775093,103,19,4179775101,146,91.0,4179775095,215,,4179969831,154,,4179771193,56,Center,4179775089,80,,4179775097,328,,4179771501,25,,dlgueejo95xoqfugtpgc3i2nd,C. Holse,4179775091,102,47.1,4179775105,230,100,,4179969833,55,10,4179771523,233,5,4179775103,147,44.2,4179771191,18,4179771507,82,4179969829,29,4179771503,72,4179775107,231,48.7,,,,,
2531660349,5,10,1,0,39,bsykw9d70ffqe9atosc92n1e9,1,13.5,58.8,2023-04-10T12:30:53.415Z,2023-04-10T13:20:59Z,4179771533,233,11,4179771211,94,,4179771213,56,Back,,,,,,,,,,,,,,,,6o1kdj6orb69f9ilwimxlprvu,S. Pattynama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660363,6,6,1,0,40,bsykw9d70ffqe9atosc92n1e9,0,11.7,63.7,2023-04-10T12:30:54.316Z,2023-04-10T14:34:38Z,4179771335,73,,4179771255,56,Back,4179771357,233,12,,,,,,,,,,,,,,,,6o1kdj6orb69f9ilwimxlprvu,S. Pattynama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660371,12,6,1,0,40,c7jgkxx1czv5etn7snf1r6p2m,1,88.3,36.3,2023-04-10T12:30:54.316Z,2023-04-10T12:30:55Z,4179771345,233,6,4179771289,75,,4179771287,56,Center,,,,,,,,,,,,,,,,dlgueejo95xoqfugtpgc3i2nd,C. Holse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660583,13,1,1,1,1,c7jgkxx1czv5etn7snf1r6p2m,0,99.5,0.5,2023-04-10T12:31:15.275Z,2023-04-10T12:31:17Z,4179772547,140,89.2,4179772561,213,1.9,4179772557,212,33.8,4179772567,1,,4179772535,2,,4179772541,223,,4179772543,56,Center,4179772551,141,47.6,2u8ylwu9kogk0jorpe517812i,A. Pereira,4179772539,155,,4179772537,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531660627,7,12,1,1,5,bsykw9d70ffqe9atosc92n1e9,1,11.5,54.9,2023-04-10T12:31:18.542Z,2023-04-10T13:22:02Z,4179772787,212,24.4,4179772789,213,6.2,4179772819,15,,4179772781,56,Back,4179772783,140,34.7,4179772785,141,52.4,,,,,,,7w9hhlq31pw5r4xwrjtk6yrbp,L. Salvesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
