id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/13/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2535954177,1,34,16,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0,0,2023-04-19T15:35:55.511Z,2023-04-19T16:32:01Z,4202602785,194,4hmj5l79xbxxkyuxdx47lj8wl,4202602781,130,13,4202602777,59,"1, 26, 4, 27, 71, 2, 6, 10, 9, 77, 17, 3, 8, 11, 14, 18, 20, 22, 40, 47",4202602783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4202602771,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4202602767,30,"4clmd8g8jogdfvauhijd7n55h, 4hdrcg8os3e1uf9syfv5mpiol, 524wrr4yiyagu7r0fq3cu9cd1, cs99i7ypembqsswr96y6n53ze, 4hmj5l79xbxxkyuxdx47lj8wl, dqssvdpt2iwg8qn9wto3miind, 263cj7dbq77k9z4kh6xqtbecq, 15wt9e9girpzdqw5y2hb4awut, 58dyik26pd4vb9biime1mw2y1, go4g6syxqw7nwn67c1am65t5, 370kkwnidcltqyooh51z6uzqi, 5neljae0dmqtgvkcsm1i0wz8q, 3vh1sx99telj2gktbljiarap5, 5qq4l9qh14ej217d3by53ucmi, 7kdf2nyhfvbtqcjcfca6x4zkk, 189ruwm3wvafqltpgs8y1hsa2, 9qls08j5i7vn4jbdh37ygkfai, 7gnn9d501aradmmdrhhs5vfo4, 77595dd0cnpbpwhteiwyfwk45, adgmyq763r5i7dnneax0h6ck4",4202602789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4202602787,197,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535959177,3,34,16,0,0,93xj9vmeln0marv6r1uti7but,1,0,0,2023-04-19T15:45:24.460Z,2023-04-19T16:37:47Z,4202629955,194,9kje5itaq7ey60tiy1v5nbahh,4202629951,130,12,4202629945,30,"67l0o9f3qvblr4k70fpkytr6x, 20i5y3j4afmbelygcf1hbnu2, aojrff0lrdwjyyvsbpd39h7f9, 2dx94phqrljak98vkh5rywxrd, 1gnpoxdene6ohs2rrl1apd9zp, dg8g9ml1e0kwq0e6m1rpj2sph, 51wrvgnamem23vf9scuk4ezt, 9kje5itaq7ey60tiy1v5nbahh, 6mf11pv0pfvyl9vom1i1pi0yy, 5lc81sbctf8okncyam1di568l, 7m68sk6x5j4izvmi83h2e6kbu, 43rb01lv7300xhsj32twxctex, bvge4go6le5olm1wq9ooogedx, 43anppywo7v1ydan12sq816ac, 1gwemllvgcore4shqy79qu82y, 50fskywnssv4vf83sh6wwk48a, 8qwi3kh86b31w5orft10m0rft, 95u4j4kg3w5wfpk8ilcimhfdg, 1pglutzkqe36d5pta1ca24d90",4202629953,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4202629949,59,"12, 2, 5, 19, 28, 4, 7, 23, 9, 10, 14, 1, 6, 16, 20, 22, 24, 33, 37",4202629947,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4202629959,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4202629957,197,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535976265,2,32,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,0,0,2023-04-19T16:31:27.885Z,2023-04-19T16:31:28Z,4202724975,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535976267,4,32,1,0,0,93xj9vmeln0marv6r1uti7but,1,0,0,2023-04-19T16:31:27.885Z,2023-04-24T09:38:18Z,4202724977,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535976283,3,1,1,0,0,ew0hpuiweoltpsg5f51r2w64t,1,49.8,50,2023-04-19T16:31:27.985Z,2023-04-19T16:31:31Z,4202725071,212,16.7,4202725075,279,S,4202725067,140,34.0,4202725069,141,53.3,4202725073,213,3.0,4202725065,56,Back,,,,,,,15wt9e9girpzdqw5y2hb4awut,H. Stengel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535976293,4,1,1,0,3,ew0hpuiweoltpsg5f51r2w64t,1,34.6,51.9,2023-04-19T16:31:31.529Z,2023-04-19T16:31:34Z,4202725129,56,Center,4202725135,212,38.7,4202725127,155,,4202725131,140,65.7,4202725133,141,21.3,4202725139,1,,4202725137,213,5.7,,,,4hmj5l79xbxxkyuxdx47lj8wl,G. Valsvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535976295,5,1,1,0,6,ew0hpuiweoltpsg5f51r2w64t,0,64.8,18.5,2023-04-19T16:31:34.730Z,2023-04-19T16:31:35Z,4202725153,140,75.8,4202725155,141,15.3,4202725151,56,Right,4202725157,212,11.8,4202725159,213,6.1,4202725149,168,,4202725147,3,,,,,58dyik26pd4vb9biime1mw2y1,J. Braut Brunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535976307,5,1,1,0,7,93xj9vmeln0marv6r1uti7but,0,36.5,77.6,2023-04-19T16:31:35.007Z,2023-04-24T09:43:49Z,4202725229,213,6.0,4202725227,212,11.5,4202725223,140,47.1,4202725225,141,73.4,4202725219,3,,4202725221,56,Back,,,,,,,2dx94phqrljak98vkh5rywxrd,K. Tønnessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535976309,6,61,1,0,8,ew0hpuiweoltpsg5f51r2w64t,1,69.4,21.2,2023-04-19T16:31:35.965Z,2023-04-24T09:43:51Z,4202725237,56,Center,,,,,,,,,,,,,,,,,,,,,,58dyik26pd4vb9biime1mw2y1,J. Braut Brunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535976319,6,49,1,0,10,93xj9vmeln0marv6r1uti7but,1,22.5,67.9,2023-04-19T16:31:37.905Z,2023-04-24T09:43:58Z,,,,,,,,,,,,,,,,,,,,,,,,,7m68sk6x5j4izvmi83h2e6kbu,M. Knudsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
