id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2531728485,1,34,16,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0,0,2023-04-10T14:02:03.574Z,2023-04-10T15:37:17Z,4180915807,197,1393,4180147147,59,"12, 6, 15, 77, 4, 2, 10, 8, 29, 27, 93, 1, 7, 9, 11, 16, 20, 23, 30",4180147145,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4180147149,130,4,4180147153,194,do2fwr0qn3kg0qb40e3i36q51,4180147151,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4180147143,30,"bjgxlgzxbm2fj3c2xq6mtsru1, azgn1hgiep0jbrbdirnkut2zu, dnw3y6r7bk0aqbta2s7ttivhl, do2fwr0qn3kg0qb40e3i36q51, 7gqecbxztxxovmo1b6zqqcgve, 17jltcnnaha4707duh52hirit, bybggxgpzlr7xz2f1i3b7c0kp, biuovem90utcyzda58nixtaay, 4bntcltsmr5ymc4f8eme1v1ii, bbyystkqag4mcfpr6utsazm51, blsn3vd9ixyrtiiw3t023cuwa, at4flt8tr925ds3dgw5zrgtm1, 69nyfnllbbm2ryx0qomsk005x, b4efh7m2z28zc5gx250vvdzze, 9plm1ekfi8ydpbfxhft0a8hjp, b402113ae9zjswote8zxlzmc5, dgki9si023s93nymhod74jlzo, 13k94iyejsdn4e51jx32rb23u, bxamae8lo647u6k3kruigir8q",4180147155,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531731773,1,34,16,0,0,doohk95o6e8pkqah8vkop51dg,1,0,0,2023-04-10T14:03:57.181Z,2023-04-10T15:37:21Z,4180163935,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4180163937,59,"21, 20, 17, 8, 4, 31, 90, 29, 25, 10, 11, 6, 15, 18, 22, 23, 32, 40, 72, 77",4180163943,194,ogcuz4pxxu9605ibev6htdxx,4180163939,130,2,4180163933,30,"930dsqwxik1m9vy5zdr544jpx, barzsgnl7tazysx2d10yzj04q, 1n9924y1nahaf0if575wgwonp, avtms6bcr8i7qdacuv225evo5, ogcuz4pxxu9605ibev6htdxx, aqc0qritba195wf770gyd1149, 6bmumoni1d3l86o9firkzoy6s, 2mkfrrq1taiw0l42xzeeua5m1, crxwhejm0ur604l99z8c8nrv9, b4bzaam658g6wf3knwxlghas5, edfsc7q83gpy1y9w3apjvwjbp, 22pm0y7qrqwg0ss3fuy1erk6h, 1obmoa232gvsn0uxvaphndb6d, 17zz0x6tm20e9yfh4q5ehaf9x, bz82aklhkj8uhxcm48pl9cy51, 899g4vjqr1ogpecjjuas4e1d6, 30ojg24sppf8bzngafnd4neg9, 9h818omah0402p8sh7lh4txck, 58zj1aw2i5mfyzb3knj72xk6i, dfstfdvqadzpvxib0np3vfifo",4180163941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4180916229,197,518,4180163945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531820825,2,32,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,1,0,0,2023-04-10T15:00:49.485Z,2023-04-10T15:05:00Z,4180653433,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531820833,2,32,1,0,0,doohk95o6e8pkqah8vkop51dg,1,0,0,2023-04-10T15:00:49.485Z,2023-04-10T15:05:00Z,4180653473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531900057,376,1,1,0,0,ctvzi2jbl1q6xzq0s3sexj73g,0,49.8,50,2023-04-10T15:00:49.585Z,2023-04-10T16:59:00Z,4181081553,279,S,4181081441,213,3.7,4181081433,56,Back,4181081439,212,10.6,4181081437,141,41.9,4181081435,140,41.2,,,,,,,4bntcltsmr5ymc4f8eme1v1ii,F. Moumbagna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531874031,307,79,1,0,0,doohk95o6e8pkqah8vkop51dg,0,0,0,2023-04-10T15:00:50.075Z,2023-04-10T15:59:59Z,4180939813,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531899791,372,43,1,0,1,doohk95o6e8pkqah8vkop51dg,1,0,0,2023-04-10T15:00:50.585Z,2023-04-10T16:00:20Z,4181080039,279,S,4181080031,140,38.0,4181080027,189,0,4181080037,213,3.3,4181081095,144,1,4181080035,212,12.9,4181080029,56,Back,4181080033,141,46.6,b4bzaam658g6wf3knwxlghas5,R. Lundqvist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531887719,371,4,1,0,14,ctvzi2jbl1q6xzq0s3sexj73g,1,33.7,46.6,2023-04-10T15:01:04.484Z,2023-04-10T15:48:57Z,4181014849,189,,4181014597,286,,4181014875,233,369,4181014595,265,,4181014591,56,Back,4181014593,152,,4181014589,13,,,,,7gqecbxztxxovmo1b6zqqcgve,O. Bjørtuft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531887725,369,4,1,0,15,doohk95o6e8pkqah8vkop51dg,0,66.3,53.4,2023-04-10T15:01:04.485Z,2023-04-10T15:48:58Z,4181014921,285,,4181014611,13,,4181014917,233,371,4181014617,265,,4181014985,189,,4181014615,152,,4181014613,56,Center,,,,crxwhejm0ur604l99z8c8nrv9,M. Maigaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531888431,370,2,1,1,29,doohk95o6e8pkqah8vkop51dg,1,58.6,66.3,2023-04-10T15:02:19.484Z,2023-04-10T16:59:25Z,4181018749,140,80.7,4181020399,7,b4bzaam658g6wf3knwxlghas5,4181021103,189,,4181018747,56,Center,4181018751,141,61.1,,,,,,,,,,2mkfrrq1taiw0l42xzeeua5m1,V. Torp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
