id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/14/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/16/value,qualifier/13/value
2521741607,1,34,16,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-03-18T16:34:21.079Z,2023-03-22T10:33:16Z,4106339385,130,10,4106667403,197,683,4106339391,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106339389,194,3nahof9wwcvyylv87fjhhpt5h,4106339387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106339379,30,"6veqhleq95267xca919eg02j9, 7a8ee7ohk4hnmaaw1imxeqsid, 6yaoc71surv8vh9hjfli7dwid, a04wl977uhtaea8pztvmdag2d, 829ypq99t1vn90xey32mwt7th, 3nahof9wwcvyylv87fjhhpt5h, 9ex7z7sbghe3zx17a4u7gsay2, 6bl8ekn7ahyf7z4ri1cknbnfu, 1l0bb9txaodn0kqc5rca35rdh, 2neoemoj0t2ssvjhhii62rvje, 9yceimet7wbytfai5ivr0v4k5, 77d2ej6852gf2ynsb8h01thwp, 3akxznb8k4r088rrqbbj04m39, 3q942kxc3baiiwdozn97dgqtx, 77768ik0kuvcahklr0b8viwwk, d21tm0cmhxpy6rq71iyu5yzf9, 6f7isvwcywig1hlvfed4q0hgq, 5sni2fs80zc0n2s2u3en54b56, 3kfeazpv3d1wy6e333pudwkid, aq8efsoblaypm6spb7fce99g4",4106339383,59,"1, 32, 27, 28, 12, 19, 14, 44, 17, 11, 82, 7, 8, 18, 20, 23, 45, 66, 88, 94",4106339381,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521765611,1,34,16,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-03-18T16:46:51.598Z,2023-03-18T17:34:13Z,4106667603,197,686,4106470465,130,8,4106470469,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106470477,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106470473,194,ytjrtqtximxhs52bfsezogk5,4106470461,59,"18, 27, 16, 89, 4, 5, 9, 23, 77, 8, 7, 6, 10, 24, 26, 34, 35, 38, 71, 88",4106470459,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106470457,30,"86gtnji8gzd7t05si9bzdhcyd, f33frpvsvjp7a8od35j7oxjh1, d5e7ou0odurdq9omp4tk16ck4, btjt8zqd248l6mk9b2obdsr1l, bepcao7uiozczrxbhc7fjjis5, 2gef3rw1e1q3d7qudetpgvbop, bjprfeyv38xb284im3yuu3u21, 8sllxmpst47s6c46fgtv1q47p, 93ysty1r8uw717axrz77q88ut, ytjrtqtximxhs52bfsezogk5, cq1rq8a9wnt1dxvxe6fmz9vfu, 6w77bixcwoy3qlg568od8wr9, 68cm9uvlgmi1q5xfki3g31i39, 2evokue4swxl64cxjuc21u2qy, e9vibltkrv53iodnepbqmtzbo, 58f5zmv1f4k6l2o9jkezem0ic, 3qum8ho760i5bw8ejmkjfdec5, buqncwv5n0iy5ff8mjro9mwb8, 3m67z6okk8i52z0b6widofxsl, 9e8phbwelzhbdk0bfsuyu4a5m",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805045,2,32,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2023-03-18T17:31:02.022Z,2023-03-31T10:42:58Z,4106679861,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805059,3,32,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-03-18T17:31:02.022Z,2023-03-18T17:31:09Z,4106679911,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805189,3,1,1,0,0,6ttwlm6op92r4670oayg5md7h,1,49.9,50.1,2023-03-18T17:31:02.033Z,2023-04-01T05:21:07Z,4106680515,213,2.9,4106680517,279,S,4106680509,140,27.3,4106680507,56,Back,4106680511,141,58.1,4151193595,178,,4106680513,212,24.3,,,,2neoemoj0t2ssvjhhii62rvje,K. El Berkaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805193,4,1,1,0,4,6ttwlm6op92r4670oayg5md7h,0,28.7,55.7,2023-03-18T17:31:06.815Z,2023-04-01T05:21:11Z,4106680543,141,73.2,4106680541,140,71.5,4106680549,1,,4151193639,178,,4106680547,213,0.3,4106680545,212,46.5,4106680537,155,,4106680539,56,Center,829ypq99t1vn90xey32mwt7th,Mohammed Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805225,4,1,1,0,7,2ry1fixv27p3xepazsxcuyoho,0,22.4,23.9,2023-03-18T17:31:09.673Z,2023-04-01T05:21:15Z,4151193709,388,,4106680705,212,7.1,4106680707,213,0.9,4106680697,3,,4106680699,56,Back,4106680701,140,26.8,4106680703,141,31.8,,,,bepcao7uiozczrxbhc7fjjis5,Iago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805251,6,44,1,0,10,6ttwlm6op92r4670oayg5md7h,1,72.8,63.5,2023-03-18T17:31:12.281Z,2023-04-01T10:06:45Z,4106706879,286,,4106979857,233,5,4106706877,56,Center,,,,,,,,,,,,,,,,2neoemoj0t2ssvjhhii62rvje,K. El Berkaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521805231,5,44,1,0,10,2ry1fixv27p3xepazsxcuyoho,0,27.2,36.5,2023-03-18T17:31:12.282Z,2023-04-01T05:21:19Z,4106680733,56,Back,4106680735,285,,4106979871,233,6,,,,,,,,,,,,,,,,8sllxmpst47s6c46fgtv1q47p,G. Krychowiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521861663,346,1,1,0,10,6ttwlm6op92r4670oayg5md7h,1,74.6,62.9,2023-03-18T17:31:12.524Z,2023-04-01T10:06:45Z,4151193895,388,,4106981839,213,3.3,4106981831,141,61.8,4106981825,56,Center,4106981829,140,69.2,4106981821,3,,4106981835,212,5.7,,,,2neoemoj0t2ssvjhhii62rvje,K. El Berkaoui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
