id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2451745163,1,34,16,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2022-08-27T17:08:44.506Z,2022-08-27T18:21:45Z,3736227233,194,5bd2bm6ukc4u58hd0idimecid,3736227225,59,"1, 28, 3, 87, 14, 6, 80, 76, 9, 88, 10, 4, 5, 7, 8, 17, 29, 49, 66, 90",3736227223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736227235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736227229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736227221,30,"8qps88s8g1c8xw5uiz5gyh4ut, 84a84u8p0tc4v0rsnwjtdw8np, 3a591b3l0o7ucdb8w72vjz4kp, 5fpfdgzit3468e1a04ooetsr9, 5bd2bm6ukc4u58hd0idimecid, a9yimyxegu9sx46hqvwswjs2d, a9xl33f68np358angkw5o606i, ciw54ghi1jv1xb5dmtv558xjp, aotysrmw0ffmznm2u4ya487o5, 6wto8d6jcd41bo451wwbjng89, 2tuivjaotzbx9jv83wi7d5rrp, bl117o6ogkgnnbv2gl0ozpn85, 29ddbk46e5uzbuxrmmlfr8y6s, et956pmx883y3lica15q6zxii, asbde52lbf3tbai74qhux8xjp, 2gwlr4pwk004ck0jrgn7z6ytx, bx7lsguu67h38eanl7xf0hclw, c79pr94ulryjygvurdgku45w5, 3hyvs17yubhqv97m863xlduj9, c7da9wqhoce68v0tvfhb4itjo",3736227227,130,5,3736513023,197,4607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451780227,1,34,16,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-08-27T17:39:41.432Z,2022-08-27T19:30:04Z,3736421065,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3736421059,59,"25, 78, 13, 18, 5, 3, 23, 19, 9, 14, 11, 29, 4, 8, 17, 24, 27, 33, 45, 16",3736507209,197,678,3736421063,130,2,3736421069,194,4uyfs1epryrirnq46jttxm6sp,3736421055,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3736421053,30,"9n8332rcl3v2jq0b791i0s5w5, eiarh2kihedqxxoftjyi55td5, 19djqex4nu3lz6vw08f3fwv6x, dayca044hynhii8kgr7g1azth, 4uyfs1epryrirnq46jttxm6sp, drd86nrgxki1eobo3pam0jk5x, 8wxgeu7xdeuvvuhn5ga0vu4q2, 8h4z74vxc8qqbmwelwpo8oq5m, bwj0ic6ljwuzim9zsmosx4hxx, 12x5lacdmnvc801277ugw9ecp, 92qhzmz7bik9yiyhpt9fcvqzu, cpws4xoaun4lc21p379rpd59l, 2gqls23835l3x6466sfwnthhx, bfbozn43eclzjwzz8nt69ktsl, rbhqo1mjhl4j1enpfpbehlgp, 5hm2s34cfjlc1ha8bxnyelhm2, 4u3pq05nvcw6aemv99pbiopp0, 3u9v4demk1goyq93e3xv3d42d, 3orh0redv58co5v3kmto42dhx, 1h4lbj5lsr3be6k2e5esd6356",3736421073,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798653,2,32,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2022-08-27T18:00:30.446Z,2022-08-27T18:00:32Z,3736522715,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798647,2,32,1,0,0,57jcqe38hakh2hfit2zsogsb,1,0,0,2022-08-27T18:00:30.446Z,2022-09-02T05:40:14Z,3736522699,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798679,3,1,1,0,0,57jcqe38hakh2hfit2zsogsb,1,50.1,49.9,2022-08-27T18:00:30.538Z,2022-09-04T18:52:20Z,3736522871,213,1.0,3736522867,141,53.8,3744630445,278,,3736522873,279,S,3759011073,178,,3736522865,140,51.6,3736522863,56,Center,3736522869,212,3.1,bwj0ic6ljwuzim9zsmosx4hxx,V. Aboubakar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798695,4,1,1,0,2,57jcqe38hakh2hfit2zsogsb,1,57.8,66.7,2022-08-27T18:00:33.135Z,2022-09-04T18:52:34Z,3736522955,212,18.8,3736522953,141,94.2,3759011699,178,,3736522949,56,Left,3736522951,140,60.0,3736522957,213,1.4,,,,,,,12x5lacdmnvc801277ugw9ecp,Sami Al Naji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798733,5,1,1,0,5,57jcqe38hakh2hfit2zsogsb,1,60.2,94.2,2022-08-27T18:00:35.717Z,2022-09-04T18:52:46Z,3736523161,56,Back,3759012213,178,,3736523169,213,3.4,3736523163,140,34.1,3736523165,141,84.1,3736523167,212,28.3,,,,,,,19djqex4nu3lz6vw08f3fwv6x,G. Konan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798771,6,1,1,0,7,57jcqe38hakh2hfit2zsogsb,1,34,83.6,2022-08-27T18:00:38.026Z,2022-09-04T18:52:57Z,3736523307,213,4.7,3736523299,56,Back,3759012621,178,,3736523305,212,36.0,3736523303,141,30.7,3736523309,1,,3736523301,140,32.6,,,,drd86nrgxki1eobo3pam0jk5x,Abdullah Madu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798831,7,1,1,0,11,57jcqe38hakh2hfit2zsogsb,1,32.9,31.3,2022-08-27T18:00:41.495Z,2022-09-04T18:53:08Z,3736523577,140,41.4,3759013211,178,,3736523575,56,Back,3736523585,213,5.2,3736523581,212,18.4,3736523579,141,7.6,,,,,,,4uyfs1epryrirnq46jttxm6sp,Abdulelah Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798865,8,1,1,0,13,57jcqe38hakh2hfit2zsogsb,1,40.2,9.7,2022-08-27T18:00:43.890Z,2022-09-04T18:53:17Z,3736523779,213,2.3,3736523773,140,31.0,3736523775,141,25.9,3736523769,56,Back,3759013559,178,,3736523777,212,14.7,,,,,,,eiarh2kihedqxxoftjyi55td5,Ali Lajami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451798895,9,1,1,0,15,57jcqe38hakh2hfit2zsogsb,1,31.6,26.1,2022-08-27T18:00:46.126Z,2022-09-04T18:53:23Z,3736523911,212,33.8,3736523909,141,75.7,3736523913,213,1.6,3736523915,1,,3736523905,56,Back,3759013857,178,,3736523907,140,30.4,,,,4uyfs1epryrirnq46jttxm6sp,Abdulelah Al Amri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
