id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/12/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist
2466523161,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-10-02T14:28:29.514Z,2022-10-02T15:32:28Z,3814856273,130,5,3815102227,197,1906,3814856277,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814856271,59,"1, 66, 88, 15, 70, 5, 17, 19, 9, 8, 96, 2, 11, 14, 16, 20, 26, 31, 43, 56",3814856267,30,"9vt5q842htj38cblrh1v62qj9, aq8pym2fuweqbkxbbu7hqn0x6, 27jg2mdzgw4bt7l4215hq12sq, dw77jbua2ppd6hru05mlhbetx, 574pdpfxal0lsopnsnz17ciqd, av4e1au7cz1s6rmz5u45l4yjt, a3t7bral3j0l1czbmojwqnob9, 2lkra7wic5b481l7qybjh8lx, 6wjktx17kp8g29h9gw27lwez9, 2i9cy7dt9zn1jz96h61oo2m6t, 1jfxkmks9lci345fiz9z2gfl5, 1nrxtmfkuqg2uz7pvgcgwgj4l, 5muk6frafyj5lj1jdg54z2thx, hki3chjlidmwubff6srauj56, 14dpnweb51v7re2xa3qkpulex, inbrwc7gw6d1z8x60nl0padx, 2rke2vs37xud2tqb5frwmusbt, eetv8nak7fg6paegpiduuk2qx, 2v2v3wzd9pv8j9phh6s0isdn8, 2ibtue1dtek9mwj0fn8cn7jmc",3815102225,194,9vt5q842htj38cblrh1v62qj9,3814856269,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3814856275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466543265,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-10-02T14:46:47.312Z,2022-10-02T15:18:51Z,3814963769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3815105787,197,17129,3814963767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814963761,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3814963755,30,"2r3ppks82lf3a7aycih7rc63t, cpqq8bpr6j13okdcilmwyimtw, 7l1lhluaxnuy4cun3omcva4us, c8sryc7a76ov57x24tv80swr9, 8j0yhxinglb5o5dpe2qd232dx, 95zoygnjudd2lmvc38oyuhwid, 12dv2sa9xm0aedpb13ivl11wp, cm8m8mytnpgldxvoi9or35a09, 9f8pdf7j05xb111c5lunzgvyt, cmijbwv0ine68v0y6kf9cuehh, 8pxv846gct3gjgrknr4glqulm, 1amphiae52a8rzm2ngpzffu21, 7msfk3faesnc4ls6893wdhi0a, 9etkdqceb3wo5zh0oktt0r85w, 2xkudoxz92f1vgbjlsbfum3f9, ofynblpwoiwefv52bgqz30x6, f5eje4do4lvjul2ban3ycraax, cf6l2e5tkglv7decs50666w44, 8ab4hqpw7m6ocphleluf9sicp, de3zx99d8qybnoq7nvlcd7xii",3814963763,59,"1, 15, 31, 18, 4, 14, 7, 24, 3, 10, 8, 5, 6, 9, 17, 36, 44, 49, 77, 99",3815105785,194,8j0yhxinglb5o5dpe2qd232dx,3814963765,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466574125,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2022-10-02T15:23:50.708Z,2022-10-02T15:23:53Z,3815128191,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466574117,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-10-02T15:23:50.708Z,2022-10-19T12:06:03Z,3815128155,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466574201,3,1,1,0,0,c9swyor08g9pedxpe3n321svu,1,49.8,50.3,2022-10-02T15:23:50.766Z,2022-10-08T17:43:27Z,3815128491,279,S,3815128483,140,36.9,3815128489,213,2.9,3815128487,212,14.1,3815128481,56,Back,3828804373,178,,3815128485,141,56.0,,,,6wjktx17kp8g29h9gw27lwez9,O. Ighalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466574209,4,1,1,0,1,c9swyor08g9pedxpe3n321svu,1,36.4,56,2022-10-02T15:23:52.007Z,2022-10-08T17:43:41Z,3815128521,140,48.4,3815128531,213,6.1,3815128527,212,12.9,3815128523,141,51.8,3815128517,56,Back,3828805693,178,,,,,,,,2i9cy7dt9zn1jz96h61oo2m6t,Abdullah Otayf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466574245,5,1,1,0,2,c9swyor08g9pedxpe3n321svu,1,48.4,51.8,2022-10-02T15:23:53.252Z,2022-10-08T17:43:48Z,3815128711,212,4.7,3815128705,56,Back,3828806389,178,,3815128715,213,4.3,3815128707,140,46.5,3815128709,141,45.5,,,,,,,6wjktx17kp8g29h9gw27lwez9,O. Ighalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466574299,6,1,1,0,4,c9swyor08g9pedxpe3n321svu,1,45.8,44.5,2022-10-02T15:23:55.493Z,2022-10-08T17:43:54Z,3815129035,56,Back,3828807067,178,,3815129037,140,44.9,3815129041,212,19.3,3815129039,141,72.9,3815129043,213,1.6,,,,,,,dw77jbua2ppd6hru05mlhbetx,Matheus Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466574311,7,1,1,0,7,c9swyor08g9pedxpe3n321svu,1,48.1,81.7,2022-10-02T15:23:58.638Z,2022-10-08T17:43:58Z,3815129135,141,91.5,3828807519,178,,3815129131,56,Left,3815129137,212,10.4,3815129139,213,0.7,3815129133,140,55.7,,,,,,,2lkra7wic5b481l7qybjh8lx,A. Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466574331,8,1,1,0,9,c9swyor08g9pedxpe3n321svu,1,55.9,93.2,2022-10-02T15:24:00.566Z,2022-10-08T17:44:03Z,3815129257,140,54.1,3815129259,141,92.3,3828808015,178,,3815129255,56,Left,3815129263,213,3.5,3815129261,212,2.0,,,,,,,27jg2mdzgw4bt7l4215hq12sq,Hamad Al Yami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
