id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/13/value,qualifier/15/value,qualifier/12/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2496730589,1,34,16,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-01-12T11:29:54.524Z,2023-01-12T12:40:26Z,3974483249,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3974483243,130,2,3974483237,30,"jzdzefumhn1ch49i21rc2385, 85oc68xls37jerkaimzc1lv8q, 7tct6lamqw703ndfo60ruh6fp, 6w77bixcwoy3qlg568od8wr9, eznzwuryd9khv90y1it9dey1h, 6y9gieuehyt2l41jeh0cucrmd, chedaa8t6qan96a525uhvo8wk, 6b717wlx0q8d73hsbgsp90no5, cee8klv6kur6xp1v57uikihg5, 3a2ef34105eqoes4s6zu1310p, etvu2javyjbzekaw2ro994iqd, 4oiynjwt22nwpmy0oyx5q6jh0, d9pwgddm81gw3caq3njscahud, 3qjdcqc4mo21w0au4rveeenkl, 41re9c0uwnzb5v3nkmxi6azmx, 2h2r99zztgquxzs5it347aitx, d1r8a51ycc0mcd245hpn9vp5g, 73sjrd456fd075zz1gmoutpuc, 6c553nvfijiwgxysc69p1747o, cvlg8sqmyklrh34h1dbad8s9g",3974483241,59,"26, 2, 25, 12, 24, 17, 77, 6, 28, 9, 8, 3, 14, 16, 22, 27, 29, 83, 88, 99",3974483245,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3974483247,197,615,3974502113,194,6y9gieuehyt2l41jeh0cucrmd,3974483239,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496732747,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-01-12T11:50:24.299Z,2023-01-12T12:29:11Z,3974493495,130,11,3974502107,197,3238,3974493497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3974493489,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, d597taqcmedln0e50xgdyt8gk, 9kbzdpxg4ud1m8wppt1s1roq, 1x2kly8qv2vxujs6d0tgdt0id, 9brcp1e0kz59x1g4j73a54m50, 1imyf62l4rk4oyith29w5bhzp, a7sgm3cmjoxjjxanrad02l2lm, bia0lpc5wkxjcyc92d12apas5, 6q8kbaw3h6n77ekwl6fr0e9qt, 7rno5g3b18rzi95yfx6u9bs9h, bzvpk1shkgjuuzmr0e7mrfaad, dpuogllbip7f2jpamgohjkfyt, aervyzt3cfxxktpj81yjxo9d6, 3ps4l9x2ndwkypm1y4z6h5uxh, 8hw7lxbdh3zllchj5arfyc8np, dvt8h9sh00qsqzhrb3y4fco9h, 591kms3hpu9j70pl9an3kfx90, 1li4roqq55x7nss4ufnjt321g, c12jn6s39vsx86muur0cv16hg",3974493499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3974493493,59,"48, 2, 12, 70, 32, 5, 7, 6, 99, 11, 27, 1, 4, 8, 13, 17, 18, 20, 24, 49",3974502131,194,1imyf62l4rk4oyith29w5bhzp,3974493491,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496734903,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-01-12T12:30:29.825Z,2023-01-12T12:30:30Z,3974502195,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496734905,2,32,1,0,0,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-01-12T12:30:29.825Z,2023-01-14T02:40:04Z,3974502197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496734907,3,1,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,50.1,50.1,2023-01-12T12:30:29.850Z,2023-01-19T07:18:41Z,3974502201,140,41.8,3976327213,178,,3974502203,141,60.3,3974502199,56,Back,3974502209,279,S,3974502205,212,11.1,3974502207,213,2.5,,,,bia0lpc5wkxjcyc92d12apas5,R. Quaison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496734909,4,1,1,0,1,7dkxxicrwn77jpdfkwpnlnnyn,1,41.8,60.3,2023-01-12T12:30:30.999Z,2023-01-14T10:30:05Z,3974502213,56,Back,3974502219,212,37.3,3976327833,178,,3974502215,140,37.6,3974502217,141,5.8,3974502221,213,4.6,3974502223,1,,,,,a7sgm3cmjoxjjxanrad02l2lm,Ibrahim Mahnashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496734911,5,1,1,0,4,7dkxxicrwn77jpdfkwpnlnnyn,1,37.6,5.8,2023-01-12T12:30:34.323Z,2023-01-14T10:30:11Z,3974502233,212,17.5,3976328009,178,,3974502231,141,23.6,3974502227,56,Back,3974502235,213,2.4,3974502229,140,25.5,,,,,,,2xoesy83pz2opdvnkdbraacph,Saeed Al Muwallad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496734913,6,1,1,0,7,7dkxxicrwn77jpdfkwpnlnnyn,1,25.2,23.7,2023-01-12T12:30:36.843Z,2023-01-14T10:30:17Z,3974502243,141,52.4,3974502241,140,4.4,3974502245,212,29.3,3974502247,213,2.4,3976328223,178,,3974502239,56,Back,,,,,,,9brcp1e0kz59x1g4j73a54m50,Saad Al Mosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496734917,7,1,1,0,10,7dkxxicrwn77jpdfkwpnlnnyn,0,4.1,57.3,2023-01-12T12:30:40.749Z,2023-01-14T10:31:01Z,3974502265,213,0.5,3974502259,140,40.4,3974502267,1,,3976329265,178,,3974502263,212,44.3,3974502255,157,,3974502257,56,Back,3974502261,141,90.6,77988i6l4je97ycm9rthdims5,Paulo Victor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496734919,8,44,1,0,14,7dkxxicrwn77jpdfkwpnlnnyn,1,40,87,2023-01-12T12:30:43.995Z,2023-01-14T12:32:29Z,3974502273,285,,3974502271,56,Back,3974502337,233,3,,,,,,,,,,,,,,,,7rno5g3b18rzi95yfx6u9bs9h,Vitinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
