id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,keyPass,qualifier/16/value,assist
2491467839,1,34,16,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-12-15T11:34:22.786Z,2022-12-15T12:35:27Z,3946671465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3946760631,197,960,3946671461,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3946671445,30,"8i6yz8rk72m7ovjuxjn0vcxqt, 6ry2ngrlp71y0q57zgz6wu2y2, axq2a1kfogeahtcdulwezvdre, 4k6v874ygp633amqtbp1g9nth, 94pujujlsh98axp2fdflycahg, anje77akol69g67tssc9p2bpx, 7q7awmtwv66htmei0xy1hzdn9, 2cso52su6r9afugn6mhw2bl9m, 22cd6gzfwo341qai1o6014251, 73n9fjkvpac4i2s9kn6j86evp, dqqj2g1jdn57o1j12ycaa2a96, 4xf79nz0hvi8o83ta08cftffu, 3par6lcu330qnblngnl7b209h, 5sjuufrdq1rx6senkjjgtimsp, 602ni3z01educzy1qx0cuvzai, ds9mymwdsucrwhkrwxpe2ymll, c5qx29j7n98wz29hkhtk377it, b2klrrbklz788iu4vd46j0e3u, 6utme8y4gczf6sbj4btikmm8k, 6k45sak4jgjqew0dpkcil4hyh",3946671455,59,"1, 27, 16, 8, 13, 4, 15, 99, 9, 10, 11, 2, 3, 6, 14, 17, 20, 58, 77, 96",3946671463,194,6ry2ngrlp71y0q57zgz6wu2y2,3946671451,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3946671459,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491469323,1,34,16,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2022-12-15T11:37:53.115Z,2022-12-15T12:51:18Z,3946679347,194,d3hiwrqyxc7ff8vlwk35tnsru,3946679335,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3946679345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3946760697,197,6685,3946679333,30,"5hewtfw3vtddu8u3qmueyv4yd, dr0tmxtk2sx5am4xmm6qw72ll, 483s97qezyiz91n8qzwjd7uuh, 7qmg0s07y1tkthgu8zwa599ed, d3hiwrqyxc7ff8vlwk35tnsru, 9vsqe0uy76u157na942hdokx5, 5zmh9fz8vr0jcgt8zic0vyve2, 61u0tfe67undvqqutes55k2xh, cd3zg2t4cq4ghoh61kri7vaad, beeunz2xxmos83md5kmsy4hqt, 9k81fwyq8bbyhckt5t80fvwet, 85paqhbw10m5ra3set109qz9, dozljiegaplgkxwywguqomeei, 9psac5vq3c7li645yxsaglo0l, 576sxo24s5ktc0t9chfh9v4d1, dybfeu5czibo3vri357z8yrpx, 9q7c1bn4dgyhoqto46puqeevp, azjpcg32pigro8iunnll88wyd, arqaprcadqfrz0tj3iouo98t1, 1dtpzd3m6rhsrc1vk1ddzk2jt",3946679337,59,"88, 80, 3, 33, 4, 22, 18, 37, 9, 10, 27, 1, 6, 11, 17, 19, 23, 26, 66, 98",3946679349,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3946679341,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491485313,2,32,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-12-15T12:32:23.374Z,2022-12-17T04:38:33Z,3946766719,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491485309,2,32,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,0,0,2022-12-15T12:32:23.374Z,2022-12-15T12:32:23Z,3946766705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491485319,3,1,1,0,0,ebcxfnmnxrxvv6lcjsahgd38j,1,50.2,49.9,2022-12-15T12:32:23.385Z,2022-12-17T05:34:01Z,3946766745,140,37.7,3946766753,279,S,3946766749,212,13.2,3949372819,178,,3946766751,213,3.2,3946766747,141,48.2,3946766743,56,Back,,,,cd3zg2t4cq4ghoh61kri7vaad,A. Nwakaeme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491485327,4,1,1,0,1,ebcxfnmnxrxvv6lcjsahgd38j,1,37.7,48.2,2022-12-15T12:32:25.228Z,2022-12-17T05:34:05Z,3946766793,56,Back,3946766797,141,72.0,3949372841,178,,3946766799,212,16.5,3946766795,140,34.5,3946766801,213,1.8,,,,,,,61u0tfe67undvqqutes55k2xh,Ricardo Ryller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491485339,5,1,1,0,4,ebcxfnmnxrxvv6lcjsahgd38j,1,35.9,74.8,2022-12-15T12:32:28.352Z,2022-12-17T05:34:08Z,3946766877,141,94.7,3946766873,56,Back,3946766881,213,1.6,3946766875,140,35.1,3949372863,178,,3946766879,212,13.6,,,,,,,beeunz2xxmos83md5kmsy4hqt,Víctor Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491485361,6,1,1,0,7,ebcxfnmnxrxvv6lcjsahgd38j,1,39.3,93.5,2022-12-15T12:32:30.583Z,2022-12-17T05:34:12Z,3946766987,141,74.4,3949372867,178,,3946766983,56,Back,3946766985,140,26.9,3946766989,212,18.4,3946766991,213,3.9,,,,,,,483s97qezyiz91n8qzwjd7uuh,Bandar Nasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491485365,7,1,1,0,9,ebcxfnmnxrxvv6lcjsahgd38j,1,26.4,73.6,2022-12-15T12:32:33.369Z,2022-12-17T05:34:15Z,3946767007,213,4.7,3949372879,178,,3946766999,56,Back,3946767003,141,51.3,3946767005,212,15.2,3946767001,140,25.5,,,,,,,7qmg0s07y1tkthgu8zwa599ed,Hussain Al Shuwaish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491485387,8,1,1,0,12,ebcxfnmnxrxvv6lcjsahgd38j,1,25.5,51.3,2022-12-15T12:32:35.971Z,2022-12-17T05:34:19Z,3949372885,178,,3946767133,141,66.1,3946767137,213,0.9,3946767131,140,33.0,3946767129,56,Back,3946767135,212,12.8,,,,,,,d3hiwrqyxc7ff8vlwk35tnsru,Sami Al Khaibari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
