id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/9/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/13/value,qualifier/17/value,qualifier/19/value
2514987357,8,1,1,0,12,o1iwuxbv233ayidxpibbxy59,1,59.8,66.6,2023-03-04T13:01:28.374Z,2023-03-24T21:44:10Z,4070598035,141,87.0,4121948741,178,,4070598037,212,17.2,4070598033,140,69.5,4070598031,56,Left,4070598039,213,0.9,,,,,,,2xkudoxz92f1vgbjlsbfum3f9,A. Gamarra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987353,3,43,1,0,16,4djrvao40r1vgr4psfl5dzc80,1,0,0,2023-03-04T13:01:32.665Z,2023-03-07T13:57:09Z,4070598023,56,Back,4080536517,144,8,,,,,,,,,,,,,,,,,,,1fypwti6kn4ae12fc9outj845,H. Soudani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516864227,734,1,1,0,16,o1iwuxbv233ayidxpibbxy59,0,73.3,88.5,2023-03-04T13:01:32.797Z,2023-03-24T21:44:18Z,4121948897,178,,4080535265,140,82.1,4080535263,56,Left,4080535267,141,86.4,4080535269,212,9.3,4080535271,213,6.1,,,,,,,8pxv846gct3gjgrknr4glqulm,Sumayhan Al Nabit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987367,4,49,1,0,16,4djrvao40r1vgr4psfl5dzc80,1,17.8,11.4,2023-03-04T13:01:33.274Z,2023-03-24T21:44:31Z,,,,,,,,,,,,,,,,,,,,,,,,,cp8kbj12wth398bnglywepk9,Ibrahim Al Nakhli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987403,5,1,1,0,19,4djrvao40r1vgr4psfl5dzc80,1,15.8,22.2,2023-03-04T13:01:35.917Z,2023-03-24T21:44:36Z,4070598259,140,24.0,4121949461,178,,4070598261,141,38.6,4070598263,212,14.1,4070598257,56,Back,4070598265,213,0.9,,,,,,,cp8kbj12wth398bnglywepk9,Ibrahim Al Nakhli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987417,6,1,1,0,21,4djrvao40r1vgr4psfl5dzc80,0,24,38.6,2023-03-04T13:01:37.669Z,2023-03-24T21:44:41Z,4070598359,56,Back,4070598361,140,31.4,4070598367,213,1.1,4070598363,141,60.8,4070598365,212,17.0,4121949517,178,,,,,,,,cgwl99clcp8j1z4tq5n0bh9ed,A. Maher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524338535,1353,67,1,0,22,o1iwuxbv233ayidxpibbxy59,1,67.2,36.2,2023-03-04T13:01:39.284Z,2023-03-25T10:54:29Z,4122379115,233,1535,,,,,,,,,,,,,,,,,,,,,,7msfk3faesnc4ls6893wdhi0a,Mohammed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524338531,1535,67,1,0,22,4djrvao40r1vgr4psfl5dzc80,0,32.8,63.8,2023-03-04T13:01:39.285Z,2023-03-25T09:24:25Z,4122379127,233,1353,,,,,,,,,,,,,,,,,,,,,,5x2mcnjeclk64b5l9o2h4d5g5,Mansour Hamzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514987421,9,8,1,0,23,o1iwuxbv233ayidxpibbxy59,1,68.2,30,2023-03-04T13:01:39.325Z,2023-03-25T10:54:29Z,4070598373,56,Center,4121949619,178,,4080552243,384,,,,,,,,,,,,,,,,,7msfk3faesnc4ls6893wdhi0a,Mohammed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516867397,735,49,1,0,24,o1iwuxbv233ayidxpibbxy59,1,69.5,34.3,2023-03-04T13:01:40.789Z,2023-03-24T21:44:54Z,,,,,,,,,,,,,,,,,,,,,,,,,12dv2sa9xm0aedpb13ivl11wp,Fahad Al Rashidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
