id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/13/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value
2494311705,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-12-31T11:29:11.796Z,2022-12-31T14:00:00Z,3961801473,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3961801471,30,"7qirhp2v0034pkiwvnmsfd785, 9o288vygjpcv3noeqnrnqh3ah, bgac6td6x8qi2o7o5ofrj3t1x, dp5fmyett2g7fvus88m85fsut, bwew6i3fnis40s77t3e3sal0p, jm8cn996mibk0hwauxvsb1lh, 6msbre1fcjcrvqyzoozo43sb8, btjt8zqd248l6mk9b2obdsr1l, bvmo38wfbtnrk5hdbxgczkzpx, 483n2f7a1xkseruh77bj7rxed, 6fy868uh27umb1dafjy7tk2xh, dxy1gb64e1hokq26qqnigirpx, 17rl734wbbzbxvj33id7j9l62, 97gy3oursbjphkf5t85x9wy96, 1qt77p34tr6jf5vl5pzbh8zfu, 61o0q05smyp280htj5g3og5xw, c706bwqqpdkdk2zqzmop9wm39, 4jspfn1jca5yzxbhn8p2p06ax, embrr58160gq57nfexeif3xsl, 2ycm47qi7qr17i31a8f6oq9gq",3961832207,197,15478,3961801479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961801477,130,8,3961801475,59,"16, 39, 31, 8, 19, 3, 18, 89, 20, 10, 7, 4, 9, 13, 14, 15, 21, 33, 77, 88",3961801481,194,jm8cn996mibk0hwauxvsb1lh,3961801483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494312229,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2022-12-31T11:32:26.311Z,2022-12-31T12:33:48Z,3961803439,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3961803447,194,4upzspmuautmtl51yxe3kva39,3961803445,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961803437,30,"5il4uc7d941ndwjl0qu97y7dh, 8g2nbo0z5g733zb4wzuo2390q, bg3kdsod1j0u3yk1jw5ndu9sk, 6lpj04km1rma60n8l66q0hd5h, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, 1omzj46rrvsev6v03nd72dgwl, emkg78pm7xdjkkt2w0yd8vh79, aatjvj13ffwrj81vcfy68fnit, 1cpbxhov5ypi6ez7k09oxo5w5, 29i4ruk1vkwrl1w9vg9ggqpqt, eqdev00exzhrls89wj77cdzp, du6wgayjqw7jqjh770c43vvmd, 79n11s84csv7ur8atv9qbi3o4, d3sjamk5urj3zpdece4bopadx, dertlfklisnxnba0zl5lpp7u1, 56umgnm066b18r5v5m7xduead, 38qgiazulsyaxmvqqrdjlw2l0, 7us8hoqv66v0fqos94zxijk2y, dfp7gtib09b9l0bdqfl89m356",3961803441,59,"34, 13, 12, 10, 20, 26, 24, 3, 9, 90, 17, 5, 11, 14, 21, 27, 33, 36, 70, 95",3961803443,130,8,3961803449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3961832253,197,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320257,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-12-31T12:30:58.682Z,2023-01-04T20:14:56Z,3961834537,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320261,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2022-12-31T12:30:58.682Z,2022-12-31T12:30:59Z,3961834545,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320273,3,1,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,49.9,49.9,2022-12-31T12:30:58.768Z,2023-01-05T06:44:25Z,3961834609,279,S,3961834601,140,40.4,3961834603,141,66.3,3961834607,213,2.3,3961834605,212,15.0,3961834599,56,Back,3966183243,178,,,,,483n2f7a1xkseruh77bj7rxed,S. Bguir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320279,4,1,1,0,2,d47tf49ishm9qnfd8zyc8wv0j,1,40.4,64.6,2022-12-31T12:31:01.464Z,2023-01-05T06:44:30Z,3966183291,178,,3961834635,212,29.8,3961834637,213,4.1,3961834629,56,Back,3961834631,140,24.5,3961834633,141,28.3,,,,,,,dp5fmyett2g7fvus88m85fsut,U. Matić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320293,5,1,1,0,6,d47tf49ishm9qnfd8zyc8wv0j,1,24.5,25.2,2022-12-31T12:31:04.790Z,2023-01-05T06:44:39Z,3961834745,213,5.1,3966183371,178,,3961834739,140,28.6,3961834743,212,12.8,3961834741,141,7.4,3961834737,56,Back,,,,,,,bwew6i3fnis40s77t3e3sal0p,A. Atouchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320301,6,1,1,0,8,d47tf49ishm9qnfd8zyc8wv0j,0,28.4,7.4,2022-12-31T12:31:07.351Z,2023-01-05T06:44:44Z,3961834819,141,34.3,3961834823,213,0.4,3961834813,155,,3961834821,212,51.7,3961834815,56,Center,3961834817,140,74.5,3961834825,1,,3966183415,178,,9o288vygjpcv3noeqnrnqh3ah,Saeed Al Hamsal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320305,3,49,1,0,13,2kzl64gp8x37bon8tyxojqrr1,1,25.2,68.3,2022-12-31T12:31:12.140Z,2023-01-05T06:44:58Z,,,,,,,,,,,,,,,,,,,,,,,,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494320317,4,1,1,0,13,2kzl64gp8x37bon8tyxojqrr1,0,25.2,68.3,2022-12-31T12:31:12.240Z,2023-01-05T06:45:02Z,3961834875,1,,3961834865,56,Center,3961834867,140,64.9,3961834873,213,5.7,3961834871,212,49.6,3961834863,157,,3961834869,141,28.8,3966183609,178,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
