id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2498842251,9,1,1,0,17,aekjg4wbxaixtwu4aicmiju92,1,74.7,6.5,2023-01-20T15:00:32.901Z,2023-02-10T04:18:50Z,3985657929,141,24.4,3985657925,56,Center,3985657927,140,59.9,4021839637,178,,3985657933,213,2.5,3985657931,212,19.7,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842253,10,61,1,0,19,aekjg4wbxaixtwu4aicmiju92,1,59.9,24.4,2023-01-20T15:00:34.080Z,2023-02-10T04:18:57Z,3985657937,56,Center,4021839697,178,,,,,,,,,,,,,,,,,,,,6b717wlx0q8d73hsbgsp90no5,Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842259,11,1,1,0,22,aekjg4wbxaixtwu4aicmiju92,1,57.7,17.9,2023-01-20T15:00:36.999Z,2023-02-10T04:19:06Z,3985657957,56,Right,3985657963,212,2.7,3985657959,140,59.6,3985657961,141,20.5,4021839771,178,,3985657965,213,0.7,,,,,,,eznzwuryd9khv90y1it9dey1h,Ammar Al Duhaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842263,12,1,1,0,22,aekjg4wbxaixtwu4aicmiju92,1,59.6,20.5,2023-01-20T15:00:37.944Z,2023-02-10T04:19:12Z,3985657999,140,67.9,3985657997,56,Right,3985658005,213,5.4,3985658001,141,4.7,3985658003,212,13.8,4021839827,178,,,,,,,,6b717wlx0q8d73hsbgsp90no5,Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842267,13,1,1,0,25,aekjg4wbxaixtwu4aicmiju92,0,67.9,4.7,2023-01-20T15:00:40.172Z,2023-02-10T04:19:18Z,4021839883,178,,3985658033,212,23.8,3985658031,141,35.8,3985658027,56,Center,3985658029,140,78.4,3985658025,155,,3985658035,213,1.1,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842273,3,8,1,0,26,4djrvao40r1vgr4psfl5dzc80,1,21.5,53,2023-01-20T15:00:41.601Z,2023-02-10T04:19:25Z,3985658063,56,Back,3992233479,15,,4021839967,178,,3992233389,385,,,,,,,,,,,,,,5376r1hbhrywje7cys1vcyb4l,F. Chafaï,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842275,4,49,1,0,30,4djrvao40r1vgr4psfl5dzc80,1,53.6,38.8,2023-01-20T15:00:45.912Z,2023-02-10T04:19:34Z,,,,,,,,,,,,,,,,,,,,,,,,,8cfopdu7tyfve6iu3sinme1gp,Bruno Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842299,5,1,1,0,31,4djrvao40r1vgr4psfl5dzc80,1,53.6,38.8,2023-01-20T15:00:45.987Z,2023-02-10T04:19:39Z,3985658185,213,4.9,4021840085,178,,3985658179,140,56.0,3985658177,56,Right,3985658181,141,15.6,3985658183,212,16.0,,,,,,,8cfopdu7tyfve6iu3sinme1gp,Bruno Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842305,6,1,1,0,34,4djrvao40r1vgr4psfl5dzc80,1,65.3,12.5,2023-01-20T15:00:49.859Z,2023-02-10T04:19:44Z,3985658231,213,6.2,3985658223,56,Right,4021840125,178,,3985658225,140,85.2,3985658229,212,21.0,3985658227,141,9.4,,,,,,,1fypwti6kn4ae12fc9outj845,H. Soudani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842331,7,1,1,0,39,4djrvao40r1vgr4psfl5dzc80,1,85.4,9.2,2023-01-20T15:00:54.533Z,2023-02-10T04:19:49Z,3985658391,140,62.5,3985658393,141,24.3,3985658389,56,Center,4021840189,178,,3985658395,212,26.1,3985658397,213,2.7,,,,,,,8cfopdu7tyfve6iu3sinme1gp,Bruno Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842345,8,1,1,0,42,4djrvao40r1vgr4psfl5dzc80,1,62.5,24.3,2023-01-20T15:00:57.090Z,2023-02-10T04:19:55Z,3985658487,141,34.5,3985658489,212,8.1,3985658485,140,66.4,4021840229,178,,3985658491,213,1.0,3985658483,56,Center,,,,,,,cgwl99clcp8j1z4tq5n0bh9ed,A. Maher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842353,9,1,1,0,44,4djrvao40r1vgr4psfl5dzc80,1,66.4,34.5,2023-01-20T15:00:59.629Z,2023-02-10T04:19:59Z,3985658539,213,2.0,3985658535,141,49.7,3985658537,212,11.2,4021840265,178,,3985658531,56,Center,3985658533,140,62.2,,,,,,,6yga33ui0heg0zkpe4r3kznmy,Abdulelah Al Shammry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842369,10,1,1,0,47,4djrvao40r1vgr4psfl5dzc80,1,62.2,49.7,2023-01-20T15:01:02.262Z,2023-02-10T04:20:03Z,3985658615,212,27.9,3985658617,213,1.3,3985658611,140,68.2,3985658613,141,89.6,4021840295,178,,3985658609,56,Left,,,,,,,cgwl99clcp8j1z4tq5n0bh9ed,A. Maher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842383,11,1,1,0,50,4djrvao40r1vgr4psfl5dzc80,0,68.2,89.6,2023-01-20T15:01:05.422Z,2023-02-10T04:20:06Z,3985658669,2,,3985658683,1,,3985658681,213,5.2,3985658677,141,37.1,3992234849,224,,3985658675,140,88.3,3985658679,212,41.5,3985658671,155,,820fen2dxh3d2zmcbn9ak0u6t,Abdullah Al Ammar,3985658673,56,Center,3992234851,72,4021840311,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842389,14,12,1,0,53,aekjg4wbxaixtwu4aicmiju92,1,9.7,65,2023-01-20T15:01:08.246Z,2023-02-10T04:20:12Z,4021840361,388,,3985658719,15,,3985658713,213,5.9,3985658711,212,15.9,3985658705,56,Back,3985658709,141,56.4,3985658707,140,23.8,,,,7tct6lamqw703ndfo60ruh6fp,Tawfiq Buhumaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842395,12,61,1,0,54,4djrvao40r1vgr4psfl5dzc80,0,72,44.2,2023-01-20T15:01:09.527Z,2023-02-10T04:20:22Z,4021840427,178,,3985658733,56,Center,,,,,,,,,,,,,,,,,,,6yga33ui0heg0zkpe4r3kznmy,Abdulelah Al Shammry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842397,15,49,1,0,55,aekjg4wbxaixtwu4aicmiju92,1,23,51.3,2023-01-20T15:01:10.536Z,2023-02-10T04:20:27Z,,,,,,,,,,,,,,,,,,,,,,,,,6b717wlx0q8d73hsbgsp90no5,Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842407,16,1,1,0,55,aekjg4wbxaixtwu4aicmiju92,1,23,51.3,2023-01-20T15:01:10.582Z,2023-02-10T04:20:30Z,4021840489,178,,3985658769,212,5.0,3985658765,140,24.9,3985658767,141,58.1,3985658763,56,Back,3985658771,213,1.2,,,,,,,6b717wlx0q8d73hsbgsp90no5,Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842435,17,1,1,0,57,aekjg4wbxaixtwu4aicmiju92,1,24.9,58.1,2023-01-20T15:01:12.171Z,2023-02-10T04:20:33Z,3985658939,56,Back,3985658947,213,5.5,3985658945,212,21.1,4021840517,178,,3985658943,141,36.2,3985658941,140,39.1,,,,,,,6w77bixcwoy3qlg568od8wr9,Majed Kanabah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842437,18,4,1,1,1,aekjg4wbxaixtwu4aicmiju92,1,39.5,35.5,2023-01-20T15:01:16.558Z,2023-02-10T04:20:41Z,3985658955,152,,3985658959,286,,3985658957,265,,3985659033,233,13,3985658953,56,Back,3985658951,13,,,,,,,,aqe0o77dv6114gsbpw3t1iymt,M. Batna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842447,13,4,1,1,1,4djrvao40r1vgr4psfl5dzc80,0,60.5,64.5,2023-01-20T15:01:16.559Z,2023-02-10T04:20:41Z,4021840555,178,,3985659011,13,,3985659013,56,Center,3985659051,233,18,3985659015,152,,3985659019,285,,3985659017,265,,,,,evyk938tt0eebkhxrwejaonv9,D. Antolić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500089057,839,1,1,1,22,aekjg4wbxaixtwu4aicmiju92,1,46.4,48.4,2023-01-20T15:01:37.038Z,2023-02-10T04:20:49Z,3992237337,152,,3992237335,5,,3992237227,141,39.5,3992237225,140,36.1,3992237229,212,12.4,4021840613,178,,3992237223,56,Back,3992237231,213,3.7,6b717wlx0q8d73hsbgsp90no5,Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842521,19,1,1,1,24,aekjg4wbxaixtwu4aicmiju92,1,38.2,37.3,2023-01-20T15:01:39.238Z,2023-02-10T04:20:55Z,3985659451,140,38.9,3985659453,141,72.2,4021840659,178,,3985659455,212,23.7,3985659449,56,Back,3985659457,213,1.5,,,,,,,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842545,20,1,1,1,27,aekjg4wbxaixtwu4aicmiju92,1,40.1,72.6,2023-01-20T15:01:42.452Z,2023-02-10T04:20:59Z,3985659585,213,6.0,3985659579,140,55.9,4021840683,178,,3985659577,56,Center,3985659581,141,66.6,3985659583,212,17.1,,,,,,,mnfpjrfb77nre55z4ha7b9p1,Fran Vélez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842553,21,1,1,1,32,aekjg4wbxaixtwu4aicmiju92,1,52.6,59.3,2023-01-20T15:01:47.314Z,2023-02-10T04:21:03Z,3985659633,140,51.3,3985659631,56,Center,4021840709,178,,3985659635,141,36.5,3985659639,213,4.6,3985659637,212,15.6,,,,,,,6w77bixcwoy3qlg568od8wr9,Majed Kanabah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842567,22,1,1,1,34,aekjg4wbxaixtwu4aicmiju92,1,51.3,36.5,2023-01-20T15:01:49.264Z,2023-02-10T04:21:06Z,3985659737,141,19.1,3985659735,140,42.5,3985659739,212,15.0,4021840761,178,,3985659733,56,Back,3985659741,213,4.0,,,,,,,cee8klv6kur6xp1v57uikihg5,S. Bendebka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842587,23,1,1,1,37,aekjg4wbxaixtwu4aicmiju92,1,42.2,20.8,2023-01-20T15:01:52.087Z,2023-02-10T04:21:21Z,4021840837,178,,3985659853,141,31.1,3985659851,140,41.7,3985659855,212,7.0,3985659857,213,1.6,3985659849,56,Back,,,,,,,eznzwuryd9khv90y1it9dey1h,Ammar Al Duhaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842591,24,1,1,1,39,aekjg4wbxaixtwu4aicmiju92,1,41.7,31.1,2023-01-20T15:01:54.687Z,2023-02-10T04:21:25Z,4021840849,178,,3985659865,141,22.3,3985659869,213,4.2,3985659867,212,7.0,3985659863,140,38.3,3985659861,56,Back,,,,,,,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842611,25,1,1,1,42,aekjg4wbxaixtwu4aicmiju92,1,38.3,22.3,2023-01-20T15:01:57.139Z,2023-02-10T04:21:28Z,3985659971,212,22.8,3985659973,213,1.9,3985659965,56,Back,3985659969,141,53.9,4021840879,178,,3985659967,140,31.1,,,,,,,eznzwuryd9khv90y1it9dey1h,Ammar Al Duhaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842631,26,1,1,1,45,aekjg4wbxaixtwu4aicmiju92,1,31.1,53.7,2023-01-20T15:02:00.806Z,2023-02-10T04:21:31Z,3985660085,140,65.7,3985660089,212,47.3,4021840887,178,,3985660087,141,9.2,3985660091,213,5.6,3985660093,1,,3985660081,155,,3985660083,56,Right,mnfpjrfb77nre55z4ha7b9p1,Fran Vélez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842637,28,1,1,1,48,aekjg4wbxaixtwu4aicmiju92,0,65.7,9.2,2023-01-20T15:02:03.518Z,2023-02-10T04:21:36Z,3985660117,56,Right,3985660115,168,,3985660125,213,5.5,3985660119,140,72.1,4021840919,388,,3985660123,212,10.0,3985660113,3,,3985660121,141,0.0,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842717,14,5,1,1,50,4djrvao40r1vgr4psfl5dzc80,1,25.8,101.6,2023-01-20T15:02:05.844Z,2023-02-10T04:22:07Z,3985660479,347,,3985660477,56,Back,3985671481,233,29,,,,,,,,,,,,,,,,820fen2dxh3d2zmcbn9ak0u6t,Abdullah Al Ammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842639,29,5,1,1,50,aekjg4wbxaixtwu4aicmiju92,0,74.2,-1.6,2023-01-20T15:02:05.844Z,2023-02-10T04:22:07Z,3985660127,56,Right,3985660129,347,,3985671507,233,14,,,,,,,,,,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842633,27,43,1,1,54,aekjg4wbxaixtwu4aicmiju92,1,0,0,2023-01-20T15:02:09.138Z,2023-01-20T15:09:21Z,3985660097,56,Right,3985671383,144,8,,,,,,,,,,,,,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842729,15,1,1,2,8,4djrvao40r1vgr4psfl5dzc80,1,26.3,100,2023-01-20T15:02:23.908Z,2023-02-10T04:21:59Z,3985660553,107,,3985660557,140,34.4,3985660561,212,10.1,3985660563,213,5.7,3985660559,141,93.6,3985660555,56,Back,,,,,,,820fen2dxh3d2zmcbn9ak0u6t,Abdullah Al Ammar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842745,16,1,1,2,11,4djrvao40r1vgr4psfl5dzc80,0,34.5,93.6,2023-01-20T15:02:26.171Z,2023-02-10T04:22:14Z,3985660651,212,14.0,3985660653,213,5.8,3985660647,140,46.2,3985660649,141,83.6,3985660645,56,Back,4021841067,178,,,,,,,,evyk938tt0eebkhxrwejaonv9,D. Antolić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842753,30,49,1,2,12,aekjg4wbxaixtwu4aicmiju92,1,51.8,14.9,2023-01-20T15:02:27.572Z,2023-02-10T04:22:18Z,,,,,,,,,,,,,,,,,,,,,,,,,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842765,31,1,1,2,13,aekjg4wbxaixtwu4aicmiju92,1,51.8,14.9,2023-01-20T15:02:28.657Z,2023-02-10T04:22:22Z,3985660747,213,5.5,3985660745,212,11.5,3985660743,141,3.1,3985660739,56,Right,3985660741,140,59.7,4021841127,178,,,,,,,,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842781,32,1,1,2,16,aekjg4wbxaixtwu4aicmiju92,1,59.7,3.1,2023-01-20T15:02:31.375Z,2023-02-10T04:22:25Z,3985660817,141,5.9,3985660819,212,4.3,3985660815,140,63.4,4021841167,178,,3985660813,56,Right,3985660821,213,0.5,,,,,,,2h2r99zztgquxzs5it347aitx,Ali Al Zubaidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842799,33,1,1,2,17,aekjg4wbxaixtwu4aicmiju92,1,63.4,5.9,2023-01-20T15:02:32.094Z,2023-02-10T04:22:30Z,3985660917,213,3.3,3985660915,212,16.2,4021841203,178,,3985660909,56,Back,3985660913,141,3.1,3985660911,140,48.1,,,,,,,cee8klv6kur6xp1v57uikihg5,S. Bendebka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842801,34,1,1,2,20,aekjg4wbxaixtwu4aicmiju92,1,48.1,3.1,2023-01-20T15:02:35.032Z,2023-02-10T04:22:35Z,3985660923,140,54.2,3985660921,56,Right,3985660925,141,9.8,3985660929,213,0.6,4021841225,178,,3985660927,212,7.9,,,,,,,eznzwuryd9khv90y1it9dey1h,Ammar Al Duhaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842811,35,1,1,2,22,aekjg4wbxaixtwu4aicmiju92,1,54.2,9.8,2023-01-20T15:02:37.207Z,2023-02-10T04:22:40Z,3985660999,141,5.0,3985660995,56,Right,3985660997,140,57.8,4021841243,178,,3985661003,213,5.6,3985661001,212,5.0,,,,,,,6b717wlx0q8d73hsbgsp90no5,Petros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842819,36,1,1,2,23,aekjg4wbxaixtwu4aicmiju92,1,57.8,5,2023-01-20T15:02:38.736Z,2023-02-10T04:22:46Z,3985661057,212,11.9,3985661055,141,5.5,3985661059,213,3.1,4021841259,178,,3985661051,56,Back,3985661053,140,46.5,,,,,,,cee8klv6kur6xp1v57uikihg5,S. Bendebka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842821,37,1,1,2,25,aekjg4wbxaixtwu4aicmiju92,1,46.5,5.5,2023-01-20T15:02:40.810Z,2023-02-10T04:22:51Z,4021841271,178,,3985661067,141,11.8,3985661069,212,5.9,3985661065,140,42.6,3985661063,56,Back,3985661071,213,2.3,,,,,,,eznzwuryd9khv90y1it9dey1h,Ammar Al Duhaim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498842825,38,2,1,2,28,aekjg4wbxaixtwu4aicmiju92,1,42.6,11.8,2023-01-20T15:02:43.498Z,2023-02-10T04:22:55Z,3985661103,1,,3985661093,56,Right,4021841301,178,,3985661097,141,5.0,3985661323,7,aqe0o77dv6114gsbpw3t1iymt,3985661095,140,81.3,,,,,,,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
