id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,assist,qualifier/18/value,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/17/value
2508376827,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-02-16T16:39:04.553Z,2023-02-16T17:55:20Z,4035700459,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, d597taqcmedln0e50xgdyt8gk, 6q8kbaw3h6n77ekwl6fr0e9qt, 1x2kly8qv2vxujs6d0tgdt0id, 9p1b5iftds5x02tx2eyseaklx, 1imyf62l4rk4oyith29w5bhzp, 5brwa0y63724t6s3y6gtz28yx, dvt8h9sh00qsqzhrb3y4fco9h, 4c540mry6f9esodej103n6xka, 9j37dmdxamf5ykbw9l24wlt6, bzvpk1shkgjuuzmr0e7mrfaad, 9brcp1e0kz59x1g4j73a54m50, a7sgm3cmjoxjjxanrad02l2lm, aervyzt3cfxxktpj81yjxo9d6, 8hw7lxbdh3zllchj5arfyc8np, 9kbzdpxg4ud1m8wppt1s1roq, 1li4roqq55x7nss4ufnjt321g, c12jn6s39vsx86muur0cv16hg, bia0lpc5wkxjcyc92d12apas5",4035700471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4035700461,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4035734029,197,608,4035700463,59,"48, 2, 12, 11, 32, 14, 7, 98, 18, 16, 15, 1, 5, 6, 8, 17, 70, 24, 49, 99",4035700465,130,5,4035700467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4035700469,194,1imyf62l4rk4oyith29w5bhzp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508377199,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-02-16T16:42:34.505Z,2023-02-16T17:31:36Z,4035702697,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4035730775,197,620,4035702691,130,8,4035702693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4035702695,194,4upzspmuautmtl51yxe3kva39,4035702687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4035702689,59,"34, 13, 12, 3, 20, 26, 11, 19, 17, 90, 10, 5, 14, 16, 21, 33, 38, 70, 80, 95",4035702685,30,"5il4uc7d941ndwjl0qu97y7dh, 8g2nbo0z5g733zb4wzuo2390q, bg3kdsod1j0u3yk1jw5ndu9sk, emkg78pm7xdjkkt2w0yd8vh79, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, du6wgayjqw7jqjh770c43vvmd, cfjp3mf7meekpcsx7hjrql79, 29i4ruk1vkwrl1w9vg9ggqpqt, 1cpbxhov5ypi6ez7k09oxo5w5, 6lpj04km1rma60n8l66q0hd5h, eqdev00exzhrls89wj77cdzp, 79n11s84csv7ur8atv9qbi3o4, e6prms9eb7zao76xzfbmdbbx0, d3sjamk5urj3zpdece4bopadx, 56umgnm066b18r5v5m7xduead, 3is4y6lh7y7chpmqtnx02ngno, 7us8hoqv66v0fqos94zxijk2y, 1ow25k1m9n3pf4r5s0erkqw2d, dfp7gtib09b9l0bdqfl89m356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382321,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-02-16T17:30:15.366Z,2023-02-16T19:45:34Z,4035732191,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382323,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-02-16T17:30:15.366Z,2023-02-20T13:14:41Z,4035732193,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382329,3,1,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,50,50,2023-02-16T17:30:15.451Z,2023-03-03T07:10:04Z,4035732231,213,3.4,4035732233,279,S,4067673737,178,,4035732225,140,41.5,4035732223,56,Back,4035732229,212,9.2,4035732227,141,46.5,,,,29i4ruk1vkwrl1w9vg9ggqpqt,Hélder Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382333,4,1,1,0,2,2kzl64gp8x37bon8tyxojqrr1,1,41.4,45.4,2023-02-16T17:30:17.469Z,2023-03-03T07:10:07Z,4035732255,141,38.4,4067673781,178,,4035732251,56,Back,4035732253,140,37.6,4035732259,213,4.0,4035732257,212,6.2,,,,,,,emkg78pm7xdjkkt2w0yd8vh79,Tarek Hamed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382341,5,1,1,0,3,2kzl64gp8x37bon8tyxojqrr1,1,36.5,40.7,2023-02-16T17:30:19.099Z,2023-03-03T07:10:10Z,4035732303,213,2.0,4035732301,212,20.3,4035732295,56,Back,4067673805,178,,4035732297,140,29.0,4035732299,141,68.2,,,,,,,cfjp3mf7meekpcsx7hjrql79,Bruno Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382347,6,1,1,0,7,2kzl64gp8x37bon8tyxojqrr1,1,27.2,65.3,2023-02-16T17:30:22.774Z,2023-03-03T07:10:13Z,4035732329,212,19.7,4035732327,141,36.3,4035732325,140,28.2,4035732323,56,Back,4035732331,213,4.8,4067673819,178,,,,,,,,4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382357,7,1,1,0,12,2kzl64gp8x37bon8tyxojqrr1,1,32.5,28.3,2023-02-16T17:30:27.985Z,2023-03-03T07:10:16Z,4067673847,178,,4035732365,140,31.3,4035732363,56,Back,4035732369,212,10.3,4035732367,141,13.3,4035732371,213,4.6,,,,,,,82t3ag5zwejftjmznthvsjtn9,Ahmed Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382365,8,1,1,0,14,2kzl64gp8x37bon8tyxojqrr1,1,32.3,12.8,2023-02-16T17:30:30.295Z,2023-03-03T07:10:20Z,4035732395,140,35.3,4035732393,56,Back,4035732399,212,7.7,4035732397,141,2.5,4067673881,178,,4035732401,213,5.1,,,,,,,cfjp3mf7meekpcsx7hjrql79,Bruno Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382369,9,1,1,0,16,2kzl64gp8x37bon8tyxojqrr1,0,35.2,2.5,2023-02-16T17:30:31.990Z,2023-03-03T07:10:25Z,4035732423,141,6.9,4035732421,140,51.3,4035732419,56,Right,4035732425,212,17.2,4035732427,213,0.2,4067673929,178,,,,,,,,8g2nbo0z5g733zb4wzuo2390q,Muhannad Al Shanqiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382373,3,61,1,0,17,7dkxxicrwn77jpdfkwpnlnnyn,0,41.1,82.7,2023-02-16T17:30:33.265Z,2023-03-03T07:10:28Z,4035732449,56,Back,4067673967,178,,,,,,,,,,,,,,,,,,,,d597taqcmedln0e50xgdyt8gk,Sanousi Al Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514470987,1428,43,1,0,19,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-02-16T17:30:34.582Z,2023-03-03T10:51:55Z,4067882065,399,165628,4067882605,144,83,,,,,,,,,,,,,,,,,,,d597taqcmedln0e50xgdyt8gk,Sanousi Al Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382375,10,1,1,0,20,2kzl64gp8x37bon8tyxojqrr1,0,43.9,3.1,2023-02-16T17:30:36.096Z,2023-03-03T07:10:38Z,4035732471,212,15.9,4035732473,213,6.1,4035732467,140,58.8,4067674061,178,,4035732469,141,0.0,4035732463,155,,4035732465,56,Right,,,,cfjp3mf7meekpcsx7hjrql79,Bruno Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382407,4,5,1,0,23,7dkxxicrwn77jpdfkwpnlnnyn,1,45.2,101.2,2023-02-16T17:30:38.809Z,2023-03-03T07:10:40Z,4035732689,233,11,4035732687,347,,4035732685,56,Back,,,,,,,,,,,,,,,,d597taqcmedln0e50xgdyt8gk,Sanousi Al Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382379,11,5,1,0,23,2kzl64gp8x37bon8tyxojqrr1,0,54.8,-1.2,2023-02-16T17:30:38.809Z,2023-03-03T07:10:41Z,4035732479,56,Right,4035732481,347,,4035732695,233,4,,,,,,,,,,,,,,,,cfjp3mf7meekpcsx7hjrql79,Bruno Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382413,5,1,1,0,46,7dkxxicrwn77jpdfkwpnlnnyn,1,48.1,100,2023-02-16T17:31:01.703Z,2023-03-03T07:10:44Z,4035732717,56,Back,4035732719,140,43.8,4035732715,107,,4035732725,213,4.1,4035732721,141,91.4,4035732723,212,8.1,,,,,,,d597taqcmedln0e50xgdyt8gk,Sanousi Al Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508382419,6,1,1,0,47,7dkxxicrwn77jpdfkwpnlnnyn,1,43.8,91.4,2023-02-16T17:31:02.806Z,2023-03-03T07:10:51Z,4035732745,140,43.2,4035732743,56,Back,4035732749,212,1.8,4035732747,141,93.9,4067674201,178,,4035732751,213,1.9,,,,,,,4c540mry6f9esodej103n6xka,Faisal Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
