id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2493143875,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-12-25T13:54:04.226Z,2022-12-25T14:59:57Z,3955591581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955650423,194,jm8cn996mibk0hwauxvsb1lh,3955591577,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955591573,130,5,3955591569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955591567,30,"7qirhp2v0034pkiwvnmsfd785, 9o288vygjpcv3noeqnrnqh3ah, bgac6td6x8qi2o7o5ofrj3t1x, btjt8zqd248l6mk9b2obdsr1l, bwew6i3fnis40s77t3e3sal0p, jm8cn996mibk0hwauxvsb1lh, 6msbre1fcjcrvqyzoozo43sb8, dp5fmyett2g7fvus88m85fsut, bvmo38wfbtnrk5hdbxgczkzpx, 483n2f7a1xkseruh77bj7rxed, 6fy868uh27umb1dafjy7tk2xh, dxy1gb64e1hokq26qqnigirpx, 17rl734wbbzbxvj33id7j9l62, 97gy3oursbjphkf5t85x9wy96, 1qt77p34tr6jf5vl5pzbh8zfu, 61o0q05smyp280htj5g3og5xw, 4fkudkcxt03pqaqz58nofkag9, 4jspfn1jca5yzxbhn8p2p06ax, embrr58160gq57nfexeif3xsl, 2ycm47qi7qr17i31a8f6oq9gq",3955591579,197,15478,3955591571,59,"16, 39, 31, 89, 19, 3, 18, 8, 20, 10, 7, 4, 9, 13, 14, 15, 17, 33, 77, 88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493144271,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-12-25T13:56:51.922Z,2022-12-27T15:06:04Z,3955593723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955593727,197,6655,3955593721,130,13,3955593725,194,c3ly1ivtw40f1rjqbbk9ublqt,3955593717,59,"1, 11, 23, 4, 5, 3, 19, 24, 9, 71, 17, 6, 7, 14, 18, 20, 21, 22, 49, 96",3955593731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955593713,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955593709,30,"ajtqeot5t9kv6mrtpdudlwmvp, e81tor86msoqqodyy4xhiu31l, 3km030r7hwsxw849nv0qpaql0, 6yf6ozyy2rpmiy86xno7u0es5, c3ly1ivtw40f1rjqbbk9ublqt, 91e6dbk9uxyui5vbe47zdj6jt, vgyj638vzzteqqyxcdte3sgl, 99h9ihbi9zj82ubnt4pqr3s9h, 9n2zj5201b83mmcm7oomygacq, 2x6zibds9jmaex2mq4o6mj9hx, 98nbel31pgxlifu6s4wqqxjv9, 7h6e2d1wfa89bvqfmhgm2r3kl, aonc1y49ulmolyc47knpwtrtg, 15o6hxjc62wgd0ej4dxtxczpx, 834gxi4ejlhbs4bta8j0kqp78, 9v0ncjrqgandlju8x483181ec, emoaqymruvce71ow6gidqjc6i, 1hf93j1aaylparuteybdwded, idjs50cwxlt56rylhn3znt62, 5zvanazhxnqfi6vwms2xcgsus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493154903,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-12-25T15:00:23.588Z,2022-12-30T08:29:37Z,3955652919,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493154905,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2022-12-25T15:00:23.588Z,2022-12-25T15:00:25Z,3955652921,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493154909,3,1,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,50,50,2022-12-25T15:00:23.612Z,2022-12-30T10:02:33Z,3960459839,178,,3955652937,140,41.8,3955652943,213,2.3,3955652941,212,13.3,3955652935,56,Back,3955652945,279,S,3955652939,141,64.9,,,,9n2zj5201b83mmcm7oomygacq,L. Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493154917,4,1,1,0,2,cq4rdp1mkan8zhaw7bmzjdaqk,1,41.5,66.9,2022-12-25T15:00:26.498Z,2022-12-30T10:02:38Z,3960459895,178,,3955652979,140,31.3,3955652983,212,17.4,3955652985,213,2.2,3955652981,141,87.1,3955652977,56,Back,,,,,,,99h9ihbi9zj82ubnt4pqr3s9h,Hassan Al Habib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493154939,5,1,1,0,6,cq4rdp1mkan8zhaw7bmzjdaqk,1,31.3,86.8,2022-12-25T15:00:29.845Z,2022-12-30T10:02:44Z,3960460057,178,,3955653089,140,26.1,3955653095,212,13.3,3955653091,141,69.0,3955653097,213,4.3,3955653087,56,Back,,,,,,,91e6dbk9uxyui5vbe47zdj6jt,Fahad Al Harbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493154949,6,1,1,0,9,cq4rdp1mkan8zhaw7bmzjdaqk,1,29.4,64.3,2022-12-25T15:00:33.157Z,2022-12-30T10:02:49Z,3960460167,178,,3955653147,212,22.7,3955653143,140,11.4,3955653145,141,45.7,3955653149,213,3.7,3955653141,56,Back,,,,,,,c3ly1ivtw40f1rjqbbk9ublqt,Murtadha Al Burayh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493154961,7,1,1,0,13,cq4rdp1mkan8zhaw7bmzjdaqk,1,10.1,43.9,2022-12-25T15:00:37.585Z,2022-12-30T10:03:02Z,3955653203,141,14.4,3955653207,213,5.9,3955653201,140,54.6,3955653209,1,,3955653205,212,50.8,3955653199,56,Right,3960460451,178,,3955653197,155,,ajtqeot5t9kv6mrtpdudlwmvp,M. Mijatović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493154963,8,44,1,0,16,cq4rdp1mkan8zhaw7bmzjdaqk,1,54.5,12.8,2022-12-25T15:00:39.934Z,2022-12-30T10:35:47Z,3955653217,286,,3955653237,233,3,3955653215,56,Right,,,,,,,,,,,,,,,,2x6zibds9jmaex2mq4o6mj9hx,Á. Plata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
