id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/10/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2454226567,1,34,16,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-09-01T15:10:47.348Z,2022-09-01T16:12:04Z,3749512765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3749512755,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3749542073,197,684,3749512753,30,"6veqhleq95267xca919eg02j9, 6ygvaf7gjckdemde0ec0tem6t, 6yaoc71surv8vh9hjfli7dwid, a04wl977uhtaea8pztvmdag2d, 829ypq99t1vn90xey32mwt7th, 3nahof9wwcvyylv87fjhhpt5h, 6bl8ekn7ahyf7z4ri1cknbnfu, 3kfeazpv3d1wy6e333pudwkid, 9yceimet7wbytfai5ivr0v4k5, 1l0bb9txaodn0kqc5rca35rdh, 7gvqqqfoak5692c4xnrcrqe39, 52gxk6j2kp1i7dkz1w7wfxzsa, 7raap8bz78dmxw9ngo1w73tux, 3akxznb8k4r088rrqbbj04m39, 9ex7z7sbghe3zx17a4u7gsay2, 3q942kxc3baiiwdozn97dgqtx, d21tm0cmhxpy6rq71iyu5yzf9, 5n3pl3j98lkmzzus1b095bkd1, 6f7isvwcywig1hlvfed4q0hgq, 5sni2fs80zc0n2s2u3en54b56",3749512759,130,18,3749512757,59,"1, 10, 27, 28, 12, 19, 44, 88, 82, 17, 9, 4, 6, 8, 14, 18, 23, 25, 45, 74",3749512763,194,6bl8ekn7ahyf7z4ri1cknbnfu,3749512761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454227391,1,34,16,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2022-09-01T15:16:19.898Z,2022-09-01T15:57:12Z,3749517541,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3749517535,130,5,3749541971,197,4607,3749517539,194,bl117o6ogkgnnbv2gl0ozpn85,3749517533,59,"1, 28, 3, 87, 14, 6, 80, 76, 9, 4, 10, 5, 8, 17, 29, 49, 66, 88, 90",3749517531,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3749517529,30,"8qps88s8g1c8xw5uiz5gyh4ut, 84a84u8p0tc4v0rsnwjtdw8np, 3a591b3l0o7ucdb8w72vjz4kp, 5fpfdgzit3468e1a04ooetsr9, 5bd2bm6ukc4u58hd0idimecid, a9yimyxegu9sx46hqvwswjs2d, a9xl33f68np358angkw5o606i, ciw54ghi1jv1xb5dmtv558xjp, aotysrmw0ffmznm2u4ya487o5, bl117o6ogkgnnbv2gl0ozpn85, 2tuivjaotzbx9jv83wi7d5rrp, 29ddbk46e5uzbuxrmmlfr8y6s, asbde52lbf3tbai74qhux8xjp, 2gwlr4pwk004ck0jrgn7z6ytx, bx7lsguu67h38eanl7xf0hclw, c79pr94ulryjygvurdgku45w5, 3hyvs17yubhqv97m863xlduj9, 6wto8d6jcd41bo451wwbjng89, c7da9wqhoce68v0tvfhb4itjo",3749517537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454231661,2,32,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-09-01T16:00:14.134Z,2022-09-10T06:01:10Z,3749543891,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454231669,2,32,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2022-09-01T16:00:14.134Z,2022-09-01T16:00:15Z,3749543925,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454231673,3,1,1,0,0,2xl3g56k2mbuwdbre46s29vt4,1,50,50,2022-09-01T16:00:14.154Z,2022-09-10T09:08:01Z,3749543947,141,60.2,3749543943,56,Back,3749543949,212,22.0,3749543953,279,S,3768538927,178,,3749543951,213,2.8,3749543945,140,30.1,,,,aotysrmw0ffmznm2u4ya487o5,J. Beauguel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454231677,4,1,1,0,2,2xl3g56k2mbuwdbre46s29vt4,1,30.1,60.2,2022-09-01T16:00:16.310Z,2022-09-10T09:08:06Z,3749543977,212,18.1,3749543973,140,34.5,3749543979,213,1.3,3749543971,56,Back,3768539059,178,,3749543975,141,86.0,,,,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454231679,5,1,1,0,4,2xl3g56k2mbuwdbre46s29vt4,1,34.5,86,2022-09-01T16:00:18.399Z,2022-09-10T09:08:11Z,3768539155,178,,3749543987,141,58.4,3749543983,56,Back,3749543989,212,19.8,3749543991,213,4.4,3749543985,140,28.4,,,,,,,3a591b3l0o7ucdb8w72vjz4kp,Abdulelah Al Bukhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457814579,813,43,1,0,7,2xl3g56k2mbuwdbre46s29vt4,1,0,0,2022-09-01T16:00:21.525Z,2022-09-10T10:16:50Z,3768629349,178,0,3768630051,144,82,,,,,,,,,,,,,,,,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454231687,6,1,1,0,8,2xl3g56k2mbuwdbre46s29vt4,1,28.4,58.4,2022-09-01T16:00:22.163Z,2022-09-10T09:08:18Z,3768539263,178,,3749544027,212,24.2,3749544023,140,38.0,3749544029,213,1.1,3749544021,56,Back,3749544025,141,90.8,,,,,,,a9yimyxegu9sx46hqvwswjs2d,Ó. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454231699,7,1,1,0,11,2xl3g56k2mbuwdbre46s29vt4,1,36,91.2,2022-09-01T16:00:25.625Z,2022-09-10T09:08:24Z,3749544085,212,6.2,3749544079,56,Back,3768539359,178,,3749544087,213,0.1,3749544083,141,92.0,3749544081,140,41.9,,,,,,,3a591b3l0o7ucdb8w72vjz4kp,Abdulelah Al Bukhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
