id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,keyPass,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2500970253,6,49,1,7,0,2xl3g56k2mbuwdbre46s29vt4,1,19,40,2023-01-27T17:37:14.729Z,2023-02-16T11:22:38Z,,,,,,,,,,,,,,,,,,,,,,,,,c7da9wqhoce68v0tvfhb4itjo,Hazzaa Ahmed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970273,7,1,1,7,1,2xl3g56k2mbuwdbre46s29vt4,1,19,40,2023-01-27T17:37:16.393Z,2023-02-16T11:22:44Z,3996827771,140,26.9,3996827777,213,5.1,3996827769,56,Back,3996827775,212,20.6,3996827773,141,12.2,4035341293,178,,,,,,,,c7da9wqhoce68v0tvfhb4itjo,Hazzaa Ahmed Al Ghamdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970277,8,61,1,7,2,2xl3g56k2mbuwdbre46s29vt4,0,26.9,12.2,2023-01-27T17:37:17.120Z,2023-02-16T11:22:51Z,3996827793,56,Back,4035341631,178,,,,,,,,,,,,,,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970271,6,5,1,7,6,aekjg4wbxaixtwu4aicmiju92,1,65.1,101.7,2023-01-27T17:37:21.190Z,2023-02-16T11:23:01Z,3996827765,56,Left,3996827857,233,9,3996827767,347,,,,,,,,,,,,,,,,,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970281,9,5,1,7,6,2xl3g56k2mbuwdbre46s29vt4,0,34.9,-1.7,2023-01-27T17:37:21.190Z,2023-02-16T11:23:00Z,3996827821,347,,3996827867,233,6,3996827819,56,Back,,,,,,,,,,,,,,,,7fjkirlsme7wdpjibaw136s4,Islam Hawsawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970377,7,1,1,7,15,aekjg4wbxaixtwu4aicmiju92,1,63.1,100,2023-01-27T17:37:30.029Z,2023-02-16T11:23:06Z,3996828299,213,5.1,3996828295,141,90.5,3996828291,56,Left,3996828293,140,66.2,3996828297,212,8.5,3996828289,107,,,,,,,,7tct6lamqw703ndfo60ruh6fp,Tawfiq Buhumaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970389,8,1,1,7,17,aekjg4wbxaixtwu4aicmiju92,1,62.7,89,2023-01-27T17:37:31.623Z,2023-02-16T11:23:12Z,3996828351,212,14.6,3996828345,56,Center,3996828353,213,3.9,3996828349,141,74.8,4035342197,178,,3996828347,140,52.3,,,,,,,emt3e6x1c9howgtee0hr1hucp,Ayman Al Khulaif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970421,9,1,1,7,20,aekjg4wbxaixtwu4aicmiju92,1,52.3,74.8,2023-01-27T17:37:35.204Z,2023-02-16T11:23:17Z,3996828489,213,5.2,3996828479,196,,3996828491,1,,3996828481,56,Right,3996828487,212,54.9,3996828477,155,,3996828485,141,3.1,3996828483,140,76.4,6y9gieuehyt2l41jeh0cucrmd,M. Saâdane,4035342361,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500970435,10,1,1,7,25,aekjg4wbxaixtwu4aicmiju92,0,79.2,3.2,2023-01-27T17:37:39.466Z,2023-02-16T11:23:21Z,3996828561,2,,4035342481,178,,3996828573,213,1.1,3996828563,155,,3996828571,212,31.0,4005507629,20,,3996828567,140,93.1,3996828613,233,10,aqe0o77dv6114gsbpw3t1iymt,M. Batna,3996828569,141,43.4,4005507627,224,3996828565,56,,,,,,,,,,,,,,,,,Center,,,,,,,,,,,,,
2500970437,10,11,1,7,26,2xl3g56k2mbuwdbre46s29vt4,1,4.5,48.4,2023-01-27T17:37:40.986Z,2023-02-16T11:23:24Z,3996828635,233,10,3996828575,56,Back,4035342533,388,,4005507673,378,,3996828577,88,,,,,,,,,,,64122p1l6bayb1x6lfi9w85m2,Abdulquddus Atiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
