id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/17/value
2457213121,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-09-08T14:34:15.364Z,2022-09-08T15:31:53Z,3765426117,197,6657,3765420307,59,"1, 11, 23, 19, 2, 3, 10, 16, 9, 17, 27, 5, 6, 7, 8, 14, 21, 22, 24, 70",3765420303,30,"ajtqeot5t9kv6mrtpdudlwmvp, e81tor86msoqqodyy4xhiu31l, 3km030r7hwsxw849nv0qpaql0, vgyj638vzzteqqyxcdte3sgl, ewpdng8x72853r8jkxv5z949h, 91e6dbk9uxyui5vbe47zdj6jt, si3wcnvnhiukn1novyv1su6t, 4w7c7a9rw5id7f0wikw02orth, 9n2zj5201b83mmcm7oomygacq, 98nbel31pgxlifu6s4wqqxjv9, 9857q6zg63yro4ia9txv2l9pm, c3ly1ivtw40f1rjqbbk9ublqt, 7h6e2d1wfa89bvqfmhgm2r3kl, aonc1y49ulmolyc47knpwtrtg, 3od5vsqck7ir6xf4kk2f5wbth, 15o6hxjc62wgd0ej4dxtxczpx, emoaqymruvce71ow6gidqjc6i, 1hf93j1aaylparuteybdwded, 99h9ihbi9zj82ubnt4pqr3s9h, 7cnb8jhbmd4n9ibdcuxym24fd",3765420313,194,vgyj638vzzteqqyxcdte3sgl,3765420305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3765420315,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3765420309,130,8,3765420311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457213173,1,34,16,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-09-08T14:40:15.954Z,2022-09-08T15:31:21Z,3765421023,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3765426011,197,960,3765421025,194,6ry2ngrlp71y0q57zgz6wu2y2,3765421021,130,11,3765421015,30,"8i6yz8rk72m7ovjuxjn0vcxqt, 6ry2ngrlp71y0q57zgz6wu2y2, 1im5k8tl0j4weq6bkwet3le96, anje77akol69g67tssc9p2bpx, 3par6lcu330qnblngnl7b209h, 94pujujlsh98axp2fdflycahg, 73n9fjkvpac4i2s9kn6j86evp, 4k6v874ygp633amqtbp1g9nth, 22cd6gzfwo341qai1o6014251, 7q7awmtwv66htmei0xy1hzdn9, dd8jyobppmddu2pn7e4v3y9qt, 90moydtk6dv07bfaqki5s6ymt, 4xf79nz0hvi8o83ta08cftffu, 6k45sak4jgjqew0dpkcil4hyh, 5sjuufrdq1rx6senkjjgtimsp, dqqj2g1jdn57o1j12ycaa2a96, 602ni3z01educzy1qx0cuvzai, ds9mymwdsucrwhkrwxpe2ymll, c5qx29j7n98wz29hkhtk377it, b2klrrbklz788iu4vd46j0e3u",3765421019,59,"1, 27, 24, 4, 3, 13, 10, 8, 9, 15, 7, 94, 2, 96, 6, 11, 14, 17, 20, 58",3765421017,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3765421027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457213657,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-09-08T15:30:15.201Z,2022-09-08T15:30:17Z,3765426461,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457213655,2,32,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-09-08T15:30:15.201Z,2022-09-14T08:25:09Z,3765426457,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457213659,3,1,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,49.9,49.7,2022-09-08T15:30:15.236Z,2022-09-14T17:53:57Z,3765426465,56,Back,3765426469,141,50.1,3779745063,178,,3765426475,279,S,3765426471,212,21.1,3765426473,213,3.1,3765426467,140,29.8,,,,22cd6gzfwo341qai1o6014251,S. Çikalleshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457213665,4,1,1,0,2,7w4300dn2tnd0eqmbtk531tkx,1,35.7,51.6,2022-09-08T15:30:17.979Z,2022-09-14T17:54:52Z,3765426505,213,4.2,3765426501,141,27.1,3765426499,140,26.7,3779745875,178,,3765426497,56,Back,3765426503,212,19.2,,,,,,,7q7awmtwv66htmei0xy1hzdn9,A. Biyogo Poko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457213667,5,1,1,0,7,7w4300dn2tnd0eqmbtk531tkx,1,31.4,24.4,2022-09-08T15:30:22.988Z,2022-09-14T17:55:39Z,3765426513,141,41.5,3779747797,178,,3765426509,56,Back,3765426515,212,14.4,3765426511,140,23.3,3765426517,213,2.2,,,,,,,94pujujlsh98axp2fdflycahg,Abdullah Al Shanqiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457213669,6,1,1,0,10,7w4300dn2tnd0eqmbtk531tkx,1,24.5,41.6,2022-09-08T15:30:26.065Z,2022-09-14T17:56:27Z,3765426523,140,36.0,3765426525,141,65.1,3765426521,56,Back,3765426529,213,0.9,3765426527,212,20.0,3779748653,178,,,,,,,,3par6lcu330qnblngnl7b209h,Mohammed Al Khabrani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457213671,7,1,1,0,13,7w4300dn2tnd0eqmbtk531tkx,1,36,65.1,2022-09-08T15:30:28.207Z,2022-09-14T17:56:38Z,3765426547,213,4.2,3765426543,141,25.2,3765426545,212,30.9,3765426539,56,Back,3765426541,140,21.9,3779749363,178,,,,,,,,7q7awmtwv66htmei0xy1hzdn9,A. Biyogo Poko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457213677,8,1,1,0,15,7w4300dn2tnd0eqmbtk531tkx,1,21.9,25.2,2022-09-08T15:30:30.353Z,2022-09-14T17:56:55Z,3765426575,140,37.0,3779749993,178,,3765426579,212,21.4,3765426581,213,5.5,3765426573,56,Back,3765426577,141,4.1,,,,,,,94pujujlsh98axp2fdflycahg,Abdullah Al Shanqiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
