id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/17/value,qualifier/9/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2459888191,3,5,1,0,16,f0zsn74nz0o01gr30weun240i,1,76.8,101.8,2022-09-14T15:55:31.206Z,2022-09-24T07:42:30Z,3779640879,56,Left,3779640881,347,,3779640883,233,10,,,,,,,,,,,,,,,,f0fot1juj3i62tt8i2vybnjdh,K. Musona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888187,10,5,1,0,16,aekjg4wbxaixtwu4aicmiju92,0,23.2,-1.8,2022-09-14T15:55:31.206Z,2022-09-24T07:42:31Z,3779640891,233,3,3779640815,56,Back,3779640817,347,,,,,,,,,,,,,,,,,85oc68xls37jerkaimzc1lv8q,Nawaf Boushal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888181,9,43,1,0,17,aekjg4wbxaixtwu4aicmiju92,1,0,0,2022-09-14T15:55:32.238Z,2022-09-15T14:18:03Z,3779640797,56,Back,3781243083,144,61,,,,,,,,,,,,,,,,,,,85oc68xls37jerkaimzc1lv8q,Nawaf Boushal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888197,4,1,1,0,34,f0zsn74nz0o01gr30weun240i,0,81.2,100,2022-09-14T15:55:48.922Z,2022-09-24T07:42:39Z,3779640919,141,77.9,3779640923,213,5.1,3779640917,140,87.1,3779640915,56,Center,3779640913,107,,3779640921,212,16.9,,,,,,,8y6x61qorr95ai62ko6yo6cr8,Nawaf Al Qamiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888195,11,44,1,0,36,aekjg4wbxaixtwu4aicmiju92,1,12.8,26.6,2022-09-14T15:55:50.548Z,2022-09-24T09:38:26Z,3779640909,56,Back,3779640911,285,,3779640935,233,5,,,,,,,,,,,,,,,,mnfpjrfb77nre55z4ha7b9p1,Fran Vélez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888201,5,44,1,0,36,f0zsn74nz0o01gr30weun240i,0,87.2,73.4,2022-09-14T15:55:50.549Z,2022-09-24T07:42:50Z,3779640945,233,11,3779640931,286,,3779640929,56,Center,,,,,,,,,,,,,,,,egk2nnpvvup731trr0x2kj696,G. Mbenza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888199,12,8,1,0,36,aekjg4wbxaixtwu4aicmiju92,1,12.7,30.9,2022-09-14T15:55:50.642Z,2022-09-24T09:38:26Z,3781243435,385,,3779640933,15,,3779640927,56,Back,3799926717,388,,,,,,,,,,,,,,mnfpjrfb77nre55z4ha7b9p1,Fran Vélez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459893491,416,12,1,0,37,aekjg4wbxaixtwu4aicmiju92,1,13.8,19.5,2022-09-14T15:55:52.251Z,2022-09-24T07:43:11Z,3799926843,388,,3779671975,140,23.1,3779671977,141,27.0,3779671973,56,Back,3779671979,212,11.0,3779671981,213,0.5,3779671971,15,,,,,85oc68xls37jerkaimzc1lv8q,Nawaf Boushal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888207,13,44,1,0,38,aekjg4wbxaixtwu4aicmiju92,1,20.1,29.4,2022-09-14T15:55:53.218Z,2022-09-24T09:38:26Z,3779640957,233,6,3779640955,285,,3779640953,56,Back,,,,,,,,,,,,,,,,6w77bixcwoy3qlg568od8wr9,Majed Kanabah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459888205,6,44,1,0,38,f0zsn74nz0o01gr30weun240i,0,79.9,70.6,2022-09-14T15:55:53.219Z,2022-09-24T07:43:20Z,3779640971,233,13,3779640951,286,,3779640949,56,Center,,,,,,,,,,,,,,,,3s3rnrrv8i4rb0x7vaa5mhvpx,Mukhtar Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
