id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/15/value
2468040487,10,1,1,0,25,c9swyor08g9pedxpe3n321svu,1,54.9,23.1,2022-10-06T18:00:46.588Z,2022-10-21T11:23:53Z,3822979531,56,Right,3859721033,178,,3822979539,213,5.6,3822979535,141,16.2,3822979537,212,7.8,3822979533,140,60.8,,,,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040503,11,1,1,0,26,c9swyor08g9pedxpe3n321svu,1,60.8,16.2,2022-10-06T18:00:48.353Z,2022-10-21T11:23:54Z,3822979615,212,7.7,3822979611,140,63.2,3822979613,141,5.5,3859721045,178,,3822979617,213,5.0,3822979609,56,Right,,,,,,,2v2v3wzd9pv8j9phh6s0isdn8,Musab Al Juwayr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040525,12,1,1,0,28,c9swyor08g9pedxpe3n321svu,1,63,5.8,2022-10-06T18:00:50.201Z,2022-10-21T11:23:54Z,3859721053,178,,3822979717,141,4.7,3822979713,56,Right,3822979721,213,3.2,3822979715,140,53.4,3822979719,212,10.1,,,,,,,a3t7bral3j0l1czbmojwqnob9,M. Marega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040539,13,1,1,0,30,c9swyor08g9pedxpe3n321svu,1,53.4,4.7,2022-10-06T18:00:52.187Z,2022-10-21T11:23:54Z,3822979801,56,Right,3859721057,178,,3822979805,141,21.0,3822979807,212,11.2,3822979803,140,51.9,3822979811,213,1.7,,,,,,,aq8pym2fuweqbkxbbu7hqn0x6,Saud Abdulhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040583,14,1,1,0,32,c9swyor08g9pedxpe3n321svu,1,51.5,22.7,2022-10-06T18:00:54.035Z,2022-10-21T11:23:55Z,3822980065,141,53.0,3822980069,213,2.0,3822980061,56,Back,3822980063,140,43.1,3859721065,178,,3822980067,212,22.4,,,,,,,14dpnweb51v7re2xa3qkpulex,Nasser Al Dawsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040607,15,1,1,0,37,c9swyor08g9pedxpe3n321svu,1,53.9,68.1,2022-10-06T18:00:59.353Z,2022-10-21T11:23:55Z,3822980203,56,Left,3859721073,178,,3822980211,213,1.5,3822980207,141,94.1,3822980209,212,17.7,3822980205,140,54.7,,,,,,,av4e1au7cz1s6rmz5u45l4yjt,Ali Al Bulayhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040645,16,1,1,0,41,c9swyor08g9pedxpe3n321svu,1,55.4,93.8,2022-10-06T18:01:02.601Z,2022-10-21T11:23:55Z,3822980419,140,39.0,3822980425,213,3.6,3822980421,141,82.3,3859721085,178,,3822980423,212,18.9,3822980417,56,Back,,,,,,,27jg2mdzgw4bt7l4215hq12sq,Hamad Al Yami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040691,17,1,1,0,43,c9swyor08g9pedxpe3n321svu,1,42.9,78.8,2022-10-06T18:01:05.194Z,2022-10-21T11:23:56Z,3822980777,141,45.8,3822980773,56,Back,3859721103,178,,3822980781,213,4.8,3822980779,212,22.5,3822980775,140,44.5,,,,,,,av4e1au7cz1s6rmz5u45l4yjt,Ali Al Bulayhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040709,18,1,1,0,48,c9swyor08g9pedxpe3n321svu,1,44,43.1,2022-10-06T18:01:09.813Z,2022-10-21T11:23:56Z,3859721111,178,,3822980855,140,60.1,3822980859,212,20.4,3822980861,213,5.7,3822980857,141,26.4,3822980853,56,Center,,,,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040721,19,1,1,0,49,c9swyor08g9pedxpe3n321svu,0,60.1,26.4,2022-10-06T18:01:10.629Z,2022-10-21T11:23:57Z,3822980911,141,33.4,3859721135,178,,3822980909,140,64.6,3822980913,212,6.7,3822980915,213,0.8,3822980907,56,Center,,,,,,,a3t7bral3j0l1czbmojwqnob9,M. Marega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040747,4,1,1,0,50,7dkxxicrwn77jpdfkwpnlnnyn,0,37.2,54.7,2022-10-06T18:01:11.669Z,2022-10-21T11:23:57Z,3822981049,141,100.0,3822981051,212,36.2,3822981045,56,Left,3822981055,1,,3822981043,157,,3859721141,178,,3822981047,140,53.1,3822981053,213,1.1,a7sgm3cmjoxjjxanrad02l2lm,Ibrahim Mahnashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040751,5,5,1,0,51,7dkxxicrwn77jpdfkwpnlnnyn,0,50.4,101.8,2022-10-06T18:01:13.450Z,2022-10-21T11:23:58Z,3822981075,347,,3822981073,56,Left,3822981193,233,20,,,,,,,,,,,,,,,,a7sgm3cmjoxjjxanrad02l2lm,Ibrahim Mahnashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040759,20,5,1,0,51,c9swyor08g9pedxpe3n321svu,1,49.6,-1.8,2022-10-06T18:01:13.450Z,2022-10-21T11:23:57Z,3822981159,233,5,3822981133,347,,3822981129,56,Back,,,,,,,,,,,,,,,,a3t7bral3j0l1czbmojwqnob9,M. Marega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040817,21,1,1,0,58,c9swyor08g9pedxpe3n321svu,1,52.8,0,2022-10-06T18:01:19.869Z,2022-10-21T11:23:58Z,3822981467,212,15.5,3822981459,107,,3822981463,140,38.7,3822981461,56,Back,3822981465,141,5.3,3822981469,213,2.8,,,,,,,aq8pym2fuweqbkxbbu7hqn0x6,Saud Abdulhamid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040839,22,1,1,1,0,c9swyor08g9pedxpe3n321svu,1,37.4,7.1,2022-10-06T18:01:22.225Z,2022-10-21T11:23:58Z,3822981559,141,6.8,3822981555,56,Back,3822981563,213,6.3,3859721213,178,,3822981557,140,44.9,3822981561,212,7.9,,,,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040863,23,1,1,1,1,c9swyor08g9pedxpe3n321svu,1,44.5,7.7,2022-10-06T18:01:23.502Z,2022-10-21T11:23:59Z,3822981645,140,29.6,3822981649,212,29.3,3822981651,213,2.1,3822981643,56,Back,3822981647,141,44.2,3859721217,178,,,,,,,,14dpnweb51v7re2xa3qkpulex,Nasser Al Dawsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040881,24,1,1,1,4,c9swyor08g9pedxpe3n321svu,1,29.6,44.2,2022-10-06T18:01:26.433Z,2022-10-21T11:23:59Z,3822981743,141,18.5,3822981747,213,4.6,3822981745,212,17.6,3822981739,56,Back,3859721223,178,,3822981741,140,27.3,,,,,,,av4e1au7cz1s6rmz5u45l4yjt,Ali Al Bulayhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040939,25,1,1,1,6,c9swyor08g9pedxpe3n321svu,1,26.3,19.2,2022-10-06T18:01:28.224Z,2022-10-21T11:23:59Z,3822982087,141,32.1,3822982083,56,Back,3859721239,178,,3822982085,140,8.2,3822982089,212,20.9,3822982091,213,2.7,,,,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040961,26,1,1,1,10,c9swyor08g9pedxpe3n321svu,1,10.6,30.9,2022-10-06T18:01:31.829Z,2022-10-21T11:24:00Z,3822982223,140,45.5,3823164173,189,,3822982231,1,,3859721253,178,,3822982227,212,38.4,3822982225,141,47.8,3822982207,155,,3822982229,213,0.3,9vt5q842htj38cblrh1v62qj9,Abdullah Al Muaiouf,3822982211,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475225501,1897,67,1,1,11,c9swyor08g9pedxpe3n321svu,1,47.2,47.7,2022-10-06T18:01:33.035Z,2022-10-22T08:44:38Z,3861153119,233,900,,,,,,,,,,,,,,,,,,,,,,2lkra7wic5b481l7qybjh8lx,A. Carrillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475225497,900,67,1,1,11,7dkxxicrwn77jpdfkwpnlnnyn,0,52.8,52.3,2022-10-06T18:01:33.036Z,2022-10-22T08:30:57Z,3861153123,233,1897,,,,,,,,,,,,,,,,,,,,,,1x2kly8qv2vxujs6d0tgdt0id,M. Tisserand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040967,27,1,1,1,11,c9swyor08g9pedxpe3n321svu,0,45.5,47.8,2022-10-06T18:01:33.109Z,2022-10-22T08:44:38Z,3822982265,212,2.5,3823164303,236,,3822982261,140,47.9,3823164305,233,6,3822982259,56,Back,3822982263,141,48.2,3823164259,168,,3859721263,178,,2lkra7wic5b481l7qybjh8lx,A. Carrillo,3823164309,286,,3822982267,213,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468040995,6,74,1,1,11,7dkxxicrwn77jpdfkwpnlnnyn,1,58.8,61.4,2022-10-06T18:01:33.150Z,2022-10-21T11:24:01Z,3822982487,233,27,3822982693,189,,3859721271,178,,3822982433,56,Center,3822982435,285,,,,,,,,,,,1x2kly8qv2vxujs6d0tgdt0id,M. Tisserand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041007,7,1,1,1,13,7dkxxicrwn77jpdfkwpnlnnyn,0,59.4,61.2,2022-10-06T18:01:34.994Z,2022-10-21T11:24:01Z,3837484025,141,62.9,3822982515,56,Center,3837484029,213,0.4,3837484023,140,62.1,3859721279,178,,3837484027,212,3.1,,,,,,,6q8kbaw3h6n77ekwl6fr0e9qt,Ali Abdullah Hazzazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041029,28,49,1,1,14,c9swyor08g9pedxpe3n321svu,1,37,39.4,2022-10-06T18:01:36.351Z,2022-10-21T11:24:01Z,,,,,,,,,,,,,,,,,,,,,,,,,14dpnweb51v7re2xa3qkpulex,Nasser Al Dawsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041105,29,1,1,1,15,c9swyor08g9pedxpe3n321svu,1,37,39.4,2022-10-06T18:01:37.184Z,2022-10-21T11:24:02Z,3822983029,212,23.4,3822983025,140,45.6,3822983023,56,Back,3822983027,141,71.1,3859721293,178,,3822983031,213,1.2,,,,,,,14dpnweb51v7re2xa3qkpulex,Nasser Al Dawsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041131,30,1,1,1,23,c9swyor08g9pedxpe3n321svu,1,65.2,94.1,2022-10-06T18:01:44.677Z,2022-10-21T11:24:02Z,3822983201,212,8.0,3822983197,140,60.6,3859721305,178,,3822983203,213,4.1,3822983195,56,Left,3822983199,141,84.8,,,,,,,27jg2mdzgw4bt7l4215hq12sq,Hamad Al Yami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041169,31,1,1,1,26,c9swyor08g9pedxpe3n321svu,1,61.1,83,2022-10-06T18:01:47.586Z,2022-10-21T11:24:02Z,3822983439,212,50.6,3822983445,1,,3859721317,178,,3822983431,56,Right,3822983427,155,,3822983441,213,5.0,3822983433,140,76.0,3822983429,196,,14dpnweb51v7re2xa3qkpulex,Nasser Al Dawsari,3822983437,141,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041175,32,61,1,1,27,c9swyor08g9pedxpe3n321svu,0,75.9,12,2022-10-06T18:01:49.550Z,2022-10-21T11:24:03Z,3822983461,56,Right,3859721333,178,,,,,,,,,,,,,,,,,,,,a3t7bral3j0l1czbmojwqnob9,M. Marega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041209,8,1,1,1,28,7dkxxicrwn77jpdfkwpnlnnyn,1,25.3,78.8,2022-10-06T18:01:50.382Z,2022-10-21T11:24:03Z,3822983671,56,Back,3859721371,178,,3822983675,141,74.4,3822983679,213,5.9,3822983677,212,7.2,3822983673,140,31.5,,,,,,,9kbzdpxg4ud1m8wppt1s1roq,Abdullah Khateeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041215,9,49,1,1,30,7dkxxicrwn77jpdfkwpnlnnyn,1,31.5,74.4,2022-10-06T18:01:51.840Z,2022-10-21T11:24:04Z,,,,,,,,,,,,,,,,,,,,,,,,,4dgh6inzkttm82amjagcy62mt,N. Sliti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470747215,578,3,1,1,30,7dkxxicrwn77jpdfkwpnlnnyn,0,30.5,73.2,2022-10-06T18:01:52.342Z,2022-10-21T11:24:04Z,3837484483,467,2v2v3wzd9pv8j9phh6s0isdn8,3859721399,178,,3837484473,56,Back,3837484475,285,,3837484479,464,,,,,,,,,,,4dgh6inzkttm82amjagcy62mt,N. Sliti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041229,10,4,1,1,33,7dkxxicrwn77jpdfkwpnlnnyn,1,32,73.7,2022-10-06T18:01:54.698Z,2022-10-21T11:24:05Z,3822983773,56,Back,3822983777,265,,3822983775,152,,3822983779,285,,3822983799,233,33,3822983771,13,,,,,,,,4dgh6inzkttm82amjagcy62mt,N. Sliti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041213,33,4,1,1,33,c9swyor08g9pedxpe3n321svu,0,68,26.3,2022-10-06T18:01:54.699Z,2022-10-21T11:24:05Z,3822983697,13,,3822983701,152,,3859721447,178,,3822983705,286,,3822983825,233,10,3822983699,56,Center,3822983703,265,,,,,2v2v3wzd9pv8j9phh6s0isdn8,Musab Al Juwayr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468041383,11,1,1,1,50,7dkxxicrwn77jpdfkwpnlnnyn,1,36.5,61.6,2022-10-06T18:02:12.254Z,2022-10-21T11:24:05Z,3823002835,5,,3822984711,141,66.1,3822984707,56,Back,3822984715,213,2.8,3822984709,140,26.8,3859721465,178,,3822984713,212,10.6,3823002837,152,,5brwa0y63724t6s3y6gtz28yx,B. Özdemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
