id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/11/value,keyPass,qualifier/16/value
2460204193,1,34,16,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-09-15T16:50:45.296Z,2022-09-15T18:03:56Z,3781341105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3781571265,197,16908,3781341109,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3781341103,130,10,3781341101,59,"1, 27, 24, 4, 3, 13, 8, 6, 94, 9, 15, 99, 16, 2, 96, 11, 14, 17, 25, 58",3781341107,194,6ry2ngrlp71y0q57zgz6wu2y2,3781341097,30,"8i6yz8rk72m7ovjuxjn0vcxqt, 6ry2ngrlp71y0q57zgz6wu2y2, 1im5k8tl0j4weq6bkwet3le96, anje77akol69g67tssc9p2bpx, 3par6lcu330qnblngnl7b209h, 94pujujlsh98axp2fdflycahg, 4k6v874ygp633amqtbp1g9nth, 5sjuufrdq1rx6senkjjgtimsp, 90moydtk6dv07bfaqki5s6ymt, 22cd6gzfwo341qai1o6014251, 7q7awmtwv66htmei0xy1hzdn9, 2cso52su6r9afugn6mhw2bl9m, axq2a1kfogeahtcdulwezvdre, 4xf79nz0hvi8o83ta08cftffu, 6k45sak4jgjqew0dpkcil4hyh, dqqj2g1jdn57o1j12ycaa2a96, 602ni3z01educzy1qx0cuvzai, ds9mymwdsucrwhkrwxpe2ymll, 3uwyni9c8q0rprd1nhtt073e1, b2klrrbklz788iu4vd46j0e3u",3781341099,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460204239,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2022-09-15T16:50:48.971Z,2022-09-15T18:02:06Z,3781556591,197,620,3781341377,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3781341371,130,13,3781341373,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3781341375,194,4upzspmuautmtl51yxe3kva39,3781341367,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3781341365,30,"5il4uc7d941ndwjl0qu97y7dh, 1omzj46rrvsev6v03nd72dgwl, dertlfklisnxnba0zl5lpp7u1, dfp7gtib09b9l0bdqfl89m356, 4upzspmuautmtl51yxe3kva39, eqdev00exzhrls89wj77cdzp, 6lpj04km1rma60n8l66q0hd5h, emkg78pm7xdjkkt2w0yd8vh79, aatjvj13ffwrj81vcfy68fnit, 1cpbxhov5ypi6ez7k09oxo5w5, 29i4ruk1vkwrl1w9vg9ggqpqt, 6hjb8mpl2trtom06smg2s0jdg, bg3kdsod1j0u3yk1jw5ndu9sk, 79n11s84csv7ur8atv9qbi3o4, d3sjamk5urj3zpdece4bopadx, 56umgnm066b18r5v5m7xduead, 38qgiazulsyaxmvqqrdjlw2l0, 3is4y6lh7y7chpmqtnx02ngno, dl6i7pzautxs7nxzasicwdtec, 7us8hoqv66v0fqos94zxijk2y",3781341369,59,"34, 24, 27, 95, 26, 5, 10, 3, 9, 90, 17, 7, 12, 14, 21, 33, 36, 38, 44, 70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460245927,2,32,1,0,0,7w4300dn2tnd0eqmbtk531tkx,1,0,0,2022-09-15T18:00:37.900Z,2022-09-15T18:00:41Z,3781579473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460245887,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2022-09-15T18:00:37.900Z,2022-09-24T05:39:55Z,3781579259,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460245945,3,1,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,50,50,2022-09-15T18:00:37.901Z,2022-09-24T06:22:35Z,3781579571,278,,3781579563,212,3.9,3781579559,141,55.2,3781579555,140,51.5,3781579551,56,Center,3781579569,279,S,3781579567,213,1.2,3799864199,178,,aatjvj13ffwrj81vcfy68fnit,A. Hamed Allah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460245957,4,1,1,0,2,2kzl64gp8x37bon8tyxojqrr1,0,51.4,47.4,2022-09-15T18:00:40.200Z,2022-09-24T06:23:09Z,3781579637,56,Center,3781579635,155,,3781579639,140,53.0,3781579645,213,0.5,3781742073,233,3,3781579643,212,2.0,3781579641,141,48.9,3799865361,178,,6lpj04km1rma60n8l66q0hd5h,Igor Coronado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460245941,3,61,1,0,2,7w4300dn2tnd0eqmbtk531tkx,1,46.6,48.8,2022-09-15T18:00:40.271Z,2022-09-24T06:23:17Z,3781579545,56,Back,3799865481,178,,,,,,,,,,,,,,,,,,,,4k6v874ygp633amqtbp1g9nth,Lucas Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460245995,4,1,1,0,5,7w4300dn2tnd0eqmbtk531tkx,1,25.8,32.3,2022-09-15T18:00:43.148Z,2022-09-24T06:23:25Z,3799865639,388,,3781579841,213,0.1,3781579833,140,42.7,3781579831,56,Back,3781579839,212,17.8,3781579835,141,34.0,3781579829,3,,,,,94pujujlsh98axp2fdflycahg,Abdullah Al Shanqiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460245999,5,49,1,0,7,7w4300dn2tnd0eqmbtk531tkx,1,42.7,33.8,2022-09-15T18:00:44.963Z,2022-09-24T14:01:34Z,,,,,,,,,,,,,,,,,,,,,,,,,4k6v874ygp633amqtbp1g9nth,Lucas Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460246025,6,1,1,0,7,7w4300dn2tnd0eqmbtk531tkx,1,42.7,33.8,2022-09-15T18:00:45.620Z,2022-09-24T06:23:42Z,3781579971,140,37.6,3781579973,141,37.9,3781579975,212,6.0,3781579977,213,2.7,3799865991,178,,3781579969,56,Back,,,,,,,4k6v874ygp633amqtbp1g9nth,Lucas Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
