id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value
2496225407,1,34,16,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-01-09T17:27:09.663Z,2023-01-09T18:51:12Z,3971908193,197,686,3971871195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3971871193,30,"86gtnji8gzd7t05si9bzdhcyd, f33frpvsvjp7a8od35j7oxjh1, 2evokue4swxl64cxjuc21u2qy, 8sllxmpst47s6c46fgtv1q47p, bepcao7uiozczrxbhc7fjjis5, 2gef3rw1e1q3d7qudetpgvbop, dcl1lgczly52fg4f7oh8se6l1, 68cm9uvlgmi1q5xfki3g31i39, ytjrtqtximxhs52bfsezogk5, bdtfe5xkr2grbxqkgpntbypjp, cstghu0b2nh9pfzn5p6me7jkl, epumfwql35ruytuh15rozq311, dtpcc6ygdn9j8k42h00sfq0np, 87g8od8v77pe4m134wu8ipnu, 7ipoeovwu083w9os88ajsr36x, e9vibltkrv53iodnepbqmtzbo, 3qum8ho760i5bw8ejmkjfdec5, 3m67z6okk8i52z0b6widofxsl, 9e8phbwelzhbdk0bfsuyu4a5m, 2h8nzsxn9dbpde8ftaj7hpbrp",3971871205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3971871199,130,4,3971871201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3971871203,194,68cm9uvlgmi1q5xfki3g31i39,3971871197,59,"18, 27, 24, 23, 4, 5, 15, 10, 8, 13, 11, 12, 14, 21, 25, 26, 35, 71, 88, 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496225681,1,34,16,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-09T17:29:53.730Z,2023-01-09T18:31:08Z,3971872857,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3971872861,130,8,3971872865,194,4upzspmuautmtl51yxe3kva39,3971872863,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3971909489,197,18073,3971872859,59,"34, 13, 12, 10, 20, 26, 11, 19, 9, 90, 17, 5, 16, 21, 24, 27, 36, 37, 70, 80",3971872867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3971872855,30,"5il4uc7d941ndwjl0qu97y7dh, 8g2nbo0z5g733zb4wzuo2390q, bg3kdsod1j0u3yk1jw5ndu9sk, 6lpj04km1rma60n8l66q0hd5h, 82t3ag5zwejftjmznthvsjtn9, 4upzspmuautmtl51yxe3kva39, du6wgayjqw7jqjh770c43vvmd, cfjp3mf7meekpcsx7hjrql79, aatjvj13ffwrj81vcfy68fnit, 1cpbxhov5ypi6ez7k09oxo5w5, 29i4ruk1vkwrl1w9vg9ggqpqt, eqdev00exzhrls89wj77cdzp, e6prms9eb7zao76xzfbmdbbx0, d3sjamk5urj3zpdece4bopadx, 1omzj46rrvsev6v03nd72dgwl, dertlfklisnxnba0zl5lpp7u1, 38qgiazulsyaxmvqqrdjlw2l0, chjrxst4jz5dy3gbcr8ecxq1g, 7us8hoqv66v0fqos94zxijk2y, 1ow25k1m9n3pf4r5s0erkqw2d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496233563,2,32,1,0,0,2kzl64gp8x37bon8tyxojqrr1,1,0,0,2023-01-09T18:15:16.182Z,2023-01-09T18:15:17Z,3971913221,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496233559,2,32,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-01-09T18:15:16.182Z,2023-01-19T11:21:53Z,3971913199,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496233571,3,1,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,50,50,2023-01-09T18:15:16.218Z,2023-01-19T18:39:15Z,3971913257,212,10.9,3971913261,279,S,3971913259,213,3.3,3984902569,178,,3971913253,140,39.8,3971913255,141,47.2,3971913251,56,Back,,,,dcl1lgczly52fg4f7oh8se6l1,Hussain Al Qahtani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496233597,4,1,1,0,3,2ry1fixv27p3xepazsxcuyoho,1,39.5,51.8,2023-01-09T18:15:19.278Z,2023-01-19T18:44:34Z,3971913453,212,14.6,3984909131,178,,3971913455,213,2.4,3971913451,141,65.6,3971913447,56,Back,3971913449,140,28.8,,,,,,,68cm9uvlgmi1q5xfki3g31i39,É. Banega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496233609,5,1,1,0,7,2ry1fixv27p3xepazsxcuyoho,1,27.9,75,2023-01-09T18:15:23.805Z,2023-01-19T18:44:42Z,3971913505,212,13.2,3971913501,140,31.0,3971913503,141,93.8,3971913499,56,Back,3984909321,178,,3971913507,213,1.3,,,,,,,2gef3rw1e1q3d7qudetpgvbop,Hassan Tambakti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496233623,6,1,1,0,9,2ry1fixv27p3xepazsxcuyoho,1,31,93.8,2023-01-09T18:15:25.410Z,2023-01-19T18:45:09Z,3971913573,140,23.6,3971913575,141,80.0,3971913571,56,Back,3971913577,212,12.2,3984909779,178,,3971913579,213,4.0,,,,,,,2evokue4swxl64cxjuc21u2qy,Moteb Al Harbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496233635,7,1,1,0,13,2ry1fixv27p3xepazsxcuyoho,1,27.1,79.4,2023-01-09T18:15:29.210Z,2023-01-19T18:45:18Z,3971913609,140,39.5,3971913607,56,Back,3984909951,178,,3971913611,141,78.0,3971913615,213,6.2,3971913613,212,13.1,,,,,,,2gef3rw1e1q3d7qudetpgvbop,Hassan Tambakti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496233647,8,1,1,0,14,2ry1fixv27p3xepazsxcuyoho,1,39.5,78,2023-01-09T18:15:30.291Z,2023-01-19T18:45:26Z,3971913665,140,35.9,3971913671,213,4.0,3971913663,56,Back,3984910179,178,,3971913669,212,5.7,3971913667,141,71.7,,,,,,,cstghu0b2nh9pfzn5p6me7jkl,Hattan Bahbri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
