id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2465593911,1,34,16,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-10-01T14:25:46.135Z,2022-10-01T15:27:19Z,3809881563,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809881557,59,"1, 27, 7, 28, 12, 19, 10, 88, 82, 11, 17, 4, 6, 8, 9, 14, 18, 23, 32, 44",3809881569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809881555,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809881553,30,"6veqhleq95267xca919eg02j9, 6yaoc71surv8vh9hjfli7dwid, 77d2ej6852gf2ynsb8h01thwp, a04wl977uhtaea8pztvmdag2d, 829ypq99t1vn90xey32mwt7th, 3nahof9wwcvyylv87fjhhpt5h, 6ygvaf7gjckdemde0ec0tem6t, 3kfeazpv3d1wy6e333pudwkid, 9yceimet7wbytfai5ivr0v4k5, 2neoemoj0t2ssvjhhii62rvje, 1l0bb9txaodn0kqc5rca35rdh, 52gxk6j2kp1i7dkz1w7wfxzsa, 7raap8bz78dmxw9ngo1w73tux, 3akxznb8k4r088rrqbbj04m39, 7gvqqqfoak5692c4xnrcrqe39, 9ex7z7sbghe3zx17a4u7gsay2, 3q942kxc3baiiwdozn97dgqtx, d21tm0cmhxpy6rq71iyu5yzf9, 7a8ee7ohk4hnmaaw1imxeqsid, 6bl8ekn7ahyf7z4ri1cknbnfu",3809881567,194,3nahof9wwcvyylv87fjhhpt5h,3810527405,197,683,3809881559,130,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465607343,1,34,16,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-10-01T14:32:14.179Z,2022-10-01T15:33:07Z,3809955419,59,"1, 7, 23, 19, 2, 4, 70, 24, 9, 14, 10, 3, 5, 6, 11, 20, 21, 22, 77, 96",3809955413,30,"ajtqeot5t9kv6mrtpdudlwmvp, aonc1y49ulmolyc47knpwtrtg, 3km030r7hwsxw849nv0qpaql0, vgyj638vzzteqqyxcdte3sgl, ewpdng8x72853r8jkxv5z949h, 6yf6ozyy2rpmiy86xno7u0es5, 7cnb8jhbmd4n9ibdcuxym24fd, 99h9ihbi9zj82ubnt4pqr3s9h, 9n2zj5201b83mmcm7oomygacq, 15o6hxjc62wgd0ej4dxtxczpx, si3wcnvnhiukn1novyv1su6t, 91e6dbk9uxyui5vbe47zdj6jt, c3ly1ivtw40f1rjqbbk9ublqt, 7h6e2d1wfa89bvqfmhgm2r3kl, e81tor86msoqqodyy4xhiu31l, 9v0ncjrqgandlju8x483181ec, emoaqymruvce71ow6gidqjc6i, 1hf93j1aaylparuteybdwded, 6nwftpkqtitqtvk9c8gtxkut, 5zvanazhxnqfi6vwms2xcgsus",3810522537,197,6657,3810522535,194,vgyj638vzzteqqyxcdte3sgl,3809955429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809955423,130,7,3809955415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809955433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465723813,2,32,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,0,0,2022-10-01T15:30:44.373Z,2022-10-01T15:30:44Z,3810564979,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465723855,2,32,1,0,0,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-10-01T15:30:44.373Z,2022-10-16T07:05:12Z,3810565217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465723909,3,1,1,0,0,cq4rdp1mkan8zhaw7bmzjdaqk,1,49.9,50,2022-10-01T15:30:44.408Z,2022-10-16T07:10:14Z,3810565499,56,Back,3810565521,213,3.1,3810565501,140,38.1,3810565509,212,12.4,3810565503,141,50.0,3847890491,178,,3810565533,279,S,,,,9n2zj5201b83mmcm7oomygacq,L. Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465724045,4,1,1,0,2,cq4rdp1mkan8zhaw7bmzjdaqk,0,38.1,50,2022-10-01T15:30:46.604Z,2022-10-16T07:10:19Z,3810566279,56,Center,3810566281,140,66.4,3810566283,141,49.5,3810566289,213,6.3,3847890641,178,,3810566287,212,29.7,,,,,,,vgyj638vzzteqqyxcdte3sgl,Édson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472720165,872,43,1,0,5,6ttwlm6op92r4670oayg5md7h,1,0,0,2022-10-01T15:30:50.092Z,2022-10-16T08:27:56Z,3847973685,144,82,3847973635,178,0,,,,,,,,,,,,,,,,,,,829ypq99t1vn90xey32mwt7th,Mohammed Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465724127,3,49,1,0,5,6ttwlm6op92r4670oayg5md7h,1,31.5,44.3,2022-10-01T15:30:50.117Z,2022-10-16T07:10:25Z,,,,,,,,,,,,,,,,,,,,,,,,,829ypq99t1vn90xey32mwt7th,Mohammed Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472720507,779,83,1,0,6,cq4rdp1mkan8zhaw7bmzjdaqk,1,69.3,54.1,2022-10-01T15:30:51.088Z,2022-10-16T08:29:13Z,3847975703,399,109804,,,,,,,,,,,,,,,,,,,,,,15o6hxjc62wgd0ej4dxtxczpx,Abdularahman Al Hurayb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465724227,4,1,1,0,6,6ttwlm6op92r4670oayg5md7h,1,31.5,44.3,2022-10-01T15:30:51.116Z,2022-10-16T07:10:27Z,3847890831,178,,3810567235,212,16.8,3810567237,213,5.3,3810567223,56,Back,3810567227,140,40.6,3810567231,141,24.0,,,,,,,829ypq99t1vn90xey32mwt7th,Mohammed Salem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465724239,5,50,1,0,9,6ttwlm6op92r4670oayg5md7h,1,49,31.2,2022-10-01T15:30:53.535Z,2022-10-16T07:10:35Z,3810567293,56,Back,3810568079,233,5,3810567297,286,,,,,,,,,,,,,,,,,6ygvaf7gjckdemde0ec0tem6t,M. Fouzair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
