id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/17/value
2531245743,1,34,16,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-04-09T18:11:06.101Z,2023-04-09T19:11:09Z,4177539169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177715091,197,18486,4177539167,194,6q8kbaw3h6n77ekwl6fr0e9qt,4177539157,30,"77988i6l4je97ycm9rthdims5, 2xoesy83pz2opdvnkdbraacph, d597taqcmedln0e50xgdyt8gk, 6q8kbaw3h6n77ekwl6fr0e9qt, 9brcp1e0kz59x1g4j73a54m50, 1x2kly8qv2vxujs6d0tgdt0id, 4c540mry6f9esodej103n6xka, a7sgm3cmjoxjjxanrad02l2lm, 8hw7lxbdh3zllchj5arfyc8np, 7rno5g3b18rzi95yfx6u9bs9h, bia0lpc5wkxjcyc92d12apas5, bzvpk1shkgjuuzmr0e7mrfaad, 1imyf62l4rk4oyith29w5bhzp, aervyzt3cfxxktpj81yjxo9d6, 3ps4l9x2ndwkypm1y4z6h5uxh, 9p1b5iftds5x02tx2eyseaklx, 9j37dmdxamf5ykbw9l24wlt6, dvt8h9sh00qsqzhrb3y4fco9h, 9w8b4bdj7ox6hw6hkmhx9emfo, c12jn6s39vsx86muur0cv16hg",4177539163,130,2,4177539165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177539161,59,"48, 2, 12, 11, 5, 32, 16, 6, 17, 27, 99, 1, 7, 8, 13, 14, 15, 18, 44, 49",4177539159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531245777,1,34,16,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-04-09T18:11:09.893Z,2023-04-09T19:14:36Z,4177539407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177539399,30,"2r3ppks82lf3a7aycih7rc63t, 7msfk3faesnc4ls6893wdhi0a, 7l1lhluaxnuy4cun3omcva4us, cmijbwv0ine68v0y6kf9cuehh, 2b8fj2xnd2h9rdbg0bkgbizu1, 95zoygnjudd2lmvc38oyuhwid, 12dv2sa9xm0aedpb13ivl11wp, c8sryc7a76ov57x24tv80swr9, 9f8pdf7j05xb111c5lunzgvyt, 2xkudoxz92f1vgbjlsbfum3f9, 8ab4hqpw7m6ocphleluf9sicp, 75cibe9m6z4wb8be86hfgvtud, 9etkdqceb3wo5zh0oktt0r85w, 7x4ltdnskxz0ym3i6meukx5hw, 7kbi9qu4y9rhc28x3ogyg5ot1, 336mfvzuqbqzrs5dj2ltg4nx0, ofynblpwoiwefv52bgqz30x6, f5eje4do4lvjul2ban3ycraax, cf6l2e5tkglv7decs50666w44, de3zx99d8qybnoq7nvlcd7xii",4177539409,194,95zoygnjudd2lmvc38oyuhwid,4177539401,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4177539405,130,8,4177539411,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177716329,197,3483,4177539403,59,"1, 6, 31, 10, 33, 14, 7, 18, 3, 17, 77, 2, 9, 11, 25, 19, 36, 44, 49, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279501,2,32,1,0,0,o1iwuxbv233ayidxpibbxy59,1,0,0,2023-04-09T19:00:14.427Z,2023-04-10T12:20:34Z,4177725129,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279491,2,32,1,0,0,7dkxxicrwn77jpdfkwpnlnnyn,1,0,0,2023-04-09T19:00:14.427Z,2023-04-09T19:00:18Z,4177725063,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279511,3,1,1,0,0,o1iwuxbv233ayidxpibbxy59,1,50,50.3,2023-04-09T19:00:15.026Z,2023-04-10T12:24:27Z,4177725179,213,3.4,4177725177,212,9.8,4179745415,189,,4177725181,279,S,4177725173,140,41.0,4177725171,56,Back,4177725175,141,46.6,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279533,4,1,1,0,1,o1iwuxbv233ayidxpibbxy59,1,42.4,48.8,2023-04-09T19:00:16.290Z,2023-04-09T19:53:16Z,4177725291,140,51.5,4177725295,212,9.6,4177725289,56,Center,4177725293,141,50.7,4177725297,213,0.1,,,,,,,,,,c8sryc7a76ov57x24tv80swr9,A. El Mahdioui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279631,5,1,1,0,3,o1iwuxbv233ayidxpibbxy59,1,52,50.9,2023-04-09T19:00:17.794Z,2023-04-09T19:00:26Z,4177725763,155,,4177725765,56,Back,4177725773,213,3.8,4177725769,141,14.7,4177725767,140,21.2,4177725775,1,,4177725771,212,40.6,,,,9f8pdf7j05xb111c5lunzgvyt,L. Tawamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279677,6,1,1,0,12,o1iwuxbv233ayidxpibbxy59,1,26.3,26.8,2023-04-09T19:00:26.882Z,2023-04-09T19:00:29Z,4177726047,140,26.0,4177726049,141,74.7,4177726053,213,1.6,4177726045,56,Back,4177726055,1,,4177726051,212,32.6,,,,,,,2b8fj2xnd2h9rdbg0bkgbizu1,Awn Al Slaluli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279695,7,1,1,0,15,o1iwuxbv233ayidxpibbxy59,0,26.2,88,2023-04-09T19:00:30.098Z,2023-04-09T19:00:31Z,4177726135,1,,4177726129,141,95.7,4177726131,212,41.1,4177726123,155,,4177726133,213,0.1,4177726127,140,65.0,4177726125,56,Left,,,,95zoygnjudd2lmvc38oyuhwid,Hassan Kadesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531279713,3,1,1,0,17,7dkxxicrwn77jpdfkwpnlnnyn,0,31.5,7.6,2023-04-09T19:00:32.265Z,2023-04-09T19:00:34Z,4177726205,213,0.5,4177726201,141,12.9,4177726203,212,8.3,4177726195,3,,4177726199,140,38.6,4177726197,56,Back,,,,,,,2xoesy83pz2opdvnkdbraacph,Saeed Al Muwallad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
