id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2507719217,1,34,16,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-02-14T13:39:48.188Z,2023-02-14T15:07:54Z,4032182815,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032182813,194,68cm9uvlgmi1q5xfki3g31i39,4032182805,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4032220913,197,686,4032182803,30,"86gtnji8gzd7t05si9bzdhcyd, f33frpvsvjp7a8od35j7oxjh1, 2evokue4swxl64cxjuc21u2qy, btjt8zqd248l6mk9b2obdsr1l, 8sllxmpst47s6c46fgtv1q47p, 2gef3rw1e1q3d7qudetpgvbop, dcl1lgczly52fg4f7oh8se6l1, 68cm9uvlgmi1q5xfki3g31i39, 93ysty1r8uw717axrz77q88ut, ytjrtqtximxhs52bfsezogk5, bdtfe5xkr2grbxqkgpntbypjp, 6w77bixcwoy3qlg568od8wr9, cq1rq8a9wnt1dxvxe6fmz9vfu, bjprfeyv38xb284im3yuu3u21, cstghu0b2nh9pfzn5p6me7jkl, 3qum8ho760i5bw8ejmkjfdec5, d5e7ou0odurdq9omp4tk16ck4, buqncwv5n0iy5ff8mjro9mwb8, 9e8phbwelzhbdk0bfsuyu4a5m, 2h8nzsxn9dbpde8ftaj7hpbrp",4032182811,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032182807,59,"18, 27, 24, 89, 23, 5, 15, 10, 77, 8, 13, 6, 7, 9, 11, 35, 16, 38, 88, 90",4032182809,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507719743,1,34,16,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-02-14T13:43:50.238Z,2023-02-14T14:57:11Z,4032185787,130,8,4032221053,197,6795,4032185793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032185789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4032185781,30,"7qirhp2v0034pkiwvnmsfd785, 1qt77p34tr6jf5vl5pzbh8zfu, jm8cn996mibk0hwauxvsb1lh, dp5fmyett2g7fvus88m85fsut, dxy1gb64e1hokq26qqnigirpx, bwew6i3fnis40s77t3e3sal0p, 6msbre1fcjcrvqyzoozo43sb8, c706bwqqpdkdk2zqzmop9wm39, 17rl734wbbzbxvj33id7j9l62, 483n2f7a1xkseruh77bj7rxed, 6fy868uh27umb1dafjy7tk2xh, 87g8od8v77pe4m134wu8ipnu, 97gy3oursbjphkf5t85x9wy96, 61o0q05smyp280htj5g3og5xw, bvmo38wfbtnrk5hdbxgczkzpx, bgac6td6x8qi2o7o5ofrj3t1x, 4jspfn1jca5yzxbhn8p2p06ax, pgyt3j19g11v27qx998bgmi1, 9o288vygjpcv3noeqnrnqh3ah, 2ycm47qi7qr17i31a8f6oq9gq",4032185785,59,"16, 14, 3, 8, 4, 19, 18, 21, 9, 10, 7, 23, 13, 15, 20, 31, 33, 34, 39, 88",4032185783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4032185791,194,jm8cn996mibk0hwauxvsb1lh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507726779,2,32,1,0,0,d47tf49ishm9qnfd8zyc8wv0j,1,0,0,2023-02-14T15:00:18.689Z,2023-02-14T15:00:20Z,4032223257,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507726775,2,32,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,0,0,2023-02-14T15:00:18.689Z,2023-03-02T22:26:26Z,4032223249,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507726791,3,1,1,0,0,2ry1fixv27p3xepazsxcuyoho,1,49.9,50.1,2023-02-14T15:00:18.774Z,2023-03-03T06:40:32Z,4032223319,141,46.6,4032223323,213,3.3,4032223317,140,35.0,4032223325,279,S,4037242959,189,,4032223315,56,Back,4032223321,212,15.8,4067657245,178,,ytjrtqtximxhs52bfsezogk5,C. Guanca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507726797,4,1,1,0,3,2ry1fixv27p3xepazsxcuyoho,1,35,46.7,2023-02-14T15:00:21.755Z,2023-03-03T06:40:35Z,4067657265,178,,4032223347,56,Back,4032223355,212,14.8,4032223353,141,68.4,4032223357,213,1.6,4032223351,140,34.9,,,,,,,68cm9uvlgmi1q5xfki3g31i39,É. Banega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507726799,5,1,1,0,4,2ry1fixv27p3xepazsxcuyoho,1,34.7,71.4,2023-02-14T15:00:23.590Z,2023-03-03T06:40:38Z,4032223371,140,40.0,4067657289,178,,4032223377,213,1.2,4032223375,212,15.7,4032223369,56,Back,4032223373,141,93.0,,,,,,,btjt8zqd248l6mk9b2obdsr1l,Riyadh Sharahili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507726811,6,1,1,0,8,2ry1fixv27p3xepazsxcuyoho,1,38.8,89.4,2023-02-14T15:00:27.117Z,2023-03-03T06:40:41Z,4032223449,213,4.1,4032223441,56,Back,4067657315,178,,4032223447,212,24.8,4032223445,141,60.5,4032223443,140,24.4,,,,,,,2evokue4swxl64cxjuc21u2qy,Moteb Al Harbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507726815,7,1,1,0,11,2ry1fixv27p3xepazsxcuyoho,1,24.4,60.5,2023-02-14T15:00:29.902Z,2023-03-03T06:40:43Z,4067657337,178,,4032223471,141,29.8,4032223467,56,Back,4032223469,140,25.8,4032223475,213,4.8,4032223473,212,20.9,,,,,,,2gef3rw1e1q3d7qudetpgvbop,Hassan Tambakti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507726825,8,1,1,0,14,2ry1fixv27p3xepazsxcuyoho,1,25.8,29.8,2023-02-14T15:00:33.537Z,2023-03-03T06:40:45Z,4032223529,140,37.4,4032223531,141,22.7,4067657363,178,,4032223527,56,Back,4032223533,212,13.1,4032223535,213,5.9,,,,,,,8sllxmpst47s6c46fgtv1q47p,G. Krychowiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
