id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value
2472101539,1,34,16,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2022-10-15T14:21:35.322Z,2022-10-15T15:30:40Z,3844633525,59,"1, 40, 12, 30, 4, 19, 7, 18, 9, 10, 11, 3, 23, 24, 26, 27, 44, 45, 75, 99",3844633531,194,f0fot1juj3i62tt8i2vybnjdh,3844633529,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844633533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844633523,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3844633527,130,4,3845287397,197,3316,3844633521,30,"c2mhdatj96x8eug6mekactrkl, 5ffogjpb96mfoihuw7pu5pl91, bhdvvtp8iu46et3iqfn6c8f3e, 3hzwwygv4u0vn68g4z3taqj1l, bodbz7zwlae3zytzhmbk5ncwk, bkpoy149cdahszf7g50fdox04, 3s3rnrrv8i4rb0x7vaa5mhvpx, 2ff2szax8e6tod2rts23ok9re, egk2nnpvvup731trr0x2kj696, 8tvytrvm8g922nxp2sjc7lxp1, f0fot1juj3i62tt8i2vybnjdh, 37ozmigs9h3hachibcihs8t05, 8y6x61qorr95ai62ko6yo6cr8, 22nbr9lhehz7zxfpml2cdfx4a, czk2wmpl7wu9ogvo8oyij1t5h, 9kn5o2yki8zu3wihjwqjort9l, d0hq3mzumz2pvhkx2cxvalqsp, 2zayusqc1wlmawb2kojmtsmad, 9i2vkt05nwdi1v6iqiyv3hl91, 3l4wzldk0b5yrcj20zel3gr85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472104781,1,34,16,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-10-15T14:23:15.759Z,2022-10-15T15:36:47Z,3845286203,197,16915,3844651679,59,"1, 66, 16, 43, 20, 5, 17, 6, 9, 19, 96, 2, 8, 11, 14, 15, 21, 26, 70, 88",3844651687,194,9vt5q842htj38cblrh1v62qj9,3844651681,130,8,3844651673,30,"9vt5q842htj38cblrh1v62qj9, aq8pym2fuweqbkxbbu7hqn0x6, 14dpnweb51v7re2xa3qkpulex, 2v2v3wzd9pv8j9phh6s0isdn8, inbrwc7gw6d1z8x60nl0padx, av4e1au7cz1s6rmz5u45l4yjt, a3t7bral3j0l1czbmojwqnob9, 3xtzd4wqoq2b6ak1k2tep9oet, 6wjktx17kp8g29h9gw27lwez9, 2lkra7wic5b481l7qybjh8lx, 1jfxkmks9lci345fiz9z2gfl5, 1nrxtmfkuqg2uz7pvgcgwgj4l, 2i9cy7dt9zn1jz96h61oo2m6t, 5muk6frafyj5lj1jdg54z2thx, hki3chjlidmwubff6srauj56, dw77jbua2ppd6hru05mlhbetx, c4zklinh3sa5kchbvjugn0s0l, 2rke2vs37xud2tqb5frwmusbt, 574pdpfxal0lsopnsnz17ciqd, 27jg2mdzgw4bt7l4215hq12sq",3844651685,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844651691,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844651677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472232125,2,32,1,0,0,c9swyor08g9pedxpe3n321svu,1,0,0,2022-10-15T15:34:43.674Z,2022-10-15T15:34:43Z,3845331927,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472232157,2,32,1,0,0,f0zsn74nz0o01gr30weun240i,1,0,0,2022-10-15T15:34:43.674Z,2022-11-04T01:43:13Z,3845332057,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472232247,3,1,1,0,0,c9swyor08g9pedxpe3n321svu,1,50,50,2022-10-15T15:34:43.814Z,2022-10-23T12:58:04Z,3845332531,213,3.2,3845332533,279,S,3845332523,141,49.3,3845332527,212,13.4,3845332521,140,37.2,3866359805,178,,3845332519,56,Back,,,,6wjktx17kp8g29h9gw27lwez9,O. Ighalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472232337,4,1,1,0,2,c9swyor08g9pedxpe3n321svu,1,37.2,50.7,2022-10-15T15:34:45.823Z,2022-10-23T12:58:13Z,3845333011,56,Back,3845333017,212,11.8,3845333013,140,38.1,3866360375,178,,3845333019,213,1.5,3845333015,141,68.0,,,,,,,3xtzd4wqoq2b6ak1k2tep9oet,G. Cuéllar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472232401,5,1,1,0,4,c9swyor08g9pedxpe3n321svu,1,38.2,68.9,2022-10-15T15:34:47.919Z,2022-10-23T12:58:34Z,3866361485,178,,3845333375,56,Back,3845333379,140,38.8,3845333387,212,16.4,3845333381,141,93.0,3845333389,213,1.5,,,,,,,14dpnweb51v7re2xa3qkpulex,Nasser Al Dawsari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472232465,6,1,1,0,6,c9swyor08g9pedxpe3n321svu,1,38.8,93,2022-10-15T15:34:50.579Z,2022-10-23T13:32:27Z,3845333793,213,4.1,3845333791,212,15.7,3845333783,140,29.8,3845333781,56,Back,3866605947,178,,3845333787,141,74.6,,,,,,,2v2v3wzd9pv8j9phh6s0isdn8,Musab Al Juwayr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472232523,7,1,1,0,9,c9swyor08g9pedxpe3n321svu,1,29.8,74.6,2022-10-15T15:34:53.122Z,2022-10-23T13:33:04Z,3845334067,213,4.7,3845334063,141,50.7,3845334059,140,29.4,3845334065,212,16.3,3845334057,56,Back,3866612725,178,,,,,,,,av4e1au7cz1s6rmz5u45l4yjt,Ali Al Bulayhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472232549,8,1,1,0,11,c9swyor08g9pedxpe3n321svu,1,29.1,50.4,2022-10-15T15:34:54.778Z,2022-10-23T13:33:38Z,3845334175,141,42.5,3845334179,213,4.9,3845334173,140,30.3,3845334171,56,Back,3845334177,212,5.5,3866616853,178,,,,,,,,inbrwc7gw6d1z8x60nl0padx,Jang Hyun-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
